,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,16099675,62,14,1,19268,,0,19268,Decaflame Ronfaure,https://img2.finalfantasyxiv.com/f/d501e9b33de3b73d5dc6b0f24bb3ccf1_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1645120721
1,11580783,62,14,2,11742,,0,11742,Atari Tari,https://img2.finalfantasyxiv.com/f/895eba91c13306d6b1a2ed3af9cd86a3_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1644944410
2,28649656,62,14,3,10568,,0,10568,Luna Shirokane,https://img2.finalfantasyxiv.com/f/65c06b6aaeb2106bdea16f122f35e578_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645180052
3,20394301,62,14,4,6004,,0,6004,Aria Hawke,https://img2.finalfantasyxiv.com/f/f8349b5480e22265611c7ee7f761c11d_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1644975522
4,26464330,62,14,5,5607,,0,5607,Bimahi Rhiki,https://img2.finalfantasyxiv.com/f/6648918ebcb758168bdbd3b3ca013d6e_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1645072657
5,24208731,62,14,6,3998,,0,3998,Eonar Lifebinder,https://img2.finalfantasyxiv.com/f/b2ba6547bfd2a54e32d0db433391c2a6_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1645141608
6,19760203,62,14,7,3402,,0,3402,Junko Nagatoro,https://img2.finalfantasyxiv.com/f/32fd1baf2e298e9d8381de64de695989_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1644950250
7,13650991,62,14,8,3250,,0,3250,Nephytari Jones,https://img2.finalfantasyxiv.com/f/f0f9e34387c42cf8a4c8c9f9d8f1e191_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1645084978
8,18481975,62,14,9,2876,,0,2876,Xae'no Menphos,https://img2.finalfantasyxiv.com/f/549ee0511a68772930b4515f94174b2d_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1645018659
9,12982969,62,14,10,2524,,0,2524,Kain' Guru,https://img2.finalfantasyxiv.com/f/b93e0b579abc80770f6a587a61cfd79b_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1645160366
10,24214094,62,14,11,2490,,0,2490,Renaer Alderidge,https://img2.finalfantasyxiv.com/f/7c383017d5b76b11970ad7e8fbf10f98_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1644821317
11,24067203,62,14,12,2339,,0,2339,Lana Helreginn,https://img2.finalfantasyxiv.com/f/10d8a923dc7c8e66dfe714c49d1c10fb_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645152759
12,29867150,62,14,13,2250,,0,2250,Lillith Bloodsworn,https://img2.finalfantasyxiv.com/f/0b9aa68226b8bc54b3c5161e3b0d0440_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1644814685
