,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,13982221,53,16,1,70588,,0,70588,May Erecii,https://img2.finalfantasyxiv.com/f/2bbfdb2477f68159ad0a6afdb47f3353_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645047789
1,29749515,53,16,2,51996,,0,51996,Feng'xiu Ying,https://img2.finalfantasyxiv.com/f/56c99fd9da08c356e7843cce2c228940_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1644860678
2,8030285,53,16,3,46610,,0,46610,Tsukasa Kaos,https://img2.finalfantasyxiv.com/f/1ec90dba8b2bcb1d356e9ece897a25e1_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645150780
3,16734557,53,16,4,45484,,0,45484,Merpi Car,https://img2.finalfantasyxiv.com/f/002a7a8bab5400fdf16eccb7b76d1c39_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1644993693
4,18690165,53,16,5,37369,,0,37369,S'anjii Ijoj,https://img2.finalfantasyxiv.com/f/8ce0289a84aae11725897aae6a855b1a_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1644712947
5,28896801,53,16,6,35828,,0,35828,Hector Lowell,https://img2.finalfantasyxiv.com/f/9295ed65df43bfc86922e5bf0b636c09_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645076364
6,12978027,53,16,7,34569,,0,34569,Xeronia Alden,https://img2.finalfantasyxiv.com/f/23047862997e871712740a43b58add31_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645185725
7,6045412,53,16,8,29819,,0,29819,Zuzeh Diqna,https://img2.finalfantasyxiv.com/f/c608da3e6e70d3079371041b158eccf3_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645120374
8,13294732,53,16,9,28220,,0,28220,Destiny Grace,https://img2.finalfantasyxiv.com/f/677cce8949333d6641c32c6a1d225200_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645170818
9,22415123,53,16,10,27082,,0,27082,Anastasia Willow,https://img2.finalfantasyxiv.com/f/8bb6ade2d9e8c2095afa1f48289fef2a_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645178672
10,27742445,53,16,11,26506,,0,26506,No'memes Here,https://img2.finalfantasyxiv.com/f/8ba02189bf0566298c52185bf2b17f90_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645030011
11,7926343,53,16,12,26468,,0,26468,Keiryan Halcon,https://img2.finalfantasyxiv.com/f/472c6d07b2d06b164075d00ea5c5853a_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645183674
12,2162866,53,16,13,26089,,0,26089,Calla Boo,https://img2.finalfantasyxiv.com/f/f09d3bfd2edae4823ca5006a7bc5d624_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645041164
13,18069543,53,16,14,25312,,0,25312,Koh'a Chell,https://img2.finalfantasyxiv.com/f/3d35979c38d9edbc668020580da7e666_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1644981784
14,6111966,53,16,15,24879,,0,24879,Sylph Dagger,https://img2.finalfantasyxiv.com/f/feb0301ec9c43c0b2ae8bfac44e3163f_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645066202
15,29770065,53,16,16,24557,,0,24557,Heri Goks,https://img2.finalfantasyxiv.com/f/a33c39ec0c8199e000d22cb3d40660df_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1644827987
16,23307636,53,16,17,22094,,0,22094,Zeala Shadowbane,https://img2.finalfantasyxiv.com/f/ca8d4e4c7a5766f0c10b2bafdd0df117_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645028946
17,21488999,53,16,18,21865,,0,21865,Jojonji Rurunji,https://img2.finalfantasyxiv.com/f/4d63351e3b65a480eb819dc939278fd9_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645066033
18,21903309,53,16,19,20086,,0,20086,E'noxxen Setanta,https://img2.finalfantasyxiv.com/f/0a7c33574e959d3e84ccc65b9c6e467d_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1644958424
19,25722983,53,16,20,18831,,0,18831,Igarashi Aino,https://img2.finalfantasyxiv.com/f/fb8cc620cb9178db52857d1449e9af3d_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1644807796
20,14975596,53,16,21,18190,,0,18190,Ren Ette,https://img2.finalfantasyxiv.com/f/8845dfb4fcea4aee46ce020d371f2358_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645106404
21,4328146,53,16,22,16890,,0,16890,Jill Miyu,https://img2.finalfantasyxiv.com/f/90defc7e16392d801df3ee69c2e1e27b_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1644872442
22,7063185,53,16,23,16618,,0,16618,Shiban Malqir,https://img2.finalfantasyxiv.com/f/2dc4fac3cce7057b0bef2fc6b6356f9f_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645037658
23,7947575,53,16,24,16106,,0,16106,Professor Fako,https://img2.finalfantasyxiv.com/f/5c7de3aa64e3060c4e512a17fd71ce44_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645089518
24,22404121,53,16,25,15944,,0,15944,Dehnox Hayle,https://img2.finalfantasyxiv.com/f/6f0f1844c67c77a9915f5c4aaa180ef0_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1644844888
25,18140690,53,16,26,15617,,0,15617,Kyrlie Engle,https://img2.finalfantasyxiv.com/f/324f085862b376b5907ce6864b193332_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645055613
26,27242055,53,16,27,15485,,0,15485,Rowdy Roy,https://img2.finalfantasyxiv.com/f/515a12026bb6831d78c3e2b142db96cf_745baffc465480ed372e274d50318290fc0_96x96.jpg?1644810729
27,18929091,53,16,28,14816,,0,14816,Tate Ortawt,https://img2.finalfantasyxiv.com/f/11c1e7df4d52b44fe4f6ea6356b2db26_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645113261
28,22582629,53,16,29,14569,,0,14569,Silmarian Helsing,https://img2.finalfantasyxiv.com/f/39632bb0cef06d174bc11b18d9e8ccec_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645050342
29,24788492,53,16,30,14128,,0,14128,Laylie Merigold,https://img2.finalfantasyxiv.com/f/f16e2a2180f313ca9b654ec4dfe30d05_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1644921621
30,22583630,53,16,31,14092,,0,14092,Regia Carnifex,https://img2.finalfantasyxiv.com/f/e1e6328ec8076419421973a6d5ed43c5_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645101942
31,27490500,53,16,32,14083,,0,14083,Ifera Malqir,https://img2.finalfantasyxiv.com/f/881cf7f62d7f04c1632038dbc0ea8033_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645030263
32,29316444,53,16,33,13987,,0,13987,Sandivh Calthis,https://img2.finalfantasyxiv.com/f/123b6f9ed0fa52cecd079561ede06302_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645106985
33,11017399,53,16,34,13839,,0,13839,Alpha Ninja,https://img2.finalfantasyxiv.com/f/4994692d0adf75ebc2f679ebe0aad9d2_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645063572
34,20487662,53,16,35,13759,,0,13759,Keito Furikake,https://img2.finalfantasyxiv.com/f/b3f1f3fed67d03e1c36fc05ca4b83c72_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645084911
35,15237476,53,16,36,13737,,0,13737,Saeran Choi,https://img2.finalfantasyxiv.com/f/6ed3ecfb112889ecd0c1814484d64e00_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645122468
36,18756137,53,16,37,13240,,0,13240,Lacks Creativity,https://img2.finalfantasyxiv.com/f/40598284bb55ffdbc4a8f892b04e8635_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645155423
37,14800829,53,16,38,12829,,0,12829,Seres Sinon,https://img2.finalfantasyxiv.com/f/51b5d6c708670b326999241fcfefc465_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1644820303
38,11333306,53,16,39,12672,,0,12672,L'kalita Kett,https://img2.finalfantasyxiv.com/f/4031ccef7b0dc283111181e3e94490ff_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645109586
39,23755570,53,16,40,12656,,0,12656,Anniee Mafre,https://img2.finalfantasyxiv.com/f/d4f0c3b2a524d1f32210c32dca583d77_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1644945978
40,13204993,53,16,41,12583,,0,12583,Happy Circle,https://img2.finalfantasyxiv.com/f/b2406b6e04bc8334a1ae8eb623696f61_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1644770986
41,2560700,53,16,42,12581,,0,12581,Ish Wick,https://img2.finalfantasyxiv.com/f/b298c9cc93309e62d02b367c01a288ea_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645029247
42,26461244,53,16,43,12006,,0,12006,Will Neveragain,https://img2.finalfantasyxiv.com/f/a31ffcd5ce66b1c875f20e88d1a2eb92_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645138993
43,16596579,53,16,44,11999,,0,11999,Noe Light,https://img2.finalfantasyxiv.com/f/9f6356936b9f4f91f42251a6cd5a909c_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645010260
44,27138241,53,16,45,11735,,0,11735,Naomi Pespoin,https://img2.finalfantasyxiv.com/f/c939da25bb78621f5aab945c1b414118_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645022442
45,16577267,53,16,46,11545,,0,11545,Stella Clegane,https://img2.finalfantasyxiv.com/f/a96bb80c1bcf3a28dbd033459a35b0bd_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645026885
