,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,23561241,83,14,1,35793,,0,35793,Nuyen Volar,https://img2.finalfantasyxiv.com/f/95a09d37e7a79b8579a8c1288303557d_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1644783497
1,29793759,83,14,2,31849,,0,31849,Sancho Garudi,https://img2.finalfantasyxiv.com/f/7f21919a1afcc4c78fbdbba0d98c6150_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645147315
2,24501991,83,14,3,18056,,0,18056,Pizza Boi,https://img2.finalfantasyxiv.com/f/6264a0de3224827b31340893d887d855_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645046137
3,315592,83,14,4,15846,,0,15846,Dr Heartstealer,https://img2.finalfantasyxiv.com/f/12a946dd5bc281d49c416c948fd2e22b_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645159170
4,8068032,83,14,5,15375,,0,15375,Ark'en Tayuun,https://img2.finalfantasyxiv.com/f/129ed608cb1e5ca94c208cc0acafa597_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645073120
5,20953321,83,14,6,11068,,0,11068,Mokka Chokka,https://img2.finalfantasyxiv.com/f/08101fddfcea830747d81e0ebdef5f38_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645158384
6,10919750,83,14,7,5104,,0,5104,Skafit Brall,https://img2.finalfantasyxiv.com/f/f81de5d149da2adee1ea6afc2bcc9180_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645120045
7,21884615,83,14,8,3946,,0,3946,A'lina Dhen,https://img2.finalfantasyxiv.com/f/68eb2a70a87aacd2a5988e5b5c6f289b_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645023017
8,1570249,83,14,9,3000,,0,3000,Slaine Fray,https://img2.finalfantasyxiv.com/f/21f5f8ddd7a064734f89e618eca213fc_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645113081
9,20974134,83,14,10,2940,,0,2940,Roze Mary,https://img2.finalfantasyxiv.com/f/e5d20d3d8c95531c6313e030a4aa975c_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645051198
10,26961483,83,14,11,2754,,0,2754,Kevin Violense,https://img2.finalfantasyxiv.com/f/459cde2db42322dbdaaa9a9fa395f630_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645165855
11,23481945,83,14,12,2385,,0,2385,Roselin Sweetrose,https://img2.finalfantasyxiv.com/f/34b9c5f05dae40183b39da7fb4876e37_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1644672620
12,21060385,83,14,13,2250,,0,2250,Luna Sweetlight,https://img2.finalfantasyxiv.com/f/1cc77499b41fb20abd980f5d6aaf3db0_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645157096
13,21245400,83,14,14,2097,,0,2097,Naevia Kyouri,https://img2.finalfantasyxiv.com/f/a76b9253f92ac832cb5094cddccb7562_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645005723
14,25637084,83,14,15,2070,,0,2070,Lord Syrox,https://img2.finalfantasyxiv.com/f/e9921464b03201fd03e67924d4d21e1b_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1644784963
15,23778800,83,14,16,1747,,0,1747,Gregg O'licious,https://img2.finalfantasyxiv.com/f/d8971cdf2d6f3a03f28621432032f71e_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1644790824
