,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,2173981,79,12,1,1715522,1.0,1458963,256559,Ozkharr Solkfystsyn,https://img2.finalfantasyxiv.com/f/9a08505c65ce7fc99272f43532e420e9_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645097977
1,8033828,79,12,2,735264,2.0,659552,75712,Rhys Yshara,https://img2.finalfantasyxiv.com/f/ae9038afef080808eff1f5d4ed135062_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1645073666
2,5977129,79,12,3,593936,3.0,465774,128162,Aurora Lloyd,https://img2.finalfantasyxiv.com/f/04e3f36f44e71bc9b3751f66a034f814_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1644855483
3,18720705,79,12,4,548645,4.0,439855,108790,Adahy Aves,https://img2.finalfantasyxiv.com/f/12457411d4b4c1fd84f3c943671b8707_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1645160462
4,2784780,79,12,5,502077,5.0,423389,78688,Alicendra Praana,https://img2.finalfantasyxiv.com/f/9cb0dc3df9447eba9333f8679fca9c31_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1644784745
5,11989028,79,12,6,490159,18.0,94246,395913,Elyon Odjn,https://img2.finalfantasyxiv.com/f/4ecd33d7da05420792ca4cc1b88619b2_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1644607100
6,5351830,79,12,7,433494,6.0,306919,126575,Tiger Eye,https://img2.finalfantasyxiv.com/f/1de4e336c22a19044a5abd16ae58724c_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1645124586
7,18630041,79,12,8,414000,7.0,280773,133227,Yama El,https://img2.finalfantasyxiv.com/f/ea79d3f5f9697717ebbe8dba37df9090_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1644783041
8,21103610,79,12,9,369915,14.0,165668,204247,Kit Astrophe,https://img2.finalfantasyxiv.com/f/72a0cd2e11988627d7f6432aee5e3662_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1645115849
9,15017268,79,12,10,353780,9.0,246672,107108,Ameryuu Shimizu,https://img2.finalfantasyxiv.com/f/8c3de4a42a4a1b0d29682df99bede9e4_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1645160275
10,21859680,79,12,11,352269,10.0,222730,129539,Derick Airick,https://img2.finalfantasyxiv.com/f/66b25656e12b08c82536f7d0d438b7a4_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1644856594
11,18834567,79,12,12,334854,8.0,274684,60170,Kite Fowler,https://img2.finalfantasyxiv.com/f/3a5d44419f130ea89d39b8e654ec4a0f_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1645187562
12,3171686,79,12,13,328801,11.0,209669,119132,Haar Beoulve,https://img2.finalfantasyxiv.com/f/a5159fec6efd853dd8ff6032c2c23fde_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1645179414
13,16188954,79,12,14,323953,15.0,139168,184785,Arlis Fyrbringa,https://img2.finalfantasyxiv.com/f/b0633aed4491ace2e06d0cb267926c4f_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1644851408
