,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,28428817,46,17,1,1000005,1.0,850714,149291,Fly Human,https://img2.finalfantasyxiv.com/f/dc168a0548fbe819f2f5795e83e4b6dc_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645119522
1,2799802,46,17,2,718371,69.0,45699,672672,Necona Gutara,https://img2.finalfantasyxiv.com/f/d176612d5f02661c80e8574eea17c108_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645097937
2,5612111,46,17,3,707726,5.0,388888,318838,Oskar Scoop,https://img2.finalfantasyxiv.com/f/6d4abe8cb50e844ab31aad265014e5b8_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644821545
3,3178729,46,17,4,649935,2.0,534731,115204,Aqua Nightingale,https://img2.finalfantasyxiv.com/f/c881a29e676a399c0f00e616880f11a6_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644771358
4,17596846,46,17,5,553812,,0,553812,Almace Chantdu,https://img2.finalfantasyxiv.com/f/d8fa04bb630756d8e5b73ea825e0f382_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644777761
5,15544528,46,17,6,535005,4.0,450045,84960,Knee Noah,https://img2.finalfantasyxiv.com/f/890e3f4847271e9ef0e53dd3de08cf40_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644842859
6,22645822,46,17,7,504655,3.0,500989,3666,Al Langley,https://img2.finalfantasyxiv.com/f/ca887c34e8832e467bb7255332e83fc6_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645026182
7,30730508,46,17,8,499669,6.0,377040,122629,Schwarz Siesta,https://img2.finalfantasyxiv.com/f/2a3697b71bf5d6b5ff0d30ddcccfe15c_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644891047
8,3181964,46,17,9,492534,,0,492534,Natsume Kyte,https://img2.finalfantasyxiv.com/f/b0aab60f6672e00fd85bbc9ecc45ab2f_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644965006
9,26047198,46,17,10,480883,12.0,301557,179326,Rimel Kreis,https://img2.finalfantasyxiv.com/f/44908d80a56776b17d71ba8edffb20b4_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644806130
