,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,5496680,95,14,1,2081120,1.0,1930653,150467,Freya Albarn,https://img2.finalfantasyxiv.com/f/0095686281a97b558be259fa1f5acc7c_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645195774
1,2802944,95,14,2,617067,2.0,530425,86642,Shiro Kuroh,https://img2.finalfantasyxiv.com/f/66522502d0229cbf05a4ccbe8a711a63_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645127296
2,26163847,95,14,3,550793,4.0,481001,69792,Kozarn Frostfire,https://img2.finalfantasyxiv.com/f/b235f3661dbbc60ad28e0341f85169c2_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645189757
3,15160538,95,14,4,540824,7.0,290280,250544,Eric Hyuinn,https://img2.finalfantasyxiv.com/f/16eaba0950c768bfbe16115df85f7aa1_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645143232
4,10791466,95,14,5,504865,3.0,504865,0,Krimson Hawk,https://img2.finalfantasyxiv.com/f/e991720f7dc7c4e38c3f1e11b77f996b_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645195825
5,13047371,95,14,6,415838,10.0,247605,168233,Aerin Rei,https://img2.finalfantasyxiv.com/f/4c4cd98695605fe285f1636c9f8b30f4_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645129997
6,15597698,95,14,7,406922,9.0,269497,137425,Leon Regalia,https://img2.finalfantasyxiv.com/f/76315ea5d0386d50cbdcc01535b02743_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645145222
7,4839626,95,14,8,385470,12.0,219488,165982,Peanut Princess,https://img2.finalfantasyxiv.com/f/76e419a5a800672306ba08b82fbb7688_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645055154
8,18205280,95,14,9,380702,5.0,327597,53105,Aglaia Ailill,https://img2.finalfantasyxiv.com/f/ecd4b9cb7cde0a2c1d05331eb56db3b7_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644915828
9,8129311,95,14,10,361184,6.0,320746,40438,Catniss Goh,https://img2.finalfantasyxiv.com/f/e8b18127ad87590fc353ecee5c0dd911_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645035751
10,19199056,95,14,11,329506,8.0,273711,55795,Quahlity Azzurance,https://img2.finalfantasyxiv.com/f/fc916c53b41c2b420f6c02887c70345f_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644801874
