,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,2316121,72,18,1,1450354,2.0,1217648,232706,Space Nemorensis,https://img2.finalfantasyxiv.com/f/713c6a1009327270a2f81c2d1543adfb_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645055832
1,1647896,72,18,2,1420835,3.0,1211018,209817,Makaroni Tyler,https://img2.finalfantasyxiv.com/f/7dee3ee8a74bb33ecc47c0ec93d4f67a_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1644782462
2,22902199,72,18,3,1355678,5.0,1146597,209081,Koyuki Himekawa,https://img2.finalfantasyxiv.com/f/118ebc8ee9ccfae5ff439fdac046a0da_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645186317
3,16083948,72,18,4,1337420,1.0,1337420,0,Valdruf Fyrnwynd,https://img2.finalfantasyxiv.com/f/a286df3e9f7713b920181c586af4654f_2f53b2675d3eea360f0b48d74d30af15fc0_96x96.jpg?1644970757
4,6228490,72,18,5,1305306,11.0,823676,481630,Rinz Rheinmetall,https://img2.finalfantasyxiv.com/f/8f109faa6df88f1f26dbccf625affa6a_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1644955880
5,15590843,72,18,6,1261543,9.0,841833,419710,Leonoire Irenanea,https://img2.finalfantasyxiv.com/f/15f1cb66d59a59feb132d5a3ffa87591_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645130210
6,13079561,72,18,7,1243415,4.0,1174707,68708,Shurelia Ansul,https://img2.finalfantasyxiv.com/f/42d9a56a716b8422aa341b4c0c349225_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645115380
7,3836172,72,18,8,1122913,87.0,58634,1064279,Dee Aura,https://img2.finalfantasyxiv.com/f/f349ec4e75e9bf9706fcd5f0d7ddd1bc_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1644917918
8,3121696,72,18,9,1103959,,0,1103959,Nell Flannel,https://img2.finalfantasyxiv.com/f/68f88e51402e0fe39c13b31a0254adbd_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1644955115
9,27474781,72,18,10,1075891,7.0,913622,162269,Zerk Molten,https://img2.finalfantasyxiv.com/f/d502fcaf065de7bf9bbeeed35d7b30f9_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645162441
10,22746419,72,18,11,1063625,8.0,873564,190061,Claryce Persia,https://img2.finalfantasyxiv.com/f/416e82c44a42c0a27646d02bd68ac5ee_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1644825651
11,16384548,72,18,12,1060213,85.0,62576,997637,Murasaki Yukari,https://img2.finalfantasyxiv.com/f/9f90a4da65908b764638e27bc0624245_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645154519
12,23682148,72,18,13,1059782,89.0,56512,1003270,Sardine Tuna,https://img2.finalfantasyxiv.com/f/4f2c3e41844b8484899204c807fd6bb2_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645076601
13,26974685,72,18,14,1037735,6.0,944849,92886,Miru Meowgic,https://img2.finalfantasyxiv.com/f/c4d3483c0facf6e162016f0c12c523fc_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1644911532
14,3747519,72,18,15,1033490,,0,1033490,Zack Reith,https://img2.finalfantasyxiv.com/f/d580ec3ee2c5ecca389cd405ea9f78b9_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645153911
15,3091429,72,18,16,1001358,10.0,838581,162777,Enbah Phront,https://img2.finalfantasyxiv.com/f/ea54d51ae5e9b8c1e7c248aeca5bd8d4_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1644943239
