,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,22777903,31,18,1,1655658,1.0,1442776,212882,Mana Forsemart,https://img2.finalfantasyxiv.com/f/96ad4debc5c5d3766e30283b9aed2fae_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645127367
1,25354309,31,18,2,1365065,2.0,1007025,358040,Sakura Sugar,https://img2.finalfantasyxiv.com/f/739af849c84c9fa34af4348122914555_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645119232
2,10215791,31,18,3,1268865,,0,1268865,Mon Zu,https://img2.finalfantasyxiv.com/f/b951ad705e1cfa914899998465a07086_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645078792
3,18363757,31,18,4,1001296,3.0,890571,110725,Vivi Egoist,https://img2.finalfantasyxiv.com/f/d26a73c6c4d49ab9520c50e84441f9e0_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1644859913
4,20154433,31,18,5,984557,7.0,607436,377121,A'luka Shiver,https://img2.finalfantasyxiv.com/f/d33045ffd58ba5dd179da0c1f53973ef_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645015715
5,31193532,31,18,6,952602,4.0,847455,105147,Red Pikmin,https://img2.finalfantasyxiv.com/f/50701596d977efc89d99007e97f376f2_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1644938650
6,20369435,31,18,7,913944,84.0,25745,888199,Lalanzo Wawanzo,https://img2.finalfantasyxiv.com/f/e8f592966829c6b8fabe6f5574ce76fd_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645160080
7,9054053,31,18,8,878111,6.0,710810,167301,Ezekiel Gloria,https://img2.finalfantasyxiv.com/f/e61bf1ec5dfd54ae10c83bfd390246de_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1644885230
8,26224974,31,18,9,840814,5.0,771608,69206,Mochi Matcha,https://img2.finalfantasyxiv.com/f/75a6e49f9b8fbc374d9f3fb1b30d9580_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645096111
9,7037652,31,18,10,725670,12.0,473551,252119,Cozun Ballista,https://img2.finalfantasyxiv.com/f/df0de403bf58f2a6e96f198ff684ddba_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645133501
10,2563059,31,18,11,600102,9.0,539129,60973,Suzu Light,https://img2.finalfantasyxiv.com/f/68e0bcea9816f53d27d6bc168cb5288b_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1644784520
11,29111773,31,18,12,598250,8.0,539918,58332,Chouchou Lunaria,https://img2.finalfantasyxiv.com/f/d001e9d84c66700056fed58880615580_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645175844
12,25240789,31,18,13,551491,14.0,349907,201584,Mugi Vento,https://img2.finalfantasyxiv.com/f/17b3d2e4b01a8f5fa39960b2e4ce19a1_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645037472
13,27354501,31,18,14,538532,10.0,512639,25893,Gene Yukiwan,https://img2.finalfantasyxiv.com/f/df1e438ec3c8cbf247928f77a5a0580e_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645195099
14,27585358,31,18,15,537417,13.0,433402,104015,Aria Raven,https://img2.finalfantasyxiv.com/f/18a26d718bf436cb38d250630f140920_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645061948
15,26779119,31,18,16,500460,11.0,500460,0,Lily Azalea,https://img2.finalfantasyxiv.com/f/602e861564299aec8329af19fdc57ec6_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645128879
16,18928695,31,18,17,486686,53.0,55602,431084,James Fukuro,https://img2.finalfantasyxiv.com/f/acd90df30bc52fac6354d6eb09b97586_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645105838
