,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,3513816,43,16,1,95736,1.0,72297,23439,Chocolat Eclair,https://img2.finalfantasyxiv.com/f/5e3a41468d48eab95ea6de51c250de5c_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645084691
1,8789732,43,16,2,86688,2.0,43824,42864,Rivale Beringei,https://img2.finalfantasyxiv.com/f/1d981445494cf74b505aacc5e3ebe11b_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644771909
2,12773382,43,16,3,84963,7.0,29240,55723,Mayuppe Chill,https://img2.finalfantasyxiv.com/f/9d7743dbbc410c6904b63820599d9a5c_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645115455
3,26239477,43,16,4,78215,3.0,40215,38000,Tsuna Yoshida,https://img2.finalfantasyxiv.com/f/63efacd8581d477d55944bfe2fa478f9_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644821889
4,2526534,43,16,5,75073,5.0,33676,41397,Una Ashbery,https://img2.finalfantasyxiv.com/f/04c0d16bdc8c456e8968c60ace1ad803_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644863866
5,18281258,43,16,6,73366,14.0,20752,52614,Dhali Ann,https://img2.finalfantasyxiv.com/f/413601042c9ddb269f3afb57d3a69d46_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644661229
6,13842774,43,16,7,60231,4.0,35843,24388,Lilie Nyago,https://img2.finalfantasyxiv.com/f/232e95744d386818040dd511cc54f86a_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644967679
7,2055851,43,16,8,52013,18.0,18349,33664,Shanti Roarcat,https://img2.finalfantasyxiv.com/f/eb9eaf4c803d4a7b7e547d8e4fe20b8b_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645171733
8,22995270,43,16,9,51867,9.0,25502,26365,Cany Alstroemeria,https://img2.finalfantasyxiv.com/f/0a173cf4ce04745b444c9905eaf9c7a1_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644938895
9,28290572,43,16,10,48960,8.0,27770,21190,Okome Rice,https://img2.finalfantasyxiv.com/f/e65e97988fb92e22afd9bfcc9e930b90_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644815257
10,3486519,43,16,11,48373,42.0,13342,35031,Tama Qn,https://img2.finalfantasyxiv.com/f/0745cb464f8fa169ec052c20d5828d20_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645146194
11,15142220,43,16,12,44371,6.0,32661,11710,Ibis Ferrir,https://img2.finalfantasyxiv.com/f/f036be8d51bd524b7f7a5285f680587c_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645139568
12,3224133,43,16,13,43136,29.0,15087,28049,Yasu Bluebeard,https://img2.finalfantasyxiv.com/f/534acec0860b655b20f0ab3a74980f63_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645160811
13,1651839,43,16,14,42060,15.0,20693,21367,Mernen Forester,https://img2.finalfantasyxiv.com/f/49b432ce142fbd66d02c680ea73043ae_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645150105
14,24836711,43,16,15,41876,79.0,9138,32738,Kiku Aster,https://img2.finalfantasyxiv.com/f/c59b96969d4b52aa9688f662d7aef516_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644887180
15,6423198,43,16,16,41591,,0,41591,Fia Ria,https://img2.finalfantasyxiv.com/f/e2319579906551f73e6a7ad405da7171_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645055517
16,2470789,43,16,17,41352,23.0,16335,25017,Ranze Farron,https://img2.finalfantasyxiv.com/f/bcd50f3bd4772450e0d9967205613dfb_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644970363
17,23197463,43,16,18,39932,16.0,20657,19275,Puti Guriko,https://img2.finalfantasyxiv.com/f/9fc2a40c8da73282133657604d54a8cf_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644973979
18,3013609,43,16,19,36060,21.0,16647,19413,Canon Samegawa,https://img2.finalfantasyxiv.com/f/28136772e434aa921de2fe010e8a8f83_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644956396
19,17474716,43,16,20,35552,20.0,16753,18799,Ron Massey,https://img2.finalfantasyxiv.com/f/ac9f63847c07e39c0ce3d6ab0b5551d3_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645167263
20,31678496,43,16,21,34375,38.0,13838,20537,Edward Samo,https://img2.finalfantasyxiv.com/f/f8a852f1de974337bcb13e843be90dad_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644619941
21,24657550,43,16,22,29648,57.0,10986,18662,Aoi Rosso,https://img2.finalfantasyxiv.com/f/3cdd60b1bb7de6f568c43712df384306_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644986147
22,3861771,43,16,23,29464,31.0,14784,14680,Jack Flancesca,https://img2.finalfantasyxiv.com/f/8b297f945bc12c52450f357c2408b0a4_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644961943
23,13852144,43,16,24,28910,11.0,24946,3964,Ryo Weaver,https://img2.finalfantasyxiv.com/f/2a259d32bb4617296af599d3ce833413_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645149210
24,23273778,43,16,25,28367,12.0,23296,5071,Yasuo Yasuoka,https://img2.finalfantasyxiv.com/f/ce0183792cbc566a7e52e8767341d62e_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645067575
25,10300165,43,16,26,28349,33.0,14544,13805,Liberty Cat,https://img2.finalfantasyxiv.com/f/110e06fe9e229c9e8eadcd648a6c86be_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645155301
26,21108809,43,16,27,28133,67.0,9749,18384,Koro Pockle,https://img2.finalfantasyxiv.com/f/4d4209806d0e3f1947aa9537be175555_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1644990091
27,22810031,43,16,28,27061,,0,27061,Nepgear Purplesister,https://img2.finalfantasyxiv.com/f/05ea51c8ac9495a5b9356723918f2761_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644885481
