,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,26400369,68,15,1,76232,1.0,50832,25400,Torime Nico,https://img2.finalfantasyxiv.com/f/dbb2fb17c00b9c7a6e6ca0a65c888ac6_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645136798
1,17355813,68,15,2,53899,5.0,4751,49148,Suka Hyousi,https://img2.finalfantasyxiv.com/f/b16e3fdf9b09d26784ab100eee50f68d_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645019740
2,5882659,68,15,3,26129,37.0,1043,25086,Athos Stark,https://img2.finalfantasyxiv.com/f/89aff0d39ad602165707c806e8abc37d_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645003140
3,23476176,68,15,4,23935,2.0,14219,9716,Upepe Upe,https://img2.finalfantasyxiv.com/f/1069fb5a1ae96ce4ff97b1c1ea35d4a8_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645163791
4,24429357,68,15,5,20804,8.0,3660,17144,M'naago Rahz,https://img2.finalfantasyxiv.com/f/1e25f095381b5e50571edbcc28d658aa_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1644636527
5,26117864,68,15,6,19065,3.0,5820,13245,Umaru Silcot,https://img2.finalfantasyxiv.com/f/5510f8871578425d81140d05e1071317_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645185677
6,14191003,68,15,7,17697,,0,17697,Lmoa Piko,https://img2.finalfantasyxiv.com/f/6fd7b11cf5fca329c8cdbd2e863b2758_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645113304
7,24892135,68,15,8,12211,4.0,4934,7277,Fia Rivatail,https://img2.finalfantasyxiv.com/f/d6ea82518fb9c98d2af3a122ec0d8539_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1644780309
8,2390919,68,15,9,11883,11.0,2546,9337,Amaryllis Trillium,https://img2.finalfantasyxiv.com/f/a4c54c03804dc54ddf993dce973aacd5_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645016972
9,17882990,68,15,10,8173,7.0,3763,4410,Phiria Macgaia,https://img2.finalfantasyxiv.com/f/2d8d3179fb16cc038b3a96d9c058a8cf_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645117810
10,24401282,68,15,11,6026,,0,6026,Sion Monokuro,https://img2.finalfantasyxiv.com/f/7d2e4d6ba841caa2cacb53d4038bb986_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645186230
11,18110121,68,15,12,5754,,0,5754,Daryl Travers,https://img2.finalfantasyxiv.com/f/5180694f8c078248ede46beb0855e324_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644767296
12,29045100,68,15,13,4953,19.0,1740,3213,Atori Hage,https://img2.finalfantasyxiv.com/f/0a3fe879e7c949f9feee0ea0a6bda002_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1644991725
13,20932432,68,15,14,4930,35.0,1140,3790,Five Head,https://img2.finalfantasyxiv.com/f/2abf564f5eb485cd5e701ea8cc25770a_30a5f9eadea6e0cb684a5265362d0d59fc0_96x96.jpg?1644789052
14,24026031,68,15,15,4770,16.0,1770,3000,Sask Tsub,https://img2.finalfantasyxiv.com/f/ab3380bf864ef724c73e37fbb6c78192_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1644857356
15,26181576,68,15,16,4763,6.0,4643,120,Bell Wistarias,https://img2.finalfantasyxiv.com/f/8e5028e0b16343c1a4465f3cb4f10a03_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1644780848
16,20487279,68,15,17,4333,30.0,1319,3014,Sophia Rosellia,https://img2.finalfantasyxiv.com/f/0a57e12611064d4607435b13496f9a76_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645055281
