,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,17591036,49,16,1,126644,1.0,55221,71423,Melody Heartfilia,https://img2.finalfantasyxiv.com/f/b2d61d6c8a6991f8a7e02a5f234d4f93_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645002165
1,24605772,49,16,2,103965,5.0,41754,62211,Didy Kist,https://img2.finalfantasyxiv.com/f/5c537227c92ff9188ce33529dfc7cff9_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645035062
2,19031670,49,16,3,101132,7.0,34106,67026,Lyla Gallagher,https://img2.finalfantasyxiv.com/f/1700cb7c1c85bac43c8427ef08138943_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645073723
3,4047539,49,16,4,100825,2.0,48754,52071,Sakura Norunoru,https://img2.finalfantasyxiv.com/f/e579c66d69fc26eb42a706c0c322c19d_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645063186
4,19813791,49,16,5,99488,6.0,36717,62771,Izu Koza,https://img2.finalfantasyxiv.com/f/924140ef0818e466b38506914f0beb83_2f53b2675d3eea360f0b48d74d30af15fc0_96x96.jpg?1644822439
5,27603582,49,16,6,97508,9.0,29609,67899,Rorik Tarvosch,https://img2.finalfantasyxiv.com/f/ada4cc15e7e14c8991041b0cc173d818_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645122164
6,17638760,49,16,7,93171,3.0,47840,45331,Negi Negita,https://img2.finalfantasyxiv.com/f/0be91274d77af85bc4f58ee0d5c43425_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645178467
7,26855287,49,16,8,74374,21.0,16543,57831,Elizabeth Bloodwing,https://img2.finalfantasyxiv.com/f/c7ea1185210cb62d74bd70f1000fc8ce_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645145705
8,27282910,49,16,9,65785,10.0,26701,39084,Jason Leung,https://img2.finalfantasyxiv.com/f/a3c17e388370e4db8bc9b2a11a95b8a0_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645077758
9,19060201,49,16,10,65779,15.0,19164,46615,Torrine Falseo,https://img2.finalfantasyxiv.com/f/29748ff23e142e9c95219087320cdd1b_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645068591
10,16419862,49,16,11,63884,35.0,13578,50306,Horrender Fordin,https://img2.finalfantasyxiv.com/f/558bd696f046f9656f60a30bfd11d9f7_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645066319
11,4635420,49,16,12,57365,4.0,44326,13039,Red'a Antares,https://img2.finalfantasyxiv.com/f/4b50a5afe72121e0ccea3aef4dc1ec87_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644981296
12,1659228,49,16,13,43644,27.0,14733,28911,Lotte Latte,https://img2.finalfantasyxiv.com/f/ca2d073bd7785ccb872698aefe9b6221_410ddb5a66a2fcacf538bec5ea5d0291fc0_96x96.jpg?1645128995
13,10280198,49,16,14,42585,28.0,14581,28004,Sora Funnel,https://img2.finalfantasyxiv.com/f/ba001848a7fb908f40516ae1cda638bc_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645076180
14,6688489,49,16,15,41807,18.0,17431,24376,Madoka Kasuga,https://img2.finalfantasyxiv.com/f/e64896b6137fedc5cba6d3e2f0c87ac0_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645009296
15,25010825,49,16,16,40986,13.0,20750,20236,Aru Kichi,https://img2.finalfantasyxiv.com/f/4d5f74525d30533d56c91c7901aebd3a_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645108228
16,25853447,49,16,17,38449,8.0,33275,5174,Xessie Joycraft,https://img2.finalfantasyxiv.com/f/ea8f30e9bfe638bccc5b62b6456eb633_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645165364
17,30266283,49,16,18,37509,,0,37509,Lev Index,https://img2.finalfantasyxiv.com/f/558f2af37767f07866ad26b3675cfba3_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645060362
18,20079020,49,16,19,37376,17.0,17576,19800,Leica Suzune,https://img2.finalfantasyxiv.com/f/4d5c5c462230932628fba1019440c3c3_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645014514
19,17879431,49,16,20,37092,12.0,24822,12270,Alice Kusunoki,https://img2.finalfantasyxiv.com/f/28133aeae93cd57eb25f7d2f23b1f0ef_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644951243
20,21320122,49,16,21,35627,30.0,14349,21278,Assh Mui,https://img2.finalfantasyxiv.com/f/f63acb1a57783616928fefba4be8db83_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645075225
21,25469614,49,16,22,31426,11.0,25231,6195,Seri Jo,https://img2.finalfantasyxiv.com/f/63650b8e50f5c8d70491d1a1a34d4e0b_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644790938
22,24671747,49,16,23,30928,36.0,13557,17371,Ryne Faust,https://img2.finalfantasyxiv.com/f/df1f44137ac8cda960620c32a557ba1a_2f53b2675d3eea360f0b48d74d30af15fc0_96x96.jpg?1644853307
23,29896826,49,16,24,30844,20.0,16947,13897,Shingo Godfield,https://img2.finalfantasyxiv.com/f/013cb8603a516fd87066ee77383029eb_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644867089
24,26174571,49,16,25,30820,31.0,14200,16620,Flugel Eins,https://img2.finalfantasyxiv.com/f/59da012f67f27b6cfc88c4f3d418b855_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644791191
25,28112208,49,16,26,30778,79.0,8158,22620,Rubbing Alcohol,https://img2.finalfantasyxiv.com/f/88a7f3ff0944d75c0a54aede5543ff3f_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644893699
26,24750779,49,16,27,30568,56.0,10609,19959,Roco Manuo,https://img2.finalfantasyxiv.com/f/d9da514724ad7dd45a39faa9e1765969_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644952074
27,18160199,49,16,28,30052,44.0,12073,17979,Rio Scarlet,https://img2.finalfantasyxiv.com/f/c1cf9a5bf6c289c432217a43ec557a99_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644936065
28,3250088,49,16,29,29206,25.0,15826,13380,Murasame Prototype,https://img2.finalfantasyxiv.com/f/7b6dfeb73f547fc56f5566be54533d21_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645075046
29,8981387,49,16,30,29061,51.0,11207,17854,Aya Seabell,https://img2.finalfantasyxiv.com/f/8185558115355846a47fab31564c6a5f_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644828543
30,21412334,49,16,31,29056,65.0,9321,19735,Cutesy Kittypie,https://img2.finalfantasyxiv.com/f/822d59f6335ab569d6a54d65780085fc_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644617039
31,28684940,49,16,32,28891,,0,28891,Raza Furu,https://img2.finalfantasyxiv.com/f/57e83873fa84a24600a50b1d9e549e51_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644783738
32,9069767,49,16,33,28232,38.0,13350,14882,Mei Lihzeh,https://img2.finalfantasyxiv.com/f/ebaaf1beac67f66b39ae07c4d58710d1_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644944322
33,11446281,49,16,34,28195,32.0,14161,14034,Jimmy Twoshoes,https://img2.finalfantasyxiv.com/f/c9e9508cc67a3a63781927095c56ed31_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645093792
34,18696394,49,16,35,26534,78.0,8177,18357,Siranui Aria,https://img2.finalfantasyxiv.com/f/718a732975e16a8ac0442b5fde06c9fe_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644911358
35,7027940,49,16,36,26169,22.0,16276,9893,Snake Qoo,https://img2.finalfantasyxiv.com/f/374c6ea9302f26eb1e9820f2d05548a2_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644977125
36,29205025,49,16,37,25057,,0,25057,Enjiru Chan,https://img2.finalfantasyxiv.com/f/730ed397dc8e1d88c964352641230aef_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644903149
37,8012155,49,16,38,24886,50.0,11321,13565,Anri Etta,https://img2.finalfantasyxiv.com/f/2474c24c8929a01d91c0f7bf938d919d_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644986140
38,23093222,49,16,39,24246,60.0,10004,14242,Kokopan Thithipan,https://img2.finalfantasyxiv.com/f/b92e502c51fadd2fc2e60498b4877a41_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645015401
39,26029395,49,16,40,23884,46.0,12037,11847,Rai Arc,https://img2.finalfantasyxiv.com/f/91144b936d4d71240b302b9188253aa2_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1644713618
40,28243600,49,16,41,23693,16.0,17969,5724,Mira Rockenfield,https://img2.finalfantasyxiv.com/f/cfef978836455db9c1c2735d92a966dc_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644803072
41,18893149,49,16,42,22499,80.0,8143,14356,Ray Kuran,https://img2.finalfantasyxiv.com/f/66f2e5dbf3394975d710d6fe780d6d38_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645169425
42,6389824,49,16,43,22038,19.0,17081,4957,Terry Bonaparte,https://img2.finalfantasyxiv.com/f/95c3401d44e061bb374c712117534198_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645059167
43,21973572,49,16,44,21785,41.0,13034,8751,Bo Jio,https://img2.finalfantasyxiv.com/f/14fe30d97d27564470456deb836c7b6b_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645134466
44,23080861,49,16,45,21778,29.0,14509,7269,T-g Okada,https://img2.finalfantasyxiv.com/f/ec33fe2bf3dd5d31e1fd92b36686a357_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644942298
45,20838456,49,16,46,21253,24.0,15884,5369,Nya Ten,https://img2.finalfantasyxiv.com/f/875dd4786a74d1cfd83286e3530344ea_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645091312
46,24577985,49,16,47,21141,,0,21141,Nagi Pisces,https://img2.finalfantasyxiv.com/f/921aa3e2d8a670944e2cd008371cf95c_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1644933396
47,26307238,49,16,48,20391,14.0,20391,0,Constanze Amalie,https://img2.finalfantasyxiv.com/f/20b1cdf1244903869bdca4c3f2f90d8b_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644929289
48,20130633,49,16,49,20137,,0,20137,Amomo Momo,https://img2.finalfantasyxiv.com/f/a403e2ff955bd0a3c8a1beda1fd1c07e_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645124132
49,24417241,49,16,50,20121,,0,20121,Luca Effenberg,https://img2.finalfantasyxiv.com/f/489cffeb30eaad52531a6255adbfb3c3_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645144627
