,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,11732842,55,18,1,171635,1.0,79634,92001,Kemeko Arakawa,https://img2.finalfantasyxiv.com/f/412d4edc0c444c2cbde2cc822a6abb94_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645004769
1,14017064,55,18,2,143839,3.0,63755,80084,Uncertain Heisenberg,https://img2.finalfantasyxiv.com/f/88667b0de997cadbc4071a7b9c0eeac4_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645071381
2,26305241,55,18,3,143487,5.0,59093,84394,Lynna Dreadfang,https://img2.finalfantasyxiv.com/f/9b34c27508397fd1f1977f8511068681_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645160901
3,8148677,55,18,4,133091,4.0,61353,71738,Dawn Tedasuke,https://img2.finalfantasyxiv.com/f/09e1c4936d97cd7475e9ead758a398d9_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645173040
4,10393239,55,18,5,120114,7.0,42860,77254,Svana Wolfe,https://img2.finalfantasyxiv.com/f/493d017f441afc9b5425986a0af1b0d8_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644835435
5,24114126,55,18,6,100468,8.0,37581,62887,Nixacu Namanari,https://img2.finalfantasyxiv.com/f/68206034a86cf63bd8aecd714ae17955_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645179125
6,24331413,55,18,7,100064,10.0,24389,75675,Lilith Dreadjoy,https://img2.finalfantasyxiv.com/f/d304c3dcf4e1435a5d25532926e8386f_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645184379
7,11894429,55,18,8,88601,12.0,22849,65752,Wistala Everfavored,https://img2.finalfantasyxiv.com/f/4728b9b4066e00bbc75234afab3bfbf8_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645101487
8,12374457,55,18,9,83104,6.0,50607,32497,Lyn Kanin,https://img2.finalfantasyxiv.com/f/a7cca00411d861067076bc0db4a55df6_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645098654
9,29383335,55,18,10,78538,24.0,12805,65733,Sharyn Merci,https://img2.finalfantasyxiv.com/f/7071b4babd85b42c0e11458b73b94d5f_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644603691
10,2171368,55,18,11,70605,18.0,18369,52236,Winfield Kobayashi,https://img2.finalfantasyxiv.com/f/d55ca0664ed465f11827ef812ad309f9_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645023725
11,10482510,55,18,12,69733,2.0,69733,0,Arciela Wolfe,https://img2.finalfantasyxiv.com/f/1e394765100b526b19f60f0565afc429_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645138911
12,8921760,55,18,13,65936,19.0,18220,47716,Dogmangler Sylph,https://img2.finalfantasyxiv.com/f/1d50b6eb49cd38aeb916fc41021ae9c3_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645093299
13,26318636,55,18,14,59048,,0,59048,Radiah Zomsch,https://img2.finalfantasyxiv.com/f/53db117dda0f7f09553fb2ed2090640f_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644850675
14,7953005,55,18,15,55677,15.0,18967,36710,Johnny Dots,https://img2.finalfantasyxiv.com/f/2563b2e3b58c53fc239cdd57fbe3601c_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645049758
15,25163935,55,18,16,55478,25.0,12447,43031,Ami Minami,https://img2.finalfantasyxiv.com/f/ccf263a5c4f9ccdcb76cc8cf16641f70_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1644968023
16,9404906,55,18,17,52079,13.0,22827,29252,Azelas Azem,https://img2.finalfantasyxiv.com/f/49f18215abfaa89169384f3e8555ab02_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645156460
17,17763156,55,18,18,47049,23.0,14850,32199,Rhylharr Skykursyn,https://img2.finalfantasyxiv.com/f/86c1fceff228b7bdd53c797577e3386d_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644625675
18,20603007,55,18,19,43467,,0,43467,Mia Masamune,https://img2.finalfantasyxiv.com/f/d1e8132a2bf34be080437203895d45f8_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644757882
