,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,6701260,99,18,1,231673,3.0,76665,155008,Donut Steel,https://img2.finalfantasyxiv.com/f/086bb1bb8ddcd5b9422f0bf2722da4ff_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645085698
1,2897642,99,18,2,213040,5.0,69700,143340,Chocolate Muffin,https://img2.finalfantasyxiv.com/f/a5bf896e24a116cf47b6ded97144ba25_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644834468
2,127379,99,18,3,206940,1.0,103769,103171,Iryoku Avaleska,https://img2.finalfantasyxiv.com/f/3fa28f2533bd2a80d1408c23fe82fef7_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645126305
3,2894410,99,18,4,181451,2.0,90295,91156,Dolos Zenigame,https://img2.finalfantasyxiv.com/f/5397a92c7ae4a68bc7c458a4c9604033_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644928068
4,11666194,99,18,5,140778,8.0,53382,87396,Khiinroye J'nelle,https://img2.finalfantasyxiv.com/f/40247e907bb4a11bcf30e3597e3ba56e_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644926069
5,24790189,99,18,6,115822,6.0,63419,52403,Gaezfryn Ahtmhasyn,https://img2.finalfantasyxiv.com/f/29ca1f55eb5c359ebf33ca7ea4eda244_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645131867
6,8334310,99,18,7,86696,14.0,26514,60182,Soma Sephirus,https://img2.finalfantasyxiv.com/f/40c27b3daa80ddd13b090a266e696470_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645033131
7,1534255,99,18,8,85187,7.0,55204,29983,Okami Amaterasu,https://img2.finalfantasyxiv.com/f/4bc3aaafe5e7610a18092ffc8d198a69_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645021120
8,18427141,99,18,9,83163,10.0,37605,45558,Roi Tempest,https://img2.finalfantasyxiv.com/f/64115d211fb14b103b052e0f943884fe_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645099861
9,2750013,99,18,10,83119,,0,83119,Danger Bongos,https://img2.finalfantasyxiv.com/f/b8b28410a983dc4c3d01b13b4a29dfa5_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645080429
10,3372916,99,18,11,77365,4.0,75557,1808,Madlax Kobayashi,https://img2.finalfantasyxiv.com/f/70020a667b16e835803b72c7d77e789f_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645133492
11,25108796,99,18,12,76389,16.0,24302,52087,Aly Sephirus,https://img2.finalfantasyxiv.com/f/5607349e1c802ddb9ef268f6673c56cd_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645176450
12,2872484,99,18,13,73961,19.0,20021,53940,Ritzia Flameshadow,https://img2.finalfantasyxiv.com/f/5b9ef1109bc8bdd2d43057bc5c174d68_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645163694
13,1210824,99,18,14,70079,,0,70079,Anten Iswasame,https://img2.finalfantasyxiv.com/f/24a402b586c008e45aee9b824fbf06cd_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645020211
14,26045871,99,18,15,69301,11.0,33041,36260,Corellion Lucin,https://img2.finalfantasyxiv.com/f/abd2cc52296a95497dd44be07b4f962a_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644833373
15,19056884,99,18,16,66850,,0,66850,Loving You,https://img2.finalfantasyxiv.com/f/cbae5089500aefebb4f50767291687f4_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645092876
16,3457766,99,18,17,58912,12.0,28889,30023,Sablier Yoshi,https://img2.finalfantasyxiv.com/f/c054d64d7aacfef28840848349061088_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645070355
17,13317607,99,18,18,54200,32.0,10813,43387,Tousaka Kousaka,https://img2.finalfantasyxiv.com/f/9f37957188bb5237581f5143bc6df270_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645031715
18,1455808,99,18,19,49203,15.0,25762,23441,Yuyun Nhey,https://img2.finalfantasyxiv.com/f/9ca8cff05225dc92e94ed32ad736e21d_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644962766
19,846390,99,18,20,48514,17.0,23116,25398,Bindi Luthor,https://img2.finalfantasyxiv.com/f/27dd89b479ba57a41c7214920f17fb30_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644652848
20,4298952,99,18,21,48389,9.0,48389,0,Cintra Tyranu,https://img2.finalfantasyxiv.com/f/e2596b81e608bb4d6380af3b10f922cc_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645149683
21,18544114,99,18,22,44582,18.0,23082,21500,Pixie Stardust,https://img2.finalfantasyxiv.com/f/f21205da6065b715770bde568a0b1972_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645073518
22,21287667,99,18,23,40192,20.0,19768,20424,Lailah Kyrianos,https://img2.finalfantasyxiv.com/f/74410c2774bf49683f31df51eba83a8d_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645052883
23,12633183,99,18,24,39368,27.0,14160,25208,Klairiis Werwynd,https://img2.finalfantasyxiv.com/f/56755a783fd84b882a158d8addf08c35_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645156719
24,2859040,99,18,25,38766,30.0,12381,26385,Neo Phantome,https://img2.finalfantasyxiv.com/f/0c80083330eda4284245900ae2f42db6_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645159180
25,26576615,99,18,26,36266,21.0,19021,17245,Rinh'a Moshantu,https://img2.finalfantasyxiv.com/f/c77142361af5e1c943ce60a888954603_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645010131
26,10476067,99,18,27,34159,31.0,11885,22274,Arkhai Dotharl,https://img2.finalfantasyxiv.com/f/b63c12fa7c7b96da2ee6fbac05992aa0_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645051270
27,14037230,99,18,28,33644,38.0,8103,25541,Kathryne Rose,https://img2.finalfantasyxiv.com/f/c2f6ce1838d450cd0ef158a29e44ef1c_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645144851
28,25920866,99,18,29,29666,,0,29666,Kuzon Gyatso,https://img2.finalfantasyxiv.com/f/f7f465580257ab90a85ac2eb91ac6ba7_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645062794
29,9730178,99,18,30,27420,13.0,27420,0,Lorpe Dagama,https://img2.finalfantasyxiv.com/f/05e17643f36d90d8f997080535f4b4c9_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644971061
30,12607452,99,18,31,25628,23.0,15920,9708,Zeria Anchor,https://img2.finalfantasyxiv.com/f/beeb773df8ea927d30d2f864accecf8f_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645169066
31,11278586,99,18,32,24238,,0,24238,Xha Mewrilah,https://img2.finalfantasyxiv.com/f/4b0d2bbab2f64e0ceeae538c5fbe029f_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645129645
32,14729109,99,18,33,23368,,0,23368,Arjuna Tuna,https://img2.finalfantasyxiv.com/f/02d8fd87a3d16629d0029a07d7962cf5_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645130735
33,13443524,99,18,34,23128,37.0,8161,14967,Marie Makise,https://img2.finalfantasyxiv.com/f/0fa4bdcd30c9e0e93507e14ee9aef4a9_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645137265
