,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,21702974,73,16,1,180284,1.0,108377,71907,Katzi Kasimir,https://img2.finalfantasyxiv.com/f/d55d21f40fa1720cf54554d02240d68c_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645187354
1,28850664,73,16,2,145057,7.0,69458,75599,Arisales Redsteele,https://img2.finalfantasyxiv.com/f/43be069a472cade7c7b8e77cc5ba2f47_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1644806490
2,3493867,73,16,3,142783,2.0,95934,46849,Fors Taki,https://img2.finalfantasyxiv.com/f/7410ac678a89632003e41c37dd9f0e72_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1644860507
3,15945422,73,16,4,140012,6.0,78891,61121,Victoria Valyntara,https://img2.finalfantasyxiv.com/f/1ebdb92b930a6837bd53e9df9f525f50_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645127201
4,29567092,73,16,5,118810,8.0,66296,52514,Jisoo Tastybutts,https://img2.finalfantasyxiv.com/f/37d9452fa9a9d905bc63b5e245636ce8_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1644703972
5,24614814,73,16,6,115863,4.0,85611,30252,Rai Nightfire,https://img2.finalfantasyxiv.com/f/a8cbea12f21cf6c89d5d59a6e3a68df4_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1644728265
6,6780933,73,16,7,115430,3.0,85933,29497,Shadow Ichthys,https://img2.finalfantasyxiv.com/f/543830def6d157012170b9c71c0cbd6e_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645078256
7,1791314,73,16,8,107206,25.0,32370,74836,Serif Spiegel,https://img2.finalfantasyxiv.com/f/ac0a0dda5f18422d576635299cd7a28f_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1644950621
8,5949136,73,16,9,104827,9.0,64827,40000,Velvy Ka'mere,https://img2.finalfantasyxiv.com/f/431ffb44a0c7389515b12bde590f972e_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645156257
9,18262284,73,16,10,103679,11.0,61498,42181,Enigma Shadow,https://img2.finalfantasyxiv.com/f/703eee16192be10ec1257d51d6b10f4c_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645102209
10,14249311,73,16,11,102176,16.0,47646,54530,Sabre Qerel,https://img2.finalfantasyxiv.com/f/8d33cf3425bdca8f0c53585d63a260f6_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645025909
11,2253205,73,16,12,98915,12.0,58588,40327,Proto Man,https://img2.finalfantasyxiv.com/f/d8f7712914d2db105b795b92c76739f1_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1644699274
12,27931501,73,16,13,93216,28.0,27630,65586,Shin Bye,https://img2.finalfantasyxiv.com/f/416586070511af881a1cdc0471610faa_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1645016606
13,5514742,73,16,14,92501,5.0,78944,13557,Hobbs Hobbs,https://img2.finalfantasyxiv.com/f/d0d8e27d36f1531699c4d2623092bc25_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645157601
14,4880769,73,16,15,76928,15.0,48108,28820,Livix Penrose,https://img2.finalfantasyxiv.com/f/6db0cdb54ad5e0003a8b92d19e795625_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645053829
15,19369966,73,16,16,75174,24.0,32651,42523,Zon Tre,https://img2.finalfantasyxiv.com/f/2fa46e7559abf24cc58af1eabc61bf40_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1644813378
16,25208919,73,16,17,75067,10.0,63848,11219,Lycrus Felwinter,https://img2.finalfantasyxiv.com/f/36abfab964fecd060030fc37cbb5bef5_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644937602
17,14361827,73,16,18,74616,14.0,54671,19945,Prime Anubis,https://img2.finalfantasyxiv.com/f/e9b58e4e3d82e7274cc55fe31c52dee1_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645042362
18,2245197,73,16,19,73495,13.0,57235,16260,Reiji Nightforde,https://img2.finalfantasyxiv.com/f/8684f1bc185a63a59c4e8935641e257c_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645180053
19,14843967,73,16,20,72995,19.0,44143,28852,Xyyx Shard,https://img2.finalfantasyxiv.com/f/7b4436a71d968bd36d471558e32d745c_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1644916102
20,30040564,73,16,21,66821,22.0,39214,27607,Nina Heartsmith,https://img2.finalfantasyxiv.com/f/def76f453e8c6b3cc6c1cfc0ab87f3ba_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1644849275
21,25112122,73,16,22,66750,18.0,44932,21818,Toast Crunch,https://img2.finalfantasyxiv.com/f/44bedf26374b3c9c1b579305f0f63dba_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645177694
22,19392650,73,16,23,65792,23.0,37841,27951,Razzo Palazzo,https://img2.finalfantasyxiv.com/f/39dd4683e88e10ce4112d43009776465_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645125901
23,20944422,73,16,24,65567,58.0,17297,48270,Leticia Bufoni,https://img2.finalfantasyxiv.com/f/d6d8b72ac53da999fbcd9531ec51dc38_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1644604218
24,7853863,73,16,25,59703,21.0,39385,20318,Qih Mewrilah,https://img2.finalfantasyxiv.com/f/3f0278d5efe85baa4b9c71eecf2cfd42_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645132262
25,29720791,73,16,26,51728,20.0,40928,10800,I'zimizi Khah,https://img2.finalfantasyxiv.com/f/7df0a518b248bda99121b273c8f34056_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1644832148
26,16365108,73,16,27,50177,17.0,45196,4981,Tzuyu Chou,https://img2.finalfantasyxiv.com/f/b7032ce4138f6a847c84db58a7cce71f_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645138461
27,24435199,73,16,28,46160,26.0,30040,16120,Kiva'li Vahsme,https://img2.finalfantasyxiv.com/f/955e58a44860aa5ffdcaa592e4bfb419_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645002776
28,18093377,73,16,29,45925,29.0,26477,19448,Frostmage Plz,https://img2.finalfantasyxiv.com/f/7fc275f02758010e62859b7cf08243db_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645052593
29,24922611,73,16,30,45838,36.0,23166,22672,Arc Justice,https://img2.finalfantasyxiv.com/f/749f14fae4eca740fc2e233e9645aa00_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1644931805
30,29130100,73,16,31,45016,31.0,25727,19289,Ahab A'lesh,https://img2.finalfantasyxiv.com/f/256d4be577ad63a007941e18127dc452_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1644886819
31,28817000,73,16,32,39769,62.0,16520,23249,Marielle Kaidafaux,https://img2.finalfantasyxiv.com/f/cf8ce51e1d0c20967dc9784378755e3b_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645154674
32,18213247,73,16,33,38165,41.0,21287,16878,Vanha Terazh,https://img2.finalfantasyxiv.com/f/ad466e1429abf5386c42186064fc8f1d_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645019568
33,28433828,73,16,34,38072,,0,38072,Velin Qestir,https://img2.finalfantasyxiv.com/f/5208f44059138f7d43e91e9fdf6d5b35_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1644814820
34,7674374,73,16,35,38036,66.0,15616,22420,Drayce Orion,https://img2.finalfantasyxiv.com/f/172622e37f287caf6c734a0e54cc5c2f_36f0570990ac5402b2ef514d36b0435cfc0_96x96.jpg?1644983001
35,13333509,73,16,36,37449,,0,37449,Avery Horizon,https://img2.finalfantasyxiv.com/f/19fcf73fab326a885441dbeb0c276245_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1644995629
36,7810459,73,16,37,35977,32.0,25410,10567,Luna Clara,https://img2.finalfantasyxiv.com/f/828aab4f458c3232241cc9e88734960c_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645074369
37,21663177,73,16,38,35899,27.0,29452,6447,Aris Nightgale,https://img2.finalfantasyxiv.com/f/94f43b21ae1b466dc83bb7ac7901a9db_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645146808
38,12959944,73,16,39,35717,,0,35717,Meow Gotti,https://img2.finalfantasyxiv.com/f/a69496cbbc23eb1a83b43c18ae4e939d_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645185649
39,12862217,73,16,40,35225,34.0,24603,10622,Rolan Solarus,https://img2.finalfantasyxiv.com/f/4c45fa2d7aded4f35b0a10887cd4f9f2_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1644985094
40,23382724,73,16,41,34546,47.0,19905,14641,Spikki Arncyut,https://img2.finalfantasyxiv.com/f/940e7b34a3716f43ab0933b8f41814f0_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1644894865
41,16497673,73,16,42,34525,61.0,16789,17736,Durae Arulaq,https://img2.finalfantasyxiv.com/f/3559d261f5e5bfba3c7ae12d9821a111_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645141405
42,5012056,73,16,43,32210,,0,32210,Theobalin Lantonceins,https://img2.finalfantasyxiv.com/f/d61df22141960d279c22690154eff370_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1644959536
43,29565415,73,16,44,31918,43.0,20734,11184,Ludleth Kolnberg,https://img2.finalfantasyxiv.com/f/61c3d259c4705bb5dc00d2b494308d65_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1644951529
44,28579188,73,16,45,30472,,0,30472,Creanise Aascaret,https://img2.finalfantasyxiv.com/f/fb1b70d80a4935b023ccff64ecd4fad7_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1644785609
