,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,6278344,40,12,1,468606,1.0,162041,306565,Malus Rex,https://img2.finalfantasyxiv.com/f/ac812a810a5d9055ca02c674e6668cec_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645151891
1,1574782,40,12,2,168392,2.0,142756,25636,Seyjan Astalder,https://img2.finalfantasyxiv.com/f/ff09c7858d63e53a0d787cf3d5496bf2_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645022462
2,20816607,40,12,3,142391,3.0,142391,0,Sun Bun,https://img2.finalfantasyxiv.com/f/b07e985d6de1ce4d666731025bce8c1b_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645058103
3,16390433,40,12,4,102799,4.0,82826,19973,Sir Dabloons,https://img2.finalfantasyxiv.com/f/fad0351b4187734d8f95f26ce4423841_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644817141
4,25253438,40,12,5,82102,5.0,40743,41359,Davina Merigold,https://img2.finalfantasyxiv.com/f/4839adf0a3bd2142709cd0de4c31dd0e_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645176189
5,19317036,40,12,6,70584,6.0,36257,34327,Dayir Retro,https://img2.finalfantasyxiv.com/f/fc25c5a704ed0b9fb63f3b038be48dc4_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645060868
6,8126740,40,12,7,56597,8.0,18449,38148,Sae Ra'nori,https://img2.finalfantasyxiv.com/f/b46da2e19463ac296342f7043c685bb1_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645068201
7,14533390,40,12,8,48231,12.0,6895,41336,Hina Katsura,https://img2.finalfantasyxiv.com/f/9b90bdfd2ed15bdc8fa01b494aec151d_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645164398
8,22771286,40,12,9,38290,7.0,20477,17813,Miss Vanjie,https://img2.finalfantasyxiv.com/f/f3c0081935a2b6d6320573d733988b75_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645122087
9,19910679,40,12,10,28989,10.0,11325,17664,Celery Fillory,https://img2.finalfantasyxiv.com/f/26ed17bbecf5c0f33424e954b6742ffd_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645157413
10,5912442,40,12,11,27013,,0,27013,Beren Ulfang,https://img2.finalfantasyxiv.com/f/3fb6e57aafc99c404bedce468990b3dd_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645093129
11,18881961,40,12,12,27005,9.0,14207,12798,Syntel Erialos,https://img2.finalfantasyxiv.com/f/24b8ab73ed4aedd7a4561050e0432789_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644844844
12,12114643,40,12,13,8318,11.0,8318,0,Daniel Heller,https://img2.finalfantasyxiv.com/f/ea3a196fdb7776718abc337d53afd377_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645015998
13,13068801,40,12,14,5425,13.0,3120,2305,Pokefresk Shounenai,https://img2.finalfantasyxiv.com/f/0e035af00ef4b3dce94825a3c4cb0bea_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645033845
14,19873559,40,12,15,5269,,0,5269,Lani Biryani,https://img2.finalfantasyxiv.com/f/f2fe133f146bfcedbe9912f625cf679d_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645160879
15,16973255,40,12,16,4500,14.0,3000,1500,Ahro'sae Yalrah,https://img2.finalfantasyxiv.com/f/e7a167f07fd092e771e7ae7b8b4760d7_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645001132
16,11489204,40,12,17,3900,21.0,1110,2790,Fiona Shirai,https://img2.finalfantasyxiv.com/f/4b6b04ad8aba37a77ce73e23b19d6c08_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645028522
17,16770917,40,12,18,2339,,0,2339,Mint Juleps,https://img2.finalfantasyxiv.com/f/40389347ea48fe2fca6f07060fc9c792_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645133065
18,30549441,40,12,19,2306,29.0,658,1648,Mizuki Rhiki,https://img2.finalfantasyxiv.com/f/7e6a54ef4e1e078fda9f314f4d6dc6bd_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645061105
19,20082523,40,12,20,2266,15.0,2266,0,Jessika Xhula,https://img2.finalfantasyxiv.com/f/432eed62365aa44033eae37849fd2527_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645073688
20,29232015,40,12,21,2090,54.0,30,2060,Aria Song,https://img2.finalfantasyxiv.com/f/9e6c34ac468ba418d0701458665e0c57_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644832544
21,28241929,40,12,22,2007,16.0,2007,0,Esca Ered,https://img2.finalfantasyxiv.com/f/3a99ff7307bf21a5faebaa63d4f1898c_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644985451
22,13851601,40,12,23,1940,39.0,300,1640,Rhoe Lanbatal,https://img2.finalfantasyxiv.com/f/eb2296b9e25113260e997951a463deaa_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645067934
23,17828122,40,12,24,1860,17.0,1860,0,Burn Faust,https://img2.finalfantasyxiv.com/f/ead8682075465fa5a493a62c95e02780_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645172913
