,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,11153550,55,15,1,145324,,0,145324,Riza L'imperatrice,https://img2.finalfantasyxiv.com/f/15ff40db00c5cb0224e0b04a2085719f_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644991207
1,28994817,55,15,2,137319,1.0,88021,49298,Sumomo Tricoro,https://img2.finalfantasyxiv.com/f/ffbe8ee4b1eca8dc8e76d43a1349fb77_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645155344
2,21679676,55,15,3,134932,2.0,78616,56316,Poisoned Priest,https://img2.finalfantasyxiv.com/f/52a41418dfa8a2eb26a9a558e2dd3a46_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644716266
3,12444470,55,15,4,104164,3.0,60392,43772,Season Wind,https://img2.finalfantasyxiv.com/f/402f0f4acb706228539461b42f8ee6be_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644801650
4,25243868,55,15,5,100748,4.0,54857,45891,Ath Anilin,https://img2.finalfantasyxiv.com/f/df65d93112726055b31a708333c0bb6a_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645085230
5,24534771,55,15,6,59664,,0,59664,Petrichor Nanashi,https://img2.finalfantasyxiv.com/f/878173d66bfaa4b3b8614cb7f6238f6b_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644624034
6,10932488,55,15,7,50016,5.0,27887,22129,Lumi Stella,https://img2.finalfantasyxiv.com/f/c2eace9d63bae1a05cfb95c6aefac999_a91aae52cff9ef65932db06b150ffd47fc0_96x96.jpg?1645126812
7,28551046,55,15,8,49607,,0,49607,Msyk Uteki,https://img2.finalfantasyxiv.com/f/bbca9e71ca9334c3c6562ce2305864d2_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645052315
8,19070275,55,15,9,33445,6.0,20293,13152,Aelina Seeker,https://img2.finalfantasyxiv.com/f/9853c872544c81eaa0429f0f0a1218d6_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644957373
9,10256340,55,15,10,30537,,0,30537,Asuka Hikaru,https://img2.finalfantasyxiv.com/f/3f0bb7dda855cc517bc7985ca5bbfe42_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645131220
