,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,30031042,90,13,1,302658,1.0,277097,25561,Ryujia Reiner,https://img2.finalfantasyxiv.com/f/480cc46999d9d8afd835c5a45ae83aa7_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644762603
1,11448235,90,13,2,209502,2.0,130208,79294,Rean Bannings,https://img2.finalfantasyxiv.com/f/a01955b3e7f26e6d715b8d3efa1562ca_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644982780
2,27969642,90,13,3,117899,3.0,94210,23689,Zenica Zain,https://img2.finalfantasyxiv.com/f/51a115d04279f0b1f75e036346f2d2d8_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644626108
3,7508840,90,13,4,95270,6.0,61335,33935,Mana Ausliebe,https://img2.finalfantasyxiv.com/f/018660e6f4a7da9c4989d2b385ceaa61_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645003045
4,615717,90,13,5,90697,5.0,62891,27806,Liasu Gremory,https://img2.finalfantasyxiv.com/f/762536758a01d5318395dc4bddcc4848_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645129996
5,19483297,90,13,6,81494,7.0,50338,31156,City Postman,https://img2.finalfantasyxiv.com/f/95f8422e0cde23347174fda939d830b9_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644967155
6,1689492,90,13,7,64645,4.0,64645,0,Tomoyo After,https://img2.finalfantasyxiv.com/f/7bda6007a4b34ccd92d3f1edbf4e4d03_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645151595
7,21347,90,13,8,55080,,0,55080,Nywawa Fenq,https://img2.finalfantasyxiv.com/f/b3b89bf1fbcc71b6ce8623bd96960885_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645097080
8,18622205,90,13,9,51172,10.0,22744,28428,Chie Squirr,https://img2.finalfantasyxiv.com/f/676713ed62f0f6089f5c28c29cd409b7_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645072557
9,17045349,90,13,10,44605,8.0,41841,2764,Akiti Ar,https://img2.finalfantasyxiv.com/f/9a643f6a964ad7990734e66ee6f01fda_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644985029
10,25839630,90,13,11,44228,9.0,27333,16895,Ciel Lumierre,https://img2.finalfantasyxiv.com/f/5d1fb623c76ead6b359fb7ea674ec893_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645018463
11,15120668,90,13,12,27161,48.0,3740,23421,Ange Saxda,https://img2.finalfantasyxiv.com/f/c18ab5839795843222ec0799b5c0c381_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645154887
12,19206215,90,13,13,27071,,0,27071,Roux Louka,https://img2.finalfantasyxiv.com/f/2e3da4a86538ea6df2b8009cd269e0ed_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645167304
13,21128869,90,13,14,26652,12.0,18981,7671,Kuro Now,https://img2.finalfantasyxiv.com/f/9aa868177d0b3553c378628291ca7c3e_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644761678
14,130271,90,13,15,24899,11.0,22598,2301,Yoru Aoame,https://img2.finalfantasyxiv.com/f/cebee259e0f815b52734dc7bce20785e_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645137729
15,24394540,90,13,16,23144,13.0,16398,6746,Lachesis Sera,https://img2.finalfantasyxiv.com/f/d1045b8870e95871bc99477f9be721ec_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644987308
16,102839,90,13,17,17169,,0,17169,Finely Ghana,https://img2.finalfantasyxiv.com/f/766086ffad442da1329da5ac0255f379_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644999991
17,20407150,90,13,18,16791,26.0,7121,9670,Mellow Afecto,https://img2.finalfantasyxiv.com/f/9c5e9a9cb467781676e1b67a854f70fe_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645076540
18,26123507,90,13,19,15417,19.0,9420,5997,Rikka Takanashi,https://img2.finalfantasyxiv.com/f/a9534ed6ab792a7395bf6761499f0ad8_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644921341
19,25156071,90,13,20,14786,14.0,14786,0,Cherry Ink,https://img2.finalfantasyxiv.com/f/d6343075a59c5ca28b212ab72a125928_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645141236
20,1379076,90,13,21,14048,20.0,8540,5508,Alice Terror,https://img2.finalfantasyxiv.com/f/6731714b0e4efadafbf02df7a6db7a45_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645072808
21,23825388,90,13,22,12590,24.0,7769,4821,Baldo Chalphy,https://img2.finalfantasyxiv.com/f/5655dd7330e6135d7d5e5e253b8d9a97_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645082237
22,5741993,90,13,23,12462,15.0,12462,0,Mizzium Mortars,https://img2.finalfantasyxiv.com/f/9bd4afdaf07aa2955004ec69d373a0c0_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645087764
23,5812139,90,13,24,12149,30.0,6119,6030,Beam Sashimi,https://img2.finalfantasyxiv.com/f/4393d4609ae29fe4836054c8aeeb480c_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645037828
24,1016641,90,13,25,11113,29.0,6216,4897,Snowcrystal Milkyway,https://img2.finalfantasyxiv.com/f/41fbb96421efb9b11a8ca4a1aa17b1b4_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644997928
25,14497117,90,13,26,11061,18.0,9441,1620,Jey Schwarzer,https://img2.finalfantasyxiv.com/f/26580999610a60065c94d745802afeec_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645105867
26,23268495,90,13,27,10557,16.0,10557,0,Uta Moreau,https://img2.finalfantasyxiv.com/f/f113b52b06ec0ad2206c785f17e74621_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644981168
27,39795,90,13,28,10094,47.0,3855,6239,Sora Tsukino,https://img2.finalfantasyxiv.com/f/8bb8db5ef233dd3017e3d64f9b9c9318_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645061487
28,15107978,90,13,29,9887,17.0,9887,0,Toppo Meshappo,https://img2.finalfantasyxiv.com/f/c5a3b6d4a31d3d32d05d5a77372d5298_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644996237
29,5443606,90,13,30,9750,45.0,3900,5850,Lefty Noel,https://img2.finalfantasyxiv.com/f/fda14a159c39d8d5af31441b222366b8_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645004991
30,4274549,90,13,31,9434,21.0,8118,1316,Sally Lee,https://img2.finalfantasyxiv.com/f/f146f75db2f87c547de457ec8fe593a2_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644776408
31,608723,90,13,32,9403,32.0,5707,3696,Ren Ichiki,https://img2.finalfantasyxiv.com/f/e29e2c3afa6bb3db70da3a444f11ee88_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644905277
32,28948496,90,13,33,9019,25.0,7546,1473,Xio Marbook,https://img2.finalfantasyxiv.com/f/94c09ef76b3961f2fc2be2f8b8f589f9_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645018341
33,11524,90,13,34,8938,41.0,4286,4652,Noel Festival,https://img2.finalfantasyxiv.com/f/bff8ecaf81521f61bf1357dc4515380e_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644907537
34,16769411,90,13,35,8870,22.0,7816,1054,Nana Cologne,https://img2.finalfantasyxiv.com/f/776cb556f23a710429562e4d10f925f0_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644960951
35,19051490,90,13,36,8837,33.0,5470,3367,Lain Lain,https://img2.finalfantasyxiv.com/f/62112a586746a1de0c1fffe7348a69f1_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1614450161
36,26340110,90,13,37,7807,23.0,7807,0,Rabbit Circle,https://img2.finalfantasyxiv.com/f/f4c243fe1d7616a0a6aee58afefeb409_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645049922
37,25568468,90,13,38,7755,27.0,6747,1008,Hina Kotori,https://img2.finalfantasyxiv.com/f/b58fe6a39bd7ab58f6bc6d97d3d3fa63_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645094091
38,15373560,90,13,39,7077,37.0,4767,2310,Sakura Kasumisou,https://img2.finalfantasyxiv.com/f/d36f092943db8c090874c3980e36865f_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644955262
39,25755800,90,13,40,6316,43.0,4046,2270,Flower Mokuren,https://img2.finalfantasyxiv.com/f/aa89f11aeac17e6b48c9184990ba6a84_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645126975
40,23977608,90,13,41,6290,56.0,2550,3740,Cidr Coco,https://img2.finalfantasyxiv.com/f/2cbbdd8f4cf655d61f216b649ec53d94_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645065629
41,21443828,90,13,42,6284,28.0,6284,0,Sai Yu,https://img2.finalfantasyxiv.com/f/70e8f617e952c39582659ede562cbfd0_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1645017106
42,11466262,90,13,43,5994,39.0,4644,1350,Kate Charis,https://img2.finalfantasyxiv.com/f/8fd0f1abab1089d88d2b832ff9bf2e5b_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645054471
43,2799657,90,13,44,5969,42.0,4222,1747,Fritz Fleetwood,https://img2.finalfantasyxiv.com/f/e13f4f216090ad0ab7b5791bb88f895c_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644969048
44,24039361,90,13,45,5840,31.0,5840,0,Stella Alba,https://img2.finalfantasyxiv.com/f/b9b72a74261443c5b288edba11bd7539_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645025285
45,17824998,90,13,46,5700,34.0,5130,570,Elrik Lotus,https://img2.finalfantasyxiv.com/f/8352459b45279f7ce87ab090811f5466_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645132872
46,29711638,90,13,47,5326,52.0,3133,2193,Ai Pee,https://img2.finalfantasyxiv.com/f/d5993daa1724b6d33f10dc84d36a84db_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644973986
47,4788974,90,13,48,5242,,0,5242,Wascha Luminous,https://img2.finalfantasyxiv.com/f/80b316005a79cc5232fe315850173362_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645153213
48,904673,90,13,49,5010,35.0,5010,0,Kurusu Larb,https://img2.finalfantasyxiv.com/f/c3c2adc684060edf68a99a71f55f1bf3_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645139605
49,31700,90,13,50,4916,57.0,2542,2374,Shiina Langley,https://img2.finalfantasyxiv.com/f/155323b35234b3846a97da5306a31336_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645083266
50,1675218,90,13,51,4884,50.0,3447,1437,Ruruelle Tertre,https://img2.finalfantasyxiv.com/f/112ea4fd8d7687a781b862e742b24f7f_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645095130
51,22783615,90,13,52,4825,36.0,4825,0,Kii Re-yu,https://img2.finalfantasyxiv.com/f/bf6fc718dd6066ba8884bdadf748fa70_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645056320
52,28987216,90,13,53,4815,,0,4815,Viola Fontaine,https://img2.finalfantasyxiv.com/f/37fa7772037c1df983cdb790f01a4bf1_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645078328
53,24923231,90,13,54,4766,38.0,4766,0,Lapis Lazuly,https://img2.finalfantasyxiv.com/f/3ba9935b47dc6c16be783dcd0eb6884f_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644998600
54,17817,90,13,55,4557,61.0,2427,2130,Faye Andrea,https://img2.finalfantasyxiv.com/f/cddf8d16558d7d43e212ad321863fd45_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645089183
55,23419038,90,13,56,4335,40.0,4335,0,Yuga Tempest,https://img2.finalfantasyxiv.com/f/fbf9f14e304184f7482cd0efee8726c9_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645187021
56,25673284,90,13,57,4255,44.0,3925,330,Garo Fee,https://img2.finalfantasyxiv.com/f/c9095c93ba480fdeea842677d5c02aed_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645055702
57,24695016,90,13,58,4082,53.0,2942,1140,Ichika Liessfeldt,https://img2.finalfantasyxiv.com/f/f312b810986593c91f69516b9afa51e8_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645169816
58,1664398,90,13,59,4050,51.0,3150,900,Lilie Schild,https://img2.finalfantasyxiv.com/f/9927a62b84964b68a1fa85089945dce1_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644985430
59,25632998,90,13,60,3885,46.0,3885,0,Mya Mia,https://img2.finalfantasyxiv.com/f/5b22842cdb49c72c6c30a1afd54cca2a_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645097312
60,18670765,90,13,61,3780,58.0,2490,1290,Blooming Jewel,https://img2.finalfantasyxiv.com/f/4b26f996f0751c3e7aae6763805a0aa0_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644655933
61,25426280,90,13,62,3618,49.0,3618,0,Nano Whitear,https://img2.finalfantasyxiv.com/f/0237ee007c1bf15e0d2480f19660acac_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645116552
62,26359083,90,13,63,3355,91.0,1260,2095,Aeka Milkyway,https://img2.finalfantasyxiv.com/f/610bfb89ee807d633c3c2ae6086dc8d3_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645128310
63,3924928,90,13,64,3262,,0,3262,Mklene Coignet,https://img2.finalfantasyxiv.com/f/851dd3b8bde67323ef25c93be9ca3017_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645067853
64,17411323,90,13,65,3150,65.0,2100,1050,Pain Demie,https://img2.finalfantasyxiv.com/f/8e37a6ec0ea5c577cb4b3a92d2d039ce_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645062719
65,14299,90,13,66,2964,66.0,2073,891,Alsea Lohse,https://img2.finalfantasyxiv.com/f/bc816b3328303531e05c2a37e215db91_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644845908
66,16360,90,13,67,2820,63.0,2170,650,Asuka Paparun,https://img2.finalfantasyxiv.com/f/3468943f4583b5544c6176d1729a8576_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644921319
67,25871940,90,13,68,2722,54.0,2722,0,Mu Yak,https://img2.finalfantasyxiv.com/f/b2305274f61a4738be6c2c4b0240073c_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644882857
68,4684869,90,13,69,2704,71.0,1958,746,Noelle Serenade,https://img2.finalfantasyxiv.com/f/765be41720518c6393c813d99b4945c0_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645030604
69,2827946,90,13,70,2684,81.0,1552,1132,Yuri Vesperia,https://img2.finalfantasyxiv.com/f/b8b632488f39fccc8eb80183ed183008_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645091700
70,1275,90,13,71,2682,75.0,1791,891,Yushe Hyrein,https://img2.finalfantasyxiv.com/f/626c2ab22571f835ba51b024fc3fe0d8_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644827712
71,99548,90,13,72,2567,55.0,2567,0,Ran Tana,https://img2.finalfantasyxiv.com/f/3cddef3ae64ba9727005e2ee95ecad76_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645063506
72,546795,90,13,73,2519,76.0,1770,749,Ryo Scarlet,https://img2.finalfantasyxiv.com/f/4663279e6eeef4110db20961891acc93_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645155731
73,19296593,90,13,74,2514,95.0,1164,1350,Au Lait,https://img2.finalfantasyxiv.com/f/7c94a2907cbc5856122ca0fff478443f_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645128569
74,15088083,90,13,75,2460,59.0,2460,0,Kero Besu,https://img2.finalfantasyxiv.com/f/b55fee91e13084351909ff5211dcf012_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644836939
75,21532318,90,13,76,2444,60.0,2444,0,Ardyn' Emuyan,https://img2.finalfantasyxiv.com/f/1a34a4f5e991a2f3a63009a5e89334ea_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645117528
76,6508451,90,13,77,2398,94.0,1199,1199,Eon Garunasuu,https://img2.finalfantasyxiv.com/f/3fcaf3ace619d0cee049fa52164ed454_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644964487
77,458846,90,13,78,2397,100.0,1061,1336,Itadori Minamo,https://img2.finalfantasyxiv.com/f/1d74308c72cc685fdc5f2ec76dd1c67f_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645079699
78,29182169,90,13,79,2186,62.0,2186,0,Kei Ruby,https://img2.finalfantasyxiv.com/f/f63c727b65ba37e94f9b55433ae4be14_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1645120114
79,3542,90,13,80,2169,64.0,2169,0,Icy Liam,https://img2.finalfantasyxiv.com/f/926f50d9f89db6559e5c3dad3409e718_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645070244
80,24963319,90,13,81,2156,97.0,1161,995,Koko Ura,https://img2.finalfantasyxiv.com/f/8b338bfb8fad49525aad68cd330b5abe_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645151669
81,29274829,90,13,82,2070,85.0,1440,630,Rou Lette,https://img2.finalfantasyxiv.com/f/7c2951a0d7ed7069fa5f9c905af5e714_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645053882
82,26064412,90,13,83,2066,67.0,2066,0,Tomoaki Klauser,https://img2.finalfantasyxiv.com/f/9a1a3b4be77b557bfb26972520ae9da5_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644762481
83,1335328,90,13,84,2048,68.0,2048,0,Katuwo Soboro,https://img2.finalfantasyxiv.com/f/69066e7025afa61d39afd21a04a37153_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644762328
84,27760914,90,13,85,2015,69.0,2015,0,Wine White-gund,https://img2.finalfantasyxiv.com/f/f6fdd77df676895a8669cf0782298668_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645039017
85,23758699,90,13,86,1962,70.0,1962,0,Popoyon Poporon,https://img2.finalfantasyxiv.com/f/d5b81e09d3a5897e25b821b129842654_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645006926
86,12431196,90,13,87,1920,72.0,1920,0,Kiyo Matsu,https://img2.finalfantasyxiv.com/f/0dfb0cb9920b10fd60f0d3a09e9d25e4_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645071005
87,23135611,90,13,88,1885,73.0,1885,0,Suzume Moineau,https://img2.finalfantasyxiv.com/f/08a4219da570c901a596cc3641f096e6_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645184531
88,631756,90,13,89,1812,74.0,1812,0,Alman Aurelia,https://img2.finalfantasyxiv.com/f/ca1bba98ce001fb5cbb89c436422c10c_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644981168
89,26935300,90,13,90,1740,77.0,1740,0,Marro Glace,https://img2.finalfantasyxiv.com/f/e0bc6ef956324a49e293bc53bc898b0a_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645189580
90,5294118,90,13,91,1680,,0,1680,Akarie Super,https://img2.finalfantasyxiv.com/f/387689ca54c13611997ebcdb0000b5ea_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645106721
91,4126159,90,13,92,1680,,0,1680,Miro Klose,https://img2.finalfantasyxiv.com/f/7207bd945f148d23383299d80e75abae_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645043640
92,17610856,90,13,93,1650,87.0,1380,270,Gajumaru Nekouri,https://img2.finalfantasyxiv.com/f/f5a86dea466293434a38be77dc0fba5a_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645084179
93,8604460,90,13,94,1619,78.0,1619,0,Light Wright,https://img2.finalfantasyxiv.com/f/11b3c6ccf9441ae38d670d395e25c3f2_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644865080
94,26260848,90,13,95,1588,79.0,1588,0,Yawn Mount,https://img2.finalfantasyxiv.com/f/9c4b9443fc2bc44b20d6970242b62d47_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644953451
95,26622323,90,13,96,1560,80.0,1560,0,Oimo A-ma,https://img2.finalfantasyxiv.com/f/86dc343d3a685e2a08c2145f80fbf78d_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645005858
96,24871291,90,13,97,1557,,0,1557,Charcoal Teal,https://img2.finalfantasyxiv.com/f/62c8c8a21f83d6e15cbfbe372798f42f_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645060377
