,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,3571141,70,16,1,390909,1.0,280032,110877,Lisa Milliard,https://img2.finalfantasyxiv.com/f/ddffd8a1f404cc5583b6666745322d5a_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645071797
1,18295322,70,16,2,282025,12.0,145408,136617,Leather Shoesyang,https://img2.finalfantasyxiv.com/f/552d966b48297a1c18484bf4bebcdd07_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644621374
2,30476185,70,16,3,272151,2.0,205252,66899,First Aid,https://img2.finalfantasyxiv.com/f/94c9af39d34d4596ce97dbc2a749c05d_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644888840
3,2308753,70,16,4,268329,11.0,150498,117831,Freya Lunatic,https://img2.finalfantasyxiv.com/f/a2c6a41fa33ff59d6526204e126eaa21_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644650076
4,16979174,70,16,5,266147,4.0,198614,67533,Zel Celestial,https://img2.finalfantasyxiv.com/f/a3d6b744710bc163333add6f53b179fa_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644983292
5,13728032,70,16,6,262586,7.0,180022,82564,Riyu Lewis,https://img2.finalfantasyxiv.com/f/1351b3ea19bec08a364b8293e518ad85_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645165197
6,25660383,70,16,7,242082,5.0,194211,47871,Hana Flor,https://img2.finalfantasyxiv.com/f/fd63721305861ead66fecc91edc97210_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645056309
7,3185548,70,16,8,239707,3.0,202657,37050,Khar Lirio,https://img2.finalfantasyxiv.com/f/d56b3493cb0dbe9933b48a98bef2f273_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644835326
8,2205940,70,16,9,225847,6.0,184769,41078,Aruru Aru,https://img2.finalfantasyxiv.com/f/5e232571b1c2973a63b49c5f28ac42e5_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644965015
9,1571951,70,16,10,225409,8.0,167942,57467,Tame Iki,https://img2.finalfantasyxiv.com/f/c68139dfd01c1db178940852cf74e0b1_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644993542
10,15691885,70,16,11,223613,10.0,165860,57753,Astin Odyssey,https://img2.finalfantasyxiv.com/f/dc0358fcfdc846129b3a39e844f11468_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644984703
11,29153871,70,16,12,212335,9.0,167827,44508,Laze Phy,https://img2.finalfantasyxiv.com/f/75d3df5dbf13615214e99e25be165bcc_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644628657
12,8677916,70,16,13,200296,14.0,130198,70098,Dark Chocolate,https://img2.finalfantasyxiv.com/f/db4ecca65539a40a3e1952f365674c2e_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645090465
13,1545223,70,16,14,198549,17.0,111501,87048,Tzalik Trueword,https://img2.finalfantasyxiv.com/f/af10fc4b198974d5a27021e73e4e6519_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645156627
14,8890824,70,16,15,191917,15.0,115924,75993,Satsuki Yellow,https://img2.finalfantasyxiv.com/f/0001d726169299c0256a85182beac9b2_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645137347
15,2326421,70,16,16,190439,13.0,140897,49542,Major Shosa,https://img2.finalfantasyxiv.com/f/2dfcda8cffb8cbda824b4b0adff0797c_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645160639
16,28348834,70,16,17,178114,23.0,80515,97599,Aiha Sky,https://img2.finalfantasyxiv.com/f/e1cab85764cf9ab2bb8ae4e8c17683ce_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644963742
17,1578737,70,16,18,163913,18.0,109576,54337,Sheryl Nome,https://img2.finalfantasyxiv.com/f/d3eecaf6360eb06e4cca41cc9963c6bc_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645182881
18,5165579,70,16,19,148481,16.0,113426,35055,Satsuki White,https://img2.finalfantasyxiv.com/f/f7ef561e1693e743b546510f35c667cb_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645185133
19,4494810,70,16,20,130663,20.0,87483,43180,Dakara Deep,https://img2.finalfantasyxiv.com/f/4b79e0e0708c4637b77fe040ce9019e5_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644865355
20,16499395,70,16,21,120834,25.0,69783,51051,Frederika Draculea,https://img2.finalfantasyxiv.com/f/c26b1bf8b1dffbe43fdb788406d7a10b_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644734819
21,2348901,70,16,22,120775,21.0,86170,34605,Ika Saman,https://img2.finalfantasyxiv.com/f/912ee59f716f1ec43ff60e2a5ffcc241_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645055173
22,1561927,70,16,23,110676,19.0,90223,20453,World Com,https://img2.finalfantasyxiv.com/f/a578dbaec19a42a2d535b3c230f0d8a2_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645188913
23,1981667,70,16,24,101022,24.0,72002,29020,Tsubasa Blackcat,https://img2.finalfantasyxiv.com/f/ece8be44f02bc3d1a72b574368eb462b_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645134280
24,30404239,70,16,25,87538,26.0,65877,21661,Nerine Dew,https://img2.finalfantasyxiv.com/f/ce1e165e50fe36574824b5a8df1b497a_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644801726
25,29735967,70,16,26,85562,30.0,61083,24479,Powapowa Po,https://img2.finalfantasyxiv.com/f/07603de89d70a883bc7bc859e3ea6e24_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645049835
26,29031589,70,16,27,83423,22.0,83423,0,Afiry Fudge,https://img2.finalfantasyxiv.com/f/6ebb14594d1ca47bf31ee2134cd2e367_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644985402
27,8636186,70,16,28,75692,34.0,53941,21751,Yuccha Astraia,https://img2.finalfantasyxiv.com/f/b51dd3d1a908cbeaca72ae6e44eb0083_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645032341
28,10966061,70,16,29,74184,29.0,62627,11557,Wabi Stone,https://img2.finalfantasyxiv.com/f/77f6f67c7e384d310e3a8770c11ce6f7_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645183605
29,2509117,70,16,30,70434,31.0,58882,11552,Ayame Kanzaki,https://img2.finalfantasyxiv.com/f/9c9cfc130235b5062d1923771e0d4970_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644953230
30,21742096,70,16,31,68297,28.0,64465,3832,Oreki Houtarou,https://img2.finalfantasyxiv.com/f/47995dfd9eba22a37a9d920f0d8c3d28_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645056109
31,3815826,70,16,32,65850,36.0,51718,14132,Mira Aqua,https://img2.finalfantasyxiv.com/f/d84186152a7babc794e01b39f2610e9c_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644969122
32,20793194,70,16,33,64994,41.0,42221,22773,Cocoro Heartilly,https://img2.finalfantasyxiv.com/f/0a3414a62932da340fd6c242873e411b_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645139833
33,30026502,70,16,34,64782,27.0,64782,0,Moco Leininger,https://img2.finalfantasyxiv.com/f/70de6a4a9c027a5cc04986384e6df380_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1624116493
34,11231526,70,16,35,64529,37.0,49673,14856,Sola Heart,https://img2.finalfantasyxiv.com/f/5437f19d2410b167a3dc9f64a719860e_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645025084
35,2326301,70,16,36,59596,33.0,56971,2625,Nuts Tea,https://img2.finalfantasyxiv.com/f/a32d9eabe6164b704ea07cb7fcecff42_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644836487
36,11733647,70,16,37,58479,32.0,58479,0,Shan Leciel,https://img2.finalfantasyxiv.com/f/82103e2daf4dd75275aad50aee9729fd_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645082505
37,19155999,70,16,38,56184,39.0,45069,11115,Togepy Lahabrea,https://img2.finalfantasyxiv.com/f/faff1d420bbcd98e23daf3e386c44f11_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644890495
38,17542322,70,16,39,54054,69.0,29549,24505,Rony Taylor,https://img2.finalfantasyxiv.com/f/c792d6c15072a451ef8cb0da679fb39e_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644962503
39,27054535,70,16,40,53183,57.0,33969,19214,Kizami Poi,https://img2.finalfantasyxiv.com/f/273dfb150416427c969ca3cfaf4687d6_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644971126
40,25706697,70,16,41,52933,35.0,52933,0,Nekomimi Oneechan,https://img2.finalfantasyxiv.com/f/91a544dfa0a48b13dda77f53452894d6_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645089731
41,1773832,70,16,42,52824,61.0,32246,20578,Ran Heartfilia,https://img2.finalfantasyxiv.com/f/c76e515fb4613484355f72328e1adaf9_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645108519
42,15880682,70,16,43,52039,66.0,30032,22007,Claris Blue,https://img2.finalfantasyxiv.com/f/fc96dab5ba8a0b088fd6d81e6d22f0f6_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645056053
43,7018947,70,16,44,51780,49.0,37622,14158,Leaf Klein,https://img2.finalfantasyxiv.com/f/ec2f12a7e58eeed317beb09c3c43bd75_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645051601
44,5883732,70,16,45,50762,65.0,30846,19916,Taku Coral,https://img2.finalfantasyxiv.com/f/7bcc3e30b6535bb573dfb5a5749fb75b_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644799288
45,13440811,70,16,46,50606,43.0,41165,9441,Lapis Azur,https://img2.finalfantasyxiv.com/f/d55a5019e08598e7a339eb59c5d5e92a_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645129379
46,30030311,70,16,47,49354,52.0,35262,14092,Puma Puku,https://img2.finalfantasyxiv.com/f/f89f4fa98f944b25231b6e96c54b6f4f_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644781494
47,27219872,70,16,48,49072,50.0,37249,11823,Far Stella,https://img2.finalfantasyxiv.com/f/d1c5f5e0b3f3963b69c2e28f32facec8_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645063759
48,26523932,70,16,49,48817,42.0,41700,7117,Sss Kawa,https://img2.finalfantasyxiv.com/f/2a3f11f89922818ab0d46288e0540e61_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644854199
49,1554406,70,16,50,47320,46.0,39689,7631,Latte Polaris,https://img2.finalfantasyxiv.com/f/dfdd118d5baba4753171644de95d9226_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644952691
50,8792521,70,16,51,46838,63.0,31110,15728,Noa Izayoi,https://img2.finalfantasyxiv.com/f/4f176c5e2e1d87504fcf11113dac6ff0_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644940154
51,12405278,70,16,52,45604,38.0,45604,0,Princess Megchas,https://img2.finalfantasyxiv.com/f/e2a60d30657acd73a7a443ed2c55f5a1_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644944657
52,15777620,70,16,53,45236,53.0,34849,10387,Animal Crossing,https://img2.finalfantasyxiv.com/f/c27dfcaac1ae30b33986ea0665cc9386_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644768569
53,10182980,70,16,54,44980,40.0,44980,0,Mimi Cadenz,https://img2.finalfantasyxiv.com/f/8eae7aea670b9e66a220f18a0c4f603b_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1644977399
54,5497021,70,16,55,43641,44.0,40820,2821,Mia Kocka,https://img2.finalfantasyxiv.com/f/0a21fcd5a9766c428a3e575d984c8f86_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644969921
55,7668722,70,16,56,43134,67.0,29757,13377,Hiro Saotome,https://img2.finalfantasyxiv.com/f/94a6d159e978cce95d87258808020c1e_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644768413
56,31781515,70,16,57,42788,89.0,23607,19181,Momo Mero,https://img2.finalfantasyxiv.com/f/c249ddcdb6f9003dd6a02a2d9cc7d1e1_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645181178
57,3223173,70,16,58,41768,70.0,29344,12424,Masamune Asakura,https://img2.finalfantasyxiv.com/f/e365128e1d86ab1bf8d0434880460d35_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645145953
58,1571206,70,16,59,41126,74.0,27471,13655,Hinari Soralens,https://img2.finalfantasyxiv.com/f/a9b49700de212a221ea45e93af2d81c6_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645136915
59,1563735,70,16,60,40758,48.0,38099,2659,Oxy Genki,https://img2.finalfantasyxiv.com/f/d9751b825df8d0bbff267aa71952d6bc_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644787241
60,3753194,70,16,61,40248,45.0,40248,0,Limo Ne,https://img2.finalfantasyxiv.com/f/b614230fce610bc32504e0a753013bb3_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645078644
61,1627358,70,16,62,39804,62.0,31731,8073,Maru Ronron,https://img2.finalfantasyxiv.com/f/0dd1c8b73976547e1be0958bd00988f4_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644986528
