,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,187780,70,13,1,370000,1.0,273554,96446,Renya Nyanko,https://img2.finalfantasyxiv.com/f/cf3ea5f720d12416774dfff4265401fb_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645157056
1,10129380,70,13,2,256110,3.0,137638,118472,Noel' Vermillion,https://img2.finalfantasyxiv.com/f/b26f3cce7abbfc042eeb5419cf63cedd_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645085869
2,29492108,70,13,3,180000,4.0,130201,49799,Palmwine Poe,https://img2.finalfantasyxiv.com/f/fdc89d8b141146c21a643477fb92b97c_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644747242
3,5108769,70,13,4,155652,2.0,155652,0,Mona Tierra,https://img2.finalfantasyxiv.com/f/1340d246feaa54b713907283180b4df3_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645015643
4,28026096,70,13,5,106543,7.0,52681,53862,Milene Mitomi,https://img2.finalfantasyxiv.com/f/afe8feda245b020224480a0b38d433b2_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645104771
5,1774531,70,13,6,104938,5.0,77736,27202,Venus Aphrodite,https://img2.finalfantasyxiv.com/f/0d0f8b952c7ebc85cbc49cf143bba107_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645092062
6,10072603,70,13,7,102988,10.0,39692,63296,Sherlock Kennan,https://img2.finalfantasyxiv.com/f/a8acd6a78700517e2ce09c97af235481_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644808641
7,4911186,70,13,8,72978,11.0,38851,34127,Strelats Maon,https://img2.finalfantasyxiv.com/f/684fafba5db75fa6907cac013af78823_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645154708
8,15682367,70,13,9,62893,13.0,30439,32454,Gawr Gura,https://img2.finalfantasyxiv.com/f/9fb39ce60d956c20476e0df8ef608f29_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645133498
9,25477489,70,13,10,60809,6.0,52926,7883,Duin Kyle,https://img2.finalfantasyxiv.com/f/bba854e4a0b22288875d1d919762f595_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644998645
10,2424081,70,13,11,52471,9.0,40793,11678,Sala Liverani,https://img2.finalfantasyxiv.com/f/73ded85830c60542a13cb574ff818fcf_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644837586
11,1561984,70,13,12,50269,14.0,29381,20888,Eru Vinto,https://img2.finalfantasyxiv.com/f/935ee531dc1ffd7bccc7bf2a64b5c4ee_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645178845
12,15474851,70,13,13,45934,8.0,45934,0,Elmeir Eily,https://img2.finalfantasyxiv.com/f/f2457b20cdad205679e05ac3c278db0d_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644826200
13,3980909,70,13,14,44942,16.0,24879,20063,May Farron,https://img2.finalfantasyxiv.com/f/4c6d64f5090a049d50c4326d5f70ab22_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645035814
14,4697110,70,13,15,42946,25.0,12000,30946,Elle Alniyat,https://img2.finalfantasyxiv.com/f/a8c6ef7212db71759a821821c3c4b517_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645073865
15,1561361,70,13,16,42870,15.0,26795,16075,Serena Klein,https://img2.finalfantasyxiv.com/f/fc30b36c107e2744c458eefe2675f60c_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1644816633
16,2826554,70,13,17,35884,12.0,35884,0,Axel Katze,https://img2.finalfantasyxiv.com/f/ca5afd65188332d223575af701747a20_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645046578
17,1576541,70,13,18,33557,22.0,14609,18948,Daphnia Pulex,https://img2.finalfantasyxiv.com/f/bdaadd7c2ce4ffe213715d4b911046d6_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645168827
18,25274328,70,13,19,32766,17.0,18090,14676,Noris Mrs,https://img2.finalfantasyxiv.com/f/13f4a5c75f909cb04970531f8039d59a_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645144277
19,17080105,70,13,20,31321,,0,31321,Emyo Ngo,https://img2.finalfantasyxiv.com/f/2a78f5a84aa92f8478dec11b21a61bd7_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645123383
20,1572357,70,13,21,24446,24.0,12215,12231,Sumo U'toli,https://img2.finalfantasyxiv.com/f/629f4bd4d11fb0fa0963b2825cb1db9c_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645175408
21,11372453,70,13,22,23593,18.0,16214,7379,Miyavi Moco,https://img2.finalfantasyxiv.com/f/bf30f59f0aec5f823e89501c538d14c8_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644787990
22,25825611,70,13,23,22386,21.0,15139,7247,Tama Sama,https://img2.finalfantasyxiv.com/f/1eda83ed80b6893759a1ce52fe14560c_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645160557
23,14893359,70,13,24,19710,20.0,15152,4558,S'elah Rhid,https://img2.finalfantasyxiv.com/f/cb5606f5cad729b65eb6cde272514d64_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645020679
24,11541987,70,13,25,18022,26.0,11970,6052,Sapphire Kh,https://img2.finalfantasyxiv.com/f/acfd2392c7d1df10a2c0baf118c862a8_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644976890
25,4360134,70,13,26,17637,19.0,15537,2100,Misty Camus,https://img2.finalfantasyxiv.com/f/0679e3f989bccc5a875883ea10427f5c_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645081523
26,12503503,70,13,27,14969,31.0,8471,6498,Una Liebig,https://img2.finalfantasyxiv.com/f/4184034d0548d16c383942276c15bfb1_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645152377
27,28613198,70,13,28,14490,27.0,11280,3210,Minase Kotoha,https://img2.finalfantasyxiv.com/f/fcf1d1cb15827348711a83816734dbf8_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644895857
28,21664104,70,13,29,14382,23.0,14382,0,Jin Akatsuki,https://img2.finalfantasyxiv.com/f/56f8711d20adaf8645b1ff6d06b6bf7b_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645119684
29,7668722,70,13,30,13902,29.0,10336,3566,Hiro Saotome,https://img2.finalfantasyxiv.com/f/94a6d159e978cce95d87258808020c1e_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644768413
30,1841301,70,13,31,13421,41.0,4332,9089,Memory Acuario,https://img2.finalfantasyxiv.com/f/b8b702e65659d7ef61a73014849a200d_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644969202
