,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,20614416,61,14,1,294084,1.0,203065,91019,Raih Elakha,https://img2.finalfantasyxiv.com/f/885b0f03d5fa58ba667862b6ff49edd6_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644669951
1,8552658,61,14,2,213846,2.0,169853,43993,Lumie Lightning',https://img2.finalfantasyxiv.com/f/563e7d2effccd36a9a61cb7da9a27b32_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645178639
2,22079948,61,14,3,210518,,0,210518,Good-sun Ohana,https://img2.finalfantasyxiv.com/f/82f816d973f48549a2b599829cd890f7_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644983441
3,3182848,61,14,4,150714,3.0,102359,48355,C'garura Gasiru,https://img2.finalfantasyxiv.com/f/b5784fe0277d247e85ae88983c0b9580_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645026633
4,3220775,61,14,5,128300,4.0,61856,66444,Ixa Mistreito,https://img2.finalfantasyxiv.com/f/2d9f7dbc5a083e42c33bd2bf2f684bbf_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644951659
5,18660520,61,14,6,91894,11.0,24766,67128,Well Shuell,https://img2.finalfantasyxiv.com/f/cea4288b90729a04f8fe48baf21e4675_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645036061
6,4687742,61,14,7,90301,5.0,39236,51065,Wenli Safford,https://img2.finalfantasyxiv.com/f/483805a50976ba455f5043c8dc6a49b5_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645166266
7,25182511,61,14,8,53486,8.0,32740,20746,Setuna Haru,https://img2.finalfantasyxiv.com/f/0a88c505f437b1599b0c19f962987f3f_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644834961
8,1659445,61,14,9,50688,51.0,3006,47682,Lorand Cidolfas,https://img2.finalfantasyxiv.com/f/27b186a336d113bc19e74d274364516c_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645174245
9,15097135,61,14,10,48528,6.0,37993,10535,Majesty Michelle,https://img2.finalfantasyxiv.com/f/a299a5a9a6e40b1a571d7db989992b04_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645117261
10,22239483,61,14,11,45685,12.0,21789,23896,Cia Blanche,https://img2.finalfantasyxiv.com/f/10302d77698a5459eaad1a7b7931dc25_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645126229
11,3010339,61,14,12,41852,7.0,33066,8786,Lily Lycoris,https://img2.finalfantasyxiv.com/f/2361c5d99cb4142cc24b9a64735f1d0a_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645040583
12,17586145,61,14,13,30927,21.0,8900,22027,Tomo Rrow,https://img2.finalfantasyxiv.com/f/14fff66311cf2cf092e373a2c9be5195_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645111772
13,18373549,61,14,14,29843,9.0,29843,0,Nightraid Polier,https://img2.finalfantasyxiv.com/f/d9a219b50666c6477dbabafd662b9dd1_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645190207
14,21271442,61,14,15,28108,10.0,26398,1710,Hide Yukino,https://img2.finalfantasyxiv.com/f/5ee2f5fd9df0ce4ff4b5687871521c7f_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645097287
15,16793290,61,14,16,25269,19.0,11054,14215,Yuru Sumeragi,https://img2.finalfantasyxiv.com/f/bb4b775218659b386d18b675c2ecc4f0_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645173882
16,3500245,61,14,17,24851,14.0,16219,8632,Ru Dolph,https://img2.finalfantasyxiv.com/f/f274f2cf270d58a6534b1283f6037ace_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645013625
17,22661299,61,14,18,20726,13.0,16771,3955,Wakko Koutyou,https://img2.finalfantasyxiv.com/f/c39e37595f5df865080969477cdda868_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645123070
18,25360841,61,14,19,15652,15.0,15652,0,Trevor Cimeria,https://img2.finalfantasyxiv.com/f/aa54982f777727c4999dba3b04beb096_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645022761
19,14574808,61,14,20,14238,16.0,14238,0,Ecru Coco,https://img2.finalfantasyxiv.com/f/110a0f571c8d700efab0950b191b1023_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645076954
20,24823089,61,14,21,12989,22.0,8549,4440,Whisky Scotch,https://img2.finalfantasyxiv.com/f/0923e33b2f8dc7b9a530c364b278930a_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645122053
21,17603218,61,14,22,12190,70.0,1980,10210,Usa Shiko,https://img2.finalfantasyxiv.com/f/d4c04842c2a2deb42ce245f0e2b00fd9_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645034315
22,23723067,61,14,23,12183,17.0,12183,0,Michael Scofield,https://img2.finalfantasyxiv.com/f/abd9a6ff78369df1608525e36908c4e2_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645187588
23,22975702,61,14,24,11117,18.0,11117,0,Paya Frontal,https://img2.finalfantasyxiv.com/f/c5075fd82a8f54eb019954381bd806cf_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644873989
24,5729051,61,14,25,10654,30.0,6364,4290,Taka Chii,https://img2.finalfantasyxiv.com/f/5439876fe8bdae58184d47bcaa9b436e_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644881412
25,16222582,61,14,26,10398,20.0,9738,660,Mila Kahel,https://img2.finalfantasyxiv.com/f/d386bbc8e5a1bbdba49d33e97da58ec5_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645094415
26,15756001,61,14,27,9659,24.0,8040,1619,Celestial Eclipse,https://img2.finalfantasyxiv.com/f/b5420c64792c8dfa7cecd20e5a14a990_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644765730
27,1825654,61,14,28,9552,,0,9552,Tanimo Tristelle,https://img2.finalfantasyxiv.com/f/b76761b5dcdd2862e43d581d4a30ebdb_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645185848
28,27331936,61,14,29,9126,,0,9126,Ashley Gray,https://img2.finalfantasyxiv.com/f/cead7776fee8c107dac7ab740369fb82_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645153194
29,17906633,61,14,30,8927,27.0,6677,2250,Ren Peach,https://img2.finalfantasyxiv.com/f/7776fae4fbd717bbeaa8939d4989addd_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645163473
30,18898042,61,14,31,8400,28.0,6600,1800,Eri Rem,https://img2.finalfantasyxiv.com/f/9fca3d370d153a3ec8220a989db3c01e_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645103522
31,19181954,61,14,32,8319,23.0,8229,90,Claire Garcia,https://img2.finalfantasyxiv.com/f/04eb71a2fc1eb636ad889fc710cfe5a2_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644968705
32,10858820,61,14,33,8268,26.0,6858,1410,Ein Judgment,https://img2.finalfantasyxiv.com/f/d840edb31e0e3aa1945938316ac858f9_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644964073
33,21027804,61,14,34,8257,32.0,6142,2115,Kyukyokuno Bakenshi,https://img2.finalfantasyxiv.com/f/04a21d77b8a83ead724d91dd3c914cda_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644774721
34,17349976,61,14,35,7656,25.0,7656,0,John Numbers,https://img2.finalfantasyxiv.com/f/f25833ed1d261a9f96b271469c77b721_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645083241
