,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,25533536,34,14,1,314193,1.0,241575,72618,Mail Smail,https://img2.finalfantasyxiv.com/f/5de40a8c26b6787d7e6acf2b1e33b8d5_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644693650
1,28097566,34,14,2,198618,2.0,165861,32757,Futuo Renvana,https://img2.finalfantasyxiv.com/f/e44adbf3411121ad54d201efc19014f2_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645178586
2,20284828,34,14,3,130686,4.0,96603,34083,Rinako Tousaka,https://img2.finalfantasyxiv.com/f/74dd10ac9f6ab07838d04c9922563102_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645043192
3,4893518,34,14,4,128073,3.0,106086,21987,Asia Gremory,https://img2.finalfantasyxiv.com/f/6f838fb24b340a9e069bbb3697b0b03f_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644881869
4,9587088,34,14,5,108504,6.0,79365,29139,Frey D'ilja,https://img2.finalfantasyxiv.com/f/3de00799e9262cefbb9875f7d27b0bc0_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645061554
5,24679129,34,14,6,105351,5.0,83424,21927,Hazel Edenstein,https://img2.finalfantasyxiv.com/f/dddb0584cff66978e6045bf2aedca6d5_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644825422
6,18313712,34,14,7,98383,9.0,72931,25452,Medemi Bleu,https://img2.finalfantasyxiv.com/f/e45ecbf6b8e0b9c7533a2cf2e4d973e9_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645155627
7,11388883,34,14,8,92611,7.0,79303,13308,Ruri Layethe,https://img2.finalfantasyxiv.com/f/d7615e358c09c65f73f12642f7d985bd_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645085696
8,6666991,34,14,9,92433,8.0,74085,18348,Madara Ichigo,https://img2.finalfantasyxiv.com/f/ea6b6a84baf046bb2a805ba3da210fd3_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644880828
9,7028917,34,14,10,70379,12.0,47359,23020,Asemoko Tayochu,https://img2.finalfantasyxiv.com/f/0da14f16f9b0d5443f8f925929c39d12_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645156740
10,9790920,34,14,11,64223,13.0,44243,19980,Peu Po,https://img2.finalfantasyxiv.com/f/76b1724aa11b03a9bb81346dda21dc7e_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645135276
11,8055910,34,14,12,61073,11.0,49989,11084,Dani Young,https://img2.finalfantasyxiv.com/f/57758792900526c40b63d4ae164c6afe_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645019978
12,26746203,34,14,13,60929,10.0,60929,0,Anya Katzen,https://img2.finalfantasyxiv.com/f/e0d89bb225ca6d499b2cad64745b3802_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645035821
13,24338708,34,14,14,34728,14.0,21550,13178,Stadig Heimdallr,https://img2.finalfantasyxiv.com/f/8347a5200eb58a11a723c0615bbede0f_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645035401
14,728544,34,14,15,27495,15.0,19965,7530,Miraa Mihgo,https://img2.finalfantasyxiv.com/f/346afd9f79a861c6911c69e3f956fede_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645110667
15,21705996,34,14,16,19192,16.0,19192,0,Tau Booker,https://img2.finalfantasyxiv.com/f/71ce3595f8031cb3e83034f6500330b2_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645124986
16,9954549,34,14,17,18532,18.0,12977,5555,Sin Alzyra,https://img2.finalfantasyxiv.com/f/c59d6f59729a6602353adae420910bb3_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644927500
17,15728395,34,14,18,16837,17.0,16837,0,Zochi Asteria,https://img2.finalfantasyxiv.com/f/1c057354eab108e2d979ed6ebf91bb09_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645095003
18,25235083,34,14,19,12769,19.0,10992,1777,Ceol Vare,https://img2.finalfantasyxiv.com/f/855188e2467e57eb88dcc00e5319ee07_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645032696
19,4722083,34,14,20,11097,30.0,3900,7197,Ainra Rashad,https://img2.finalfantasyxiv.com/f/449d70f4ef61a0298d0e899765f9e0fb_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645092306
20,19165714,34,14,21,10862,20.0,10862,0,Kaguya Moonbreeze,https://img2.finalfantasyxiv.com/f/30e573540e47c85a41b418581d920605_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645117494
21,25966979,34,14,22,8920,21.0,8920,0,Saturos Prox,https://img2.finalfantasyxiv.com/f/b0c153ce2e3bcca7558a37c3d3f1307c_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645156272
22,28053134,34,14,23,8420,24.0,6925,1495,Kehda Zhwan,https://img2.finalfantasyxiv.com/f/a58cf191f833e6587d6e2ea3853d9ec2_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644988822
23,21533939,34,14,24,7921,25.0,5495,2426,Sky Lizette,https://img2.finalfantasyxiv.com/f/145d0ebdcea496574479e0493001ad93_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645133858
24,4354155,34,14,25,7499,22.0,7499,0,Jezabella Moretz,https://img2.finalfantasyxiv.com/f/9d85943f5e83d3a73515369b458058b3_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645162606
25,29424818,34,14,26,7175,23.0,7175,0,Pog Gers,https://img2.finalfantasyxiv.com/f/4255bb8d3a950b321740fcdca33ef7da_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645127050
26,6860596,34,14,27,6507,,0,6507,Lilia Faye,https://img2.finalfantasyxiv.com/f/4906f3779a7d8e6a0f3a60a0b4480255_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645058219
27,8552248,34,14,28,5990,28.0,4407,1583,Servavisti Cross,https://img2.finalfantasyxiv.com/f/c5243307228ae1f147fe247c6f3be819_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1644881151
28,21583347,34,14,29,5294,26.0,5294,0,Xhiel White,https://img2.finalfantasyxiv.com/f/3d7f8c5404ab3adc494257768504ffb3_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645038745
29,21600947,34,14,30,5274,31.0,3894,1380,Jade Akahana,https://img2.finalfantasyxiv.com/f/fee2de08eef89d59bef576c86bff4ad4_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644987262
30,5889573,34,14,31,4977,27.0,4977,0,Zagard Serapho,https://img2.finalfantasyxiv.com/f/1f72e74a4a2dc4926d9d4c0e0a5a25d0_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644991268
31,23077186,34,14,32,4702,40.0,2937,1765,Anderoz M'kara,https://img2.finalfantasyxiv.com/f/51e5146aec34263cfdd7381451645fdd_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645028766
32,21316791,34,14,33,4320,50.0,2070,2250,Ashra Thorngage,https://img2.finalfantasyxiv.com/f/536bacf28905bdff7943ed6ee2416ebf_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645063398
33,17569883,34,14,34,4293,34.0,3488,805,Star Sapphire,https://img2.finalfantasyxiv.com/f/1feadb809ef3128f646a53243acbc98b_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645023623
34,3164215,34,14,35,4155,29.0,4155,0,Shikhu Ulfang,https://img2.finalfantasyxiv.com/f/5a33ce180331580e5b594b760f839f37_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644891188
35,26045485,34,14,36,3972,38.0,3189,783,Haru Khatayin,https://img2.finalfantasyxiv.com/f/5723719bf2d4ad84211a107dbaf47bc1_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645160623
36,24465767,34,14,37,3913,35.0,3463,450,Midai Brighthaven,https://img2.finalfantasyxiv.com/f/cab444d7ae6819ffb71dd146ebd40c00_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645137628
37,7849112,34,14,38,3772,46.0,2684,1088,Nith Haiah,https://img2.finalfantasyxiv.com/f/bbe48b395091cc6073d926f1ecacb70e_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645094258
38,17808874,34,14,39,3741,32.0,3741,0,Rain Itzal,https://img2.finalfantasyxiv.com/f/9bfcce34955a2ea1f53d22aebc9553ef_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645144360
39,24354910,34,14,40,3549,33.0,3549,0,Cielo Aten,https://img2.finalfantasyxiv.com/f/443e5f941f7f5091bb9d2be1edd3c737_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645125603
40,7026405,34,14,41,3444,42.0,2784,660,Ayeshun Xii,https://img2.finalfantasyxiv.com/f/a25f763494e50307ef24e1cf1c97baee_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645077189
41,8017473,34,14,42,3334,36.0,3334,0,Rose Bladeheart,https://img2.finalfantasyxiv.com/f/d4aeef59b9cc19f7711f3d8bb1872443_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644781482
42,18184310,34,14,43,3300,37.0,3300,0,R'yuuma Shimozuki,https://img2.finalfantasyxiv.com/f/3fa077240f5a2610bebc9d42e863911f_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645174308
43,16100695,34,14,44,3234,,0,3234,Argos Delacroix,https://img2.finalfantasyxiv.com/f/2391cf4de49d7b58647761a7b0760eed_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645157598
44,25566502,34,14,45,3034,52.0,2040,994,Flamie Temp,https://img2.finalfantasyxiv.com/f/eec6b0b98128f0ba6b34069fd167ffcf_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644919229
45,25643255,34,14,46,2938,39.0,2938,0,Alex Vandu,https://img2.finalfantasyxiv.com/f/6542893f09b03362fa64045e8e1eca35_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645062693
46,6612730,34,14,47,2897,41.0,2897,0,Serra Elakha,https://img2.finalfantasyxiv.com/f/e6f46d04dce3f9390df5178f5c2c29fb_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645163446
47,23035744,34,14,48,2820,63.0,1262,1558,Chen Mei,https://img2.finalfantasyxiv.com/f/349e89be2b442d0d4f98df290f63f1c0_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645138100
48,25442031,34,14,49,2776,43.0,2776,0,Asene Tripon,https://img2.finalfantasyxiv.com/f/11ffca03256189fd60f233ec7fe73c98_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645034700
49,23587364,34,14,50,2760,44.0,2760,0,Zyku Salfa,https://img2.finalfantasyxiv.com/f/9c4dd664dca9961f59d3b43d5b063188_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644835063
50,7172237,34,14,51,2746,45.0,2746,0,Saya Curry,https://img2.finalfantasyxiv.com/f/d972a372fd7ecd5de831fa00618604a9_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644900599
51,3999797,34,14,52,2615,47.0,2615,0,Mr Bogey,https://img2.finalfantasyxiv.com/f/aef39f28a8f230d52b9c19ad67912546_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645085731
52,3054556,34,14,53,2390,48.0,2390,0,Magatha Blake',https://img2.finalfantasyxiv.com/f/3b973c461b5761ce40bdb0212709bac0_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645122636
53,23147234,34,14,54,2336,49.0,2336,0,Felix Esodak,https://img2.finalfantasyxiv.com/f/9202803d8801e98a680bb16f8bea00a5_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645172792
54,24232717,34,14,55,2299,79.0,900,1399,Ahwih Feemhari,https://img2.finalfantasyxiv.com/f/c306ffdbc71fb4657bc0f587e6615e55_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644958556
55,24386584,34,14,56,2062,51.0,2062,0,Kutao Jisatsu,https://img2.finalfantasyxiv.com/f/aa5dc11bd71daf4f8e7afc1c4c631df5_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645115525
56,17704475,34,14,57,2057,,0,2057,Shades Calamity,https://img2.finalfantasyxiv.com/f/c5ce7e6d631f4b9b4c640ea3c0dd5801_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644989943
57,25280320,34,14,58,2006,53.0,2006,0,Nuria Smyth,https://img2.finalfantasyxiv.com/f/50fc0ed858b2e027b866660ed87d497b_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644816985
58,21461486,34,14,59,1878,54.0,1878,0,Seras Qu-siar,https://img2.finalfantasyxiv.com/f/c5d8519c74e8f6fae0eec1f4c6d7caa0_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645035241
59,8075831,34,14,60,1815,58.0,1425,390,Votum Stellarum,https://img2.finalfantasyxiv.com/f/a0e36f8968cfa936e2abef1757a1cbdb_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645123140
60,26067427,34,14,61,1780,56.0,1600,180,Vane Urien,https://img2.finalfantasyxiv.com/f/e70686e092f4ddf6d7d9583aeb6cc3f3_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645044805
61,24228390,34,14,62,1777,55.0,1777,0,Aizen Yumitori,https://img2.finalfantasyxiv.com/f/ced7fd272c3a4448148c4c330b86ff16_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645123687
62,6094221,34,14,63,1740,,0,1740,Noyoyo Noyo,https://img2.finalfantasyxiv.com/f/66b9cf8b6e7ba4ad32d05ac3f6e5b5ae_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645017528
63,22982464,34,14,64,1620,61.0,1380,240,Vivenna Idris,https://img2.finalfantasyxiv.com/f/773f1da2852df955a137ccaddf2aa4e8_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644996399
64,18836959,34,14,65,1567,57.0,1567,0,Ice Acolyte,https://img2.finalfantasyxiv.com/f/48fb6cb9aacd442b715ae0f408113e67_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645141865
65,9478503,34,14,66,1560,64.0,1260,300,Peach Mimosa,https://img2.finalfantasyxiv.com/f/a904d9efaa7aa735885f1824d4ac717e_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645105282
66,20968274,34,14,67,1500,69.0,1140,360,Tybaltus Cain,https://img2.finalfantasyxiv.com/f/0827073565dc22a7cccdecaf8f14af99_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1644963002
67,16101149,34,14,68,1486,70.0,1113,373,Millie Violette,https://img2.finalfantasyxiv.com/f/3c1ded8460ed9055c644c7c6adc5d663_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645102905
68,27370949,34,14,69,1483,62.0,1303,180,Melleedle Phoenix,https://img2.finalfantasyxiv.com/f/6538f67eea100397187f46496ff075dc_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645089424
69,24446165,34,14,70,1401,59.0,1401,0,Cherry Vanilla,https://img2.finalfantasyxiv.com/f/208219a6e5feb7893116435640f41b66_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645077357
70,7670317,34,14,71,1380,60.0,1380,0,Azure Calico,https://img2.finalfantasyxiv.com/f/9e3b0cc51aefc093191d86d2bb1e1e8e_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645076614
71,25018020,34,14,72,1320,73.0,1080,240,Luka Leblanc,https://img2.finalfantasyxiv.com/f/8c78c508cbd3cc5f79222c592c91b6ac_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644999060
72,18877668,34,14,73,1248,65.0,1248,0,Xana'tan Dakwhil,https://img2.finalfantasyxiv.com/f/f5bcb019c2c0c5090b2177536d43cea0_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645027450
73,24660664,34,14,74,1208,66.0,1208,0,Dianve Reave,https://img2.finalfantasyxiv.com/f/fc364d9adef9318ac001ef59b146c905_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645189544
74,10133116,34,14,75,1189,67.0,1189,0,Tadashi Hiro,https://img2.finalfantasyxiv.com/f/77127663afd54e02d62d7dc7657c975b_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644856677
75,24997861,34,14,76,1164,68.0,1164,0,Keichi Summonry,https://img2.finalfantasyxiv.com/f/f52e1d7f267436eab72f69b55eda24bc_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645077475
76,4834189,34,14,77,1110,71.0,1110,0,Element Omuni,https://img2.finalfantasyxiv.com/f/281152d291d359e2923350fb452c81ba_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645076665
77,16470890,34,14,78,1101,72.0,1101,0,Keyboard Cat,https://img2.finalfantasyxiv.com/f/6153d5a04531870480b6af920ac25e02_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644858036
78,16660047,34,14,79,1086,,0,1086,Djserkha Bayaqud,https://img2.finalfantasyxiv.com/f/3bc9cc39eb23c6962987687d61cd248b_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645052812
79,24142166,34,14,80,1062,92.0,583,479,Nighty Bunny,https://img2.finalfantasyxiv.com/f/a9da36df94c3c44b78d6d8cdd5ee1583_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644993262
80,18128368,34,14,81,1050,74.0,1050,0,Cybele Louveria,https://img2.finalfantasyxiv.com/f/1e4b3565287b69b4f1e5b88d8637e092_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645043318
81,24156135,34,14,82,1050,76.0,960,90,Denishia Squirrel,https://img2.finalfantasyxiv.com/f/6ec4ff06f586ca8aa82cfa60f6576084_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645160670
82,20103585,34,14,83,1049,75.0,1049,0,Elathira Sayaji,https://img2.finalfantasyxiv.com/f/3d6f8d83281994a6f7927daa9457cbd8_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645050770
83,25830550,34,14,84,952,77.0,952,0,Artoria Pendraigon,https://img2.finalfantasyxiv.com/f/f8c0d07b7cec8c2085cc528c41245bd1_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645138424
84,24108450,34,14,85,928,78.0,928,0,Reiko Hirasawa,https://img2.finalfantasyxiv.com/f/8a8b80418002151664e8d750b2a5c8eb_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645182005
85,20026150,34,14,86,900,80.0,900,0,Tyss Kaatapoh,https://img2.finalfantasyxiv.com/f/f318754a1b080940d0d2e12945c9704f_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644953056
86,17279390,34,14,87,898,,0,898,Rosalind Pytte,https://img2.finalfantasyxiv.com/f/57cf847042762081f1de92d944b04b75_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645163835
87,1366214,34,14,88,897,81.0,897,0,Golden Sydiv,https://img2.finalfantasyxiv.com/f/ac70de9dd6bef8a032a1ad41193c4dd3_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645041092
88,17455549,34,14,89,840,82.0,840,0,Tuyaa Emel,https://img2.finalfantasyxiv.com/f/12d0de531500f22c46763014679f75a4_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644989495
89,9133229,34,14,90,767,83.0,767,0,Shikieki Yamaxanadu,https://img2.finalfantasyxiv.com/f/3e3cff234a2a5a0353f5eabe22af4d0d_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645110824
90,8647310,34,14,91,761,,0,761,Felixis Frost,https://img2.finalfantasyxiv.com/f/b51ba830e0ad78b59acc743d8bac4719_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645050563
91,3033672,34,14,92,750,,0,750,Cibby Inverse,https://img2.finalfantasyxiv.com/f/18a60e99e41a53b277805bb10c53b157_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645107968
92,26247648,34,14,93,738,84.0,738,0,Pink Poyo,https://img2.finalfantasyxiv.com/f/c3246e82ff0d0f77bc46791895d3ac18_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645063886
93,4664240,34,14,94,727,85.0,727,0,Elspeth Gyre,https://img2.finalfantasyxiv.com/f/71821bc58e0d153e36bdcc5738a56ecd_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644826392
94,3893064,34,14,95,690,86.0,690,0,Kyle Marx,https://img2.finalfantasyxiv.com/f/1b4205077773825da2db671db01abe85_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645157112
95,21496138,34,14,96,681,87.0,681,0,Baulthral Magnus,https://img2.finalfantasyxiv.com/f/2018a8b394d77a100bf234319e9b6461_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644868721
96,21476038,34,14,97,630,88.0,630,0,Sherisa Vardhen,https://img2.finalfantasyxiv.com/f/b1ab40dbdfd596ff1d0f00dcc920687d_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645186049
97,11306981,34,14,98,630,,0,630,Azul Skye,https://img2.finalfantasyxiv.com/f/858cbeb7a400a348d2905ab84bd48ee2_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645013322
98,22972233,34,14,99,629,89.0,629,0,Akhos Stern,https://img2.finalfantasyxiv.com/f/0832c7e88e9c32d71aba3eab8437a8cb_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645141015
99,25115580,34,14,100,596,90.0,596,0,Dusk Garanhal,https://img2.finalfantasyxiv.com/f/e1e87a17ab50adeb9147e6c88eb717b5_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645146210
