,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,11966492,66,12,1,451774,1.0,318679,133095,Vernice Frandiel,https://img2.finalfantasyxiv.com/f/a37b26c6180ef5ebd3f124195a1d9589_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645098364
1,6715196,66,12,2,349951,2.0,297042,52909,Zmija Dannikasch,https://img2.finalfantasyxiv.com/f/26ea4df398f0892d69b23c00f094c41c_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1644769584
2,3376675,66,12,3,179396,3.0,138152,41244,Ravishan Goldhawk,https://img2.finalfantasyxiv.com/f/4f36a1ac240123af411b3c54798b4e51_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645037135
3,14626779,66,12,4,167593,13.0,35311,132282,Merrick Spunktrumpet,https://img2.finalfantasyxiv.com/f/a4952da4acfebaac3f47122329e8e5c6_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645079870
4,7055262,66,12,5,99416,4.0,89701,9715,Celestine Alexandra,https://img2.finalfantasyxiv.com/f/f3fd380bf7bc37263e8c275257ecfdc7_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1644785575
5,18601965,66,12,6,90657,7.0,43675,46982,Reine Mizer,https://img2.finalfantasyxiv.com/f/2d2f8be0bb94b39d42c37de3def6eef0_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645148359
6,24420344,66,12,7,85240,12.0,35732,49508,Soima Tho,https://img2.finalfantasyxiv.com/f/3207f0cb9389512b88274e5a28d79304_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645057553
7,11244401,66,12,8,79543,9.0,40790,38753,Alira Yupo,https://img2.finalfantasyxiv.com/f/0a581613a54525c87a7ab14fc1eaece7_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645113261
8,2976094,66,12,9,75365,6.0,45299,30066,Sera Serenissima,https://img2.finalfantasyxiv.com/f/1fc1b5f304824003cf0ac42161dfda63_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645035228
9,14865862,66,12,10,73246,11.0,37750,35496,Fenyx Rex,https://img2.finalfantasyxiv.com/f/b6b0b9f3f53cdf8feea82fe5c36a5faa_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645163413
10,21128707,66,12,11,69740,18.0,14443,55297,Fancy Oritsu,https://img2.finalfantasyxiv.com/f/718aa1a93eecd7525d95f1cba96f747b_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645159236
11,5594863,66,12,12,66291,5.0,52746,13545,Mimie Eidolon,https://img2.finalfantasyxiv.com/f/f2eee2c5b3dd60709e09e2c82c8a5e9b_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1644841271
12,21380547,66,12,13,62867,8.0,42990,19877,Loki Berr,https://img2.finalfantasyxiv.com/f/0627a2ccb652bf99ea7123146c53d75f_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1644978033
13,8206763,66,12,14,56478,14.0,27482,28996,Dapper Bear,https://img2.finalfantasyxiv.com/f/4bb77520d71d05fc72b063cdc8ed3249_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645146132
14,4013403,66,12,15,52033,15.0,27087,24946,Namisca Deejar'ell,https://img2.finalfantasyxiv.com/f/6eaf3e6706d46833dc3e66b9bbd89598_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645163572
15,23697592,66,12,16,52005,10.0,40028,11977,Tomori Slackingway,https://img2.finalfantasyxiv.com/f/8adfa5fb54b3661fe4b59c9850c99f04_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1644855873
16,4813987,66,12,17,47174,25.0,4392,42782,Chaaz Kazuto,https://img2.finalfantasyxiv.com/f/5db125133d8e8d3064c3e9aeb72af7ef_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645162060
17,19966468,66,12,18,28715,17.0,17951,10764,Shi Ari,https://img2.finalfantasyxiv.com/f/1eb47e1b9cd7356104df76e3053272db_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645089889
18,21948768,66,12,19,27060,16.0,27060,0,Tesha Fura,https://img2.finalfantasyxiv.com/f/2d0874f1ba223b946ca07ad146229ece_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645143883
19,2816778,66,12,20,22320,19.0,13591,8729,R'hllor Light,https://img2.finalfantasyxiv.com/f/e7002204a168390c09335c7fda247a34_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645105663
20,11987123,66,12,21,21183,,0,21183,Renzo Bunshin,https://img2.finalfantasyxiv.com/f/40a739cbc500144c9ccd2d94e6ae8830_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645071993
21,8036438,66,12,22,9900,20.0,8850,1050,Y'nah Usami,https://img2.finalfantasyxiv.com/f/01db7c30a092e6d8ec83fa6f05848968_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645053533
22,25132604,66,12,23,8085,21.0,8085,0,Cral Smock,https://img2.finalfantasyxiv.com/f/0bda13e8a1ddeb8a3916a01a38a7a31f_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645030903
23,3102705,66,12,24,6901,24.0,5750,1151,Ysmir Griever,https://img2.finalfantasyxiv.com/f/d4b7e6e9664190670f45e58d1958d805_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645179693
24,9073423,66,12,25,6611,22.0,6611,0,Vanilla Milkshake,https://img2.finalfantasyxiv.com/f/e297f0fcdae7416c48bc271a9e4d03dd_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645045340
25,7365460,66,12,26,6266,23.0,6266,0,Ichigo Satowa,https://img2.finalfantasyxiv.com/f/24bae526ea3d05dc97c4b3a794e6596a_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645121311
26,18833193,66,12,27,4488,30.0,2643,1845,Arei Teppu,https://img2.finalfantasyxiv.com/f/21637564a7f595c20759faf0e6cd5e43_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1644977618
27,2189515,66,12,28,3480,29.0,2700,780,Vega Novus,https://img2.finalfantasyxiv.com/f/a4ce91840c832ab5dfaf6204106a69c4_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645134694
28,9583560,66,12,29,3446,,0,3446,Miranda Rose,https://img2.finalfantasyxiv.com/f/b1359d0ce8bd25493cb7ccc8dc5ab1da_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1644995274
