,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,21837692,50,16,1,446817,1.0,315507,131310,Aurora Melice,https://img2.finalfantasyxiv.com/f/194fae39503b520b17c267c0f2d90bd1_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1644810451
1,29804409,50,16,2,368441,2.0,287412,81029,Never Same,https://img2.finalfantasyxiv.com/f/96abff58d627a1c7d3881c6daca385db_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645119508
2,22389002,50,16,3,329678,3.0,264964,64714,Ruchiru Mame,https://img2.finalfantasyxiv.com/f/2c44a85504f449b286f268f90f9119e8_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645141919
3,22626992,50,16,4,322857,4.0,239458,83399,Bios Licht,https://img2.finalfantasyxiv.com/f/58b3d242c64cdc399f5837d2b52a71ef_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1644799503
4,19398710,50,16,5,321255,7.0,208220,113035,Joy Young,https://img2.finalfantasyxiv.com/f/d7694d3e19a18cff6790eff6ac7c86ee_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1644951419
5,16991525,50,16,6,291599,6.0,231039,60560,Yuki Rou,https://img2.finalfantasyxiv.com/f/30df5436e309a12531badbbb337fbfd5_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645174949
6,25946963,50,16,7,252468,9.0,172893,79575,Ain Png,https://img2.finalfantasyxiv.com/f/006c84351857502545ea7d7f7a2538c1_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645029954
7,22292250,50,16,8,251664,5.0,234311,17353,God Opanpo,https://img2.finalfantasyxiv.com/f/edc649c0eb4620720f31b985c4bfc98c_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645021510
8,18346512,50,16,9,237829,10.0,165701,72128,Lux Concordiae,https://img2.finalfantasyxiv.com/f/5998d26d2dc065a019cde8f520c9af37_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645127954
9,19171171,50,16,10,206446,15.0,145138,61308,Canon Nuko,https://img2.finalfantasyxiv.com/f/b0848a01cc7bcdc069b4ddd47399abce_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645013617
10,26935620,50,16,11,199090,14.0,146107,52983,Luck Each,https://img2.finalfantasyxiv.com/f/36e5323f61a3592788b3cc83154f4970_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645175309
11,7817322,50,16,12,198208,8.0,186448,11760,Yumoh Tea,https://img2.finalfantasyxiv.com/f/c60f2dd6f8ceb932a5c07a655debe74e_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645030959
12,28722820,50,16,13,196228,11.0,162888,33340,Maru Yaki,https://img2.finalfantasyxiv.com/f/06a96eacb2e0b15fc93ea81df3871561_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645017125
13,30971843,50,16,14,192575,12.0,156475,36100,Gatherer Crafter,https://img2.finalfantasyxiv.com/f/cefacc8d3572e0cc95c0671bebff4595_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645172614
14,2460568,50,16,15,177786,18.0,133650,44136,Syu Mai,https://img2.finalfantasyxiv.com/f/ee29d8576911d4754ef3195f9cdac19e_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645042811
