,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,24050262,40,9,1,764585,1.0,517434,247151,Ellie Deseo,https://img2.finalfantasyxiv.com/f/f48f8563c3e3e9a6f799651e8521626e_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645101681
1,22902877,40,9,2,456621,3.0,326940,129681,Soymilk Skyia,https://img2.finalfantasyxiv.com/f/90acc5be9081cf2ac6fa0f0279a7e765_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645080972
2,10481237,40,9,3,406653,2.0,404574,2079,Amalie Heart,https://img2.finalfantasyxiv.com/f/800c417ce825a63fb9df402851b7c651_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645159064
3,9307718,40,9,4,273120,6.0,174881,98239,Kitika Sindari,https://img2.finalfantasyxiv.com/f/49cf965294b3e60a5f72cd301f4b1154_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645082486
4,1081844,40,9,5,213375,5.0,180778,32597,Azazel Morningstar,https://img2.finalfantasyxiv.com/f/8a242d7723389bc2dfaa548fd19de61d_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645024868
5,20816607,40,9,6,210491,7.0,138659,71832,Sun Bun,https://img2.finalfantasyxiv.com/f/b07e985d6de1ce4d666731025bce8c1b_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645058103
6,8743792,40,9,7,194822,4.0,194822,0,A'ri Tristitia,https://img2.finalfantasyxiv.com/f/f6abafe7fb2a93aced890990ce5a0e3a_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645069118
7,12761160,40,9,8,179792,8.0,113530,66262,Tex A'porte,https://img2.finalfantasyxiv.com/f/c989affeed08f599f5d11caecb9cc331_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645145781
8,16931804,40,9,9,162990,10.0,108113,54877,Tietra Noctureon,https://img2.finalfantasyxiv.com/f/af71a7c7aa365662d6b0fe658531e1db_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645153214
9,4074681,40,9,10,120201,11.0,101695,18506,Akai Blackfyre,https://img2.finalfantasyxiv.com/f/44439fc7ba847beb7cd4c4747e563836_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644865141
10,18214234,40,9,11,116159,9.0,112199,3960,Rineabeth De'marets,https://img2.finalfantasyxiv.com/f/6734687e02329de79498789ea547a33a_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645184692
11,7878608,40,9,12,99249,13.0,76197,23052,Judah Brandt,https://img2.finalfantasyxiv.com/f/097341a7e6ccf6906508b2f267c8d450_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644974597
12,3161010,40,9,13,80465,12.0,80465,0,Caddy Davok,https://img2.finalfantasyxiv.com/f/a23c625e222f325901433748d1ddbb91_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644862159
13,2377007,40,9,14,54551,19.0,23336,31215,Sublime Cheesecake,https://img2.finalfantasyxiv.com/f/d7643a721dda5a3500b6f2cf3c3a5f6c_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645128937
14,7915,40,9,15,39976,14.0,39976,0,Rancer Omancer,https://img2.finalfantasyxiv.com/f/8a6074dd9489f118867c374d1bc1b472_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645174457
15,13699541,40,9,16,37138,18.0,26840,10298,Drizafein Elisana,https://img2.finalfantasyxiv.com/f/4fcb0b6d9612ef17e6fefef1968822b2_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645106408
16,11432609,40,9,17,36051,15.0,36051,0,Crow Blackfeather,https://img2.finalfantasyxiv.com/f/477c0d53fddbac5085dfe477e0669cdd_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645137180
17,2975709,40,9,18,34557,16.0,34557,0,Lobster Tail,https://img2.finalfantasyxiv.com/f/bbac5494fbb27a79e617769f4fb0d88d_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645034553
18,13532977,40,9,19,32717,17.0,28509,4208,Jeffa Earthorn,https://img2.finalfantasyxiv.com/f/5b47f308f3dc21202e54c35ef60d3e23_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645110923
19,3097278,40,9,20,28248,21.0,18313,9935,Allison Scherwiz,https://img2.finalfantasyxiv.com/f/a3ca21a3f4b7ea27867d98efa15e2adc_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644960197
20,13383671,40,9,21,20129,20.0,20129,0,Velvet Sidhe,https://img2.finalfantasyxiv.com/f/f0cce66ccf80bdd02024798999c82cb5_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645165773
21,23346338,40,9,22,17424,22.0,17424,0,M'ellodee Silver,https://img2.finalfantasyxiv.com/f/5cfa86e68f20d88dc4930a2785787dae_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645000080
22,11246533,40,9,23,16915,23.0,14830,2085,Kyros'a Mherln,https://img2.finalfantasyxiv.com/f/21af9ede6dc6a5f26f4b965f1099fd43_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645158422
23,20406520,40,9,24,14445,24.0,14445,0,Shaky Blake,https://img2.finalfantasyxiv.com/f/cf8f70274ae81845195827d78f58fc66_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644990608
24,7237478,40,9,25,13320,25.0,13320,0,Sarai Vanesia,https://img2.finalfantasyxiv.com/f/25be2509b8e5fdb4f8fe61b9e507d1df_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644953241
25,25436851,40,9,26,12819,26.0,12819,0,Pepper Minty,https://img2.finalfantasyxiv.com/f/ac1befe755ccecb28fe8b4a8ecde3b9b_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644819824
26,17798520,40,9,27,12176,30.0,7695,4481,Kisa Rozen,https://img2.finalfantasyxiv.com/f/bb20a58b74d190670e83d0fc2f82de7a_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645010466
27,7305734,40,9,28,10766,27.0,10766,0,Gray Embers,https://img2.finalfantasyxiv.com/f/d943763a9abb6d22d15f492e9b60bdf3_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645056194
28,18434152,40,9,29,9147,28.0,9147,0,Lyric Avanilias,https://img2.finalfantasyxiv.com/f/81ffc8a7a2fee1e684ca941f2f39f8d0_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644784873
29,28415074,40,9,30,8595,44.0,4023,4572,Malice Ackerman,https://img2.finalfantasyxiv.com/f/ead3cc6e776b7ae5b7d4312499509df6_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645153980
30,15019762,40,9,31,8496,29.0,8496,0,Thudirr Grimholt,https://img2.finalfantasyxiv.com/f/ea29233e61408647820d067d373825a2_36f0570990ac5402b2ef514d36b0435cfc0_96x96.jpg?1644740898
31,7452618,40,9,32,8113,,0,8113,Fug Rewan,https://img2.finalfantasyxiv.com/f/1fe71a422ea8cf5070b3d991f70f0c1c_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645085932
32,16232381,40,9,33,8057,33.0,6566,1491,Arcadia Windgrace,https://img2.finalfantasyxiv.com/f/afefbbe75380a9a132e115c88b7b21ab_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645189138
33,26651030,40,9,34,7607,32.0,6590,1017,Varin Grande,https://img2.finalfantasyxiv.com/f/d78e048d8076fd118ae00368a5bfac44_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645130929
