,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,19583280,64,12,1,302793,2.0,193908,108885,Charlotte Noctiluca,https://img2.finalfantasyxiv.com/f/9621e932c2ebe5259d71da1d2ab45b06_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1644939293
1,22233507,64,12,2,290801,1.0,290801,0,Afghanis Tan,https://img2.finalfantasyxiv.com/f/ed5d03028e3436c20231e30da458b6d6_a91aae52cff9ef65932db06b150ffd47fc0_96x96.jpg?1645177217
2,2290976,64,12,3,198421,3.0,125760,72661,Cyon Sangchu,https://img2.finalfantasyxiv.com/f/f94fd9fc144d1245a238714944f6c9bf_a91aae52cff9ef65932db06b150ffd47fc0_96x96.jpg?1645064350
3,5553726,64,12,4,163853,5.0,83714,80139,Gibetto Ilmatto,https://img2.finalfantasyxiv.com/f/f78a43aca56edefd79b4e812fd0b0f52_a91aae52cff9ef65932db06b150ffd47fc0_96x96.jpg?1645180219
4,10310762,64,12,5,151278,4.0,105960,45318,Miwen Marlor,https://img2.finalfantasyxiv.com/f/b77c0767d06e8d65c9988d85902202f3_a91aae52cff9ef65932db06b150ffd47fc0_96x96.jpg?1645040617
5,23628287,64,12,6,122112,,0,122112,Clarissa Evergarden,https://img2.finalfantasyxiv.com/f/71aeace8f056b3527fc09b422d19de05_a91aae52cff9ef65932db06b150ffd47fc0_96x96.jpg?1645114176
6,21931739,64,12,7,104364,7.0,70942,33422,Lynn Lilia,https://img2.finalfantasyxiv.com/f/74cf01c3a02526a790db793809b3cf96_a91aae52cff9ef65932db06b150ffd47fc0_96x96.jpg?1644949216
7,4758698,64,12,8,93108,6.0,71359,21749,Scrawn'e Anklebit'rh,https://img2.finalfantasyxiv.com/f/14d6c1ba89f29c39efb7f9df1b907802_a91aae52cff9ef65932db06b150ffd47fc0_96x96.jpg?1645092097
8,10695007,64,12,9,90447,16.0,19315,71132,Telner Sprook,https://img2.finalfantasyxiv.com/f/b35b32015eb8b1fa759cd3a18afcb7d2_a91aae52cff9ef65932db06b150ffd47fc0_96x96.jpg?1645022996
9,18070781,64,12,10,80571,10.0,50660,29911,Briseyu Dawnfeather,https://img2.finalfantasyxiv.com/f/6eb3571d335cdcc0e0dbb71f20f2fb47_a91aae52cff9ef65932db06b150ffd47fc0_96x96.jpg?1645130924
