,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,9594463,82,10,1,306172,1.0,220445,85727,Minami Gattoni,https://img2.finalfantasyxiv.com/f/12e41081cb8854087e0488f0d5ad6e7d_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645063930
1,29310212,82,10,2,295958,2.0,215343,80615,Valis Doland,https://img2.finalfantasyxiv.com/f/5437950d4acbb474677e0b2282f8eb8a_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644640182
2,167827,82,10,3,259280,3.0,192750,66530,Alen At,https://img2.finalfantasyxiv.com/f/d66727d9b17e54a5e662014305a0e0f6_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644907373
3,2172780,82,10,4,212161,4.0,183923,28238,Dina Ubyltuwyn,https://img2.finalfantasyxiv.com/f/0854585c8d4a54431813c4cc8b5c0344_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645118490
4,19011331,82,10,5,209379,8.0,137442,71937,Delta Kun,https://img2.finalfantasyxiv.com/f/c7a3b685a5c79f054b051bee99f66cbd_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645123876
5,17793972,82,10,6,197762,6.0,150167,47595,Toppan Press,https://img2.finalfantasyxiv.com/f/37adcb87dd875d6594d0eecfbc407218_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645152721
6,12795579,82,10,7,190620,7.0,147579,43041,Flare Scarlet,https://img2.finalfantasyxiv.com/f/dbc25707b8d395985db090d86960dc7e_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645086182
7,19492760,82,10,8,172907,5.0,172907,0,Aipo Ponchai,https://img2.finalfantasyxiv.com/f/435696aeb2429d1c77509c7f80febcae_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645023038
8,3336242,82,10,9,144694,10.0,104597,40097,Ri'ri's El'bridet',https://img2.finalfantasyxiv.com/f/4d42aab8ac12e3d912be61f0b74e7889_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644792392
9,4777428,82,10,10,133249,11.0,101689,31560,Chike Reaf,https://img2.finalfantasyxiv.com/f/b675afc1e3e2323e86e3a08ac1cac455_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645116206
