,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,2832422,57,11,1,685289,1.0,524088,161201,Wool Lafleece,https://img2.finalfantasyxiv.com/f/536ca081c01d4824c656afe737bc6207_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645080071
1,21249672,57,11,2,547117,2.0,438862,108255,Kaga Shikibu,https://img2.finalfantasyxiv.com/f/d220f2d76b302aeab27769f23735cccd_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645065300
2,24370298,57,11,3,275368,4.0,180460,94908,Berenice Bellveil,https://img2.finalfantasyxiv.com/f/7c40735221cc635e6518030e7393ec2b_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644994825
3,6762109,57,11,4,222397,3.0,201964,20433,Zehnn Adamas,https://img2.finalfantasyxiv.com/f/b18d4c033ed3d11cc71952787ae1c9a5_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644776946
4,22647191,57,11,5,96094,5.0,63158,32936,Milo Verra,https://img2.finalfantasyxiv.com/f/437b1fe75bc88b166477f8082eb68163_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644912806
5,25599419,57,11,6,78985,,0,78985,Choa Appia,https://img2.finalfantasyxiv.com/f/1aed5877c457c7c8490eec1c9f6e2b4d_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1644806281
6,25510612,57,11,7,51199,17.0,14536,36663,Vin Blackwood,https://img2.finalfantasyxiv.com/f/a455d08fe6f14dc1c46dbaa67d8dcc4e_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645149817
7,30579393,57,11,8,46438,6.0,42937,3501,Reyla Melegris,https://img2.finalfantasyxiv.com/f/ccf649ce1326d996572328b9eee4dc99_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644841484
8,11169614,57,11,9,45136,,0,45136,Soga Leske,https://img2.finalfantasyxiv.com/f/f82720d0ebcda9234a184728d61a595f_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644813848
9,18184796,57,11,10,35290,59.0,928,34362,T'thania Rouge,https://img2.finalfantasyxiv.com/f/671226ac0a31c01b28b49e619b7b18d1_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645115327
