,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,9527399,77,8,1,224019,1.0,182996,41023,Alura Leilani,https://img2.finalfantasyxiv.com/f/c0ebcfdbd309139774e91ad8f46b16bd_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645123908
1,5707204,77,8,2,220420,6.0,145026,75394,Sakura Ko,https://img2.finalfantasyxiv.com/f/8e9fc645c39c9ec4a6068a814fefcceb_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645181680
2,8019928,77,8,3,201883,3.0,148720,53163,Liliana Iiana,https://img2.finalfantasyxiv.com/f/3bc8071a58b59605001fd7a3a6e0d434_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645104556
3,11960197,77,8,4,197903,4.0,148261,49642,Treebark Woodfist,https://img2.finalfantasyxiv.com/f/307676b6e6a6a8f41d8795d01a1046bf_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645133608
4,29201172,77,8,5,181378,2.0,158220,23158,Woo Wee,https://img2.finalfantasyxiv.com/f/27ce23f181b235306266bb1f581256bd_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645079534
5,23907798,77,8,6,154619,5.0,145339,9280,Salabar Okunote,https://img2.finalfantasyxiv.com/f/cc7191634cfd482e8df355ff08c3591c_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645077189
6,9902113,77,8,7,152019,15.0,64742,87277,Akashic Buster,https://img2.finalfantasyxiv.com/f/e49f04523bf37dcd897fe95b1a9c3f17_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1644946545
7,15429514,77,8,8,151673,7.0,133952,17721,Shira Zan,https://img2.finalfantasyxiv.com/f/030c723931e6e6887056aa981dee6982_a91aae52cff9ef65932db06b150ffd47fc0_96x96.jpg?1645130091
8,15949089,77,8,9,147933,10.0,89753,58180,Soulin Moonfell,https://img2.finalfantasyxiv.com/f/aa3ebb878d28975eb20e42f3d2df5767_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645100687
9,26717983,77,8,10,147865,9.0,93963,53902,D'anjal Viskandeire,https://img2.finalfantasyxiv.com/f/f6e7ca44614e9b44023316e33c37576c_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1644864449
10,5564196,77,8,11,133164,11.0,88654,44510,J'chah Tian,https://img2.finalfantasyxiv.com/f/514737e06d15aeb5d6ab94dfd521a596_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645135368
11,17385321,77,8,12,122749,12.0,83034,39715,Astarin Fectus,https://img2.finalfantasyxiv.com/f/b2713dd310a0d700a0e27fa56617ce31_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645097447
12,19590469,77,8,13,113569,17.0,56066,57503,Ardha Rei,https://img2.finalfantasyxiv.com/f/201346587df8e71558ec5aec98031c98_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645101814
13,8167563,77,8,14,112014,8.0,109043,2971,Phoenix My'bones,https://img2.finalfantasyxiv.com/f/2c54fc4bf3e71dc0d9c0008e9a6330fc_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645151735
14,26528491,77,8,15,100808,14.0,79964,20844,Baatu Ura,https://img2.finalfantasyxiv.com/f/f95abcd6377a456f6a7198c98c100ebc_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1644950884
15,2324423,77,8,16,97864,13.0,82373,15491,Sarcasm Irony,https://img2.finalfantasyxiv.com/f/a1072cc8907d5cd972945a0f25d31941_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645068765
16,3100335,77,8,17,78595,,0,78595,Mature Rudlum,https://img2.finalfantasyxiv.com/f/a96b93fa8b98f14aa62d124d49bc0009_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645029170
17,13839216,77,8,18,68695,19.0,41518,27177,Kazagari Belsare,https://img2.finalfantasyxiv.com/f/c21dffb6c1d9048a00c4fcf77ee6c6f5_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645002816
18,2042435,77,8,19,66650,18.0,48548,18102,Mavis Vermillion,https://img2.finalfantasyxiv.com/f/a2260edbf69dda92f9db2a4f6e522c81_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645119849
