,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,8135547,44,14,1,511934,2.0,422967,88967,Nacht Stern,https://img2.finalfantasyxiv.com/f/5884ac9fc31c263f95980c46920990af_2f698530a28d671d20278c8518c804c9fc0_96x96.jpg?1644987383
1,20078965,44,14,2,501629,1.0,501629,0,Shadow Crystal,https://img2.finalfantasyxiv.com/f/524492647a7f82e836af1c5fbf2bb1d1_2f698530a28d671d20278c8518c804c9fc0_96x96.jpg?1645188906
2,5906385,44,14,3,433295,3.0,368901,64394,Dotty Cherry's-witch,https://img2.finalfantasyxiv.com/f/87a8c5cbbc83f40e108f882aa29e0836_2f698530a28d671d20278c8518c804c9fc0_96x96.jpg?1645163716
3,4751011,44,14,4,324455,4.0,296788,27667,Tania Kubrick,https://img2.finalfantasyxiv.com/f/46e4811fe9484a58a6a435dc1757b51f_2f698530a28d671d20278c8518c804c9fc0_96x96.jpg?1645134520
4,11183793,44,14,5,318731,5.0,296420,22311,Otu Be,https://img2.finalfantasyxiv.com/f/52b57345e1a1748d8089d9819bc31b44_2f698530a28d671d20278c8518c804c9fc0_96x96.jpg?1644947775
5,6526792,44,14,6,212129,6.0,212129,0,Nega Matrix,https://img2.finalfantasyxiv.com/f/78b13f1cb530c4531e4455bc933be33c_2f698530a28d671d20278c8518c804c9fc0_96x96.jpg?1645152593
6,24614705,44,14,7,210616,7.0,187252,23364,Paruyan Saotome,https://img2.finalfantasyxiv.com/f/36ea361007073bd3ce7d852a44ae4194_2f698530a28d671d20278c8518c804c9fc0_96x96.jpg?1644776149
7,7500022,44,14,8,197866,8.0,166872,30994,Miriam Dragon'lord,https://img2.finalfantasyxiv.com/f/f80cca188764bd4c85d7387089850fb5_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1645053091
8,29498829,44,14,9,161884,10.0,126565,35319,Luna Fraise,https://img2.finalfantasyxiv.com/f/320a2dd4c8f4213657a6f2c46b2bc1b0_2f698530a28d671d20278c8518c804c9fc0_96x96.jpg?1645176914
9,26498408,44,14,10,151065,9.0,143616,7449,Kai Yatogami,https://img2.finalfantasyxiv.com/f/80ba53292c59e4948ae85a832d7e96a3_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1645126568
10,21858545,44,14,11,88062,11.0,88062,0,Mien Alchemist,https://img2.finalfantasyxiv.com/f/2f11c7758dd2b9e5e6cc57832ff56341_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645031531
11,1631177,44,14,12,73526,14.0,49347,24179,Fluorite Shirosumi,https://img2.finalfantasyxiv.com/f/1d3b4d031fec7a28f6946356345f8440_2f698530a28d671d20278c8518c804c9fc0_96x96.jpg?1644770444
12,22403974,44,14,13,70860,12.0,70860,0,Dawn Star,https://img2.finalfantasyxiv.com/f/aa31d4cad0d8538dd69a1b5e32d8c4cc_2f698530a28d671d20278c8518c804c9fc0_96x96.jpg?1645126650
13,17982213,44,14,14,50050,13.0,50050,0,Huno Yomogi,https://img2.finalfantasyxiv.com/f/b7b4c120e34b78ce9a8c39e241e543d2_2f698530a28d671d20278c8518c804c9fc0_96x96.jpg?1645166920
14,25020264,44,14,15,39541,15.0,33172,6369,Ura Elchi,https://img2.finalfantasyxiv.com/f/dfe2e0ccdbf824f4fb8f5da8d4bffc42_2f698530a28d671d20278c8518c804c9fc0_96x96.jpg?1644969493
15,22838093,44,14,16,37626,16.0,31671,5955,Uzuki Cross,https://img2.finalfantasyxiv.com/f/033ab1b291ff1f5acf0936f7269c8431_2f698530a28d671d20278c8518c804c9fc0_96x96.jpg?1645069022
16,13069279,44,14,17,37597,17.0,27609,9988,Fumu Fumu,https://img2.finalfantasyxiv.com/f/d934f1420de7ea38e210d28826d18ab5_2f698530a28d671d20278c8518c804c9fc0_96x96.jpg?1645129362
17,4416937,44,14,18,36574,22.0,21574,15000,Rim Rune,https://img2.finalfantasyxiv.com/f/34b1205fc61cd598d8f92b75b9620be1_2f698530a28d671d20278c8518c804c9fc0_96x96.jpg?1645019700
18,5852240,44,14,19,34525,19.0,24976,9549,Ouga Low,https://img2.finalfantasyxiv.com/f/bb41d64be93fa04073141ab3b779e32f_2f698530a28d671d20278c8518c804c9fc0_96x96.jpg?1645006231
