,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,23876443,68,18,1,458321,1.0,402057,56264,Maletta Flowelle,https://img2.finalfantasyxiv.com/f/775cd757985b5001fc36bf226881a47c_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645076231
1,24937795,68,18,2,332908,2.0,271853,61055,Eisel Weimar,https://img2.finalfantasyxiv.com/f/c126072087d3d3e6f27577d94fe8b933_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1644874221
2,21734155,68,18,3,268514,3.0,235669,32845,Kalaw Kenpachi,https://img2.finalfantasyxiv.com/f/b250524c23a48d3d03fdb3def73a53c2_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645176846
3,1575000,68,18,4,263171,20.0,121675,141496,Cyphre Lualdi,https://img2.finalfantasyxiv.com/f/1df093cf5eb45c1f45081bfa59b50279_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645179566
4,21791204,68,18,5,262111,5.0,225136,36975,Chiha Sala,https://img2.finalfantasyxiv.com/f/882b97781070a88f36347d21f8b38b26_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1644831731
5,26281115,68,18,6,252571,6.0,219574,32997,Unamu Taka,https://img2.finalfantasyxiv.com/f/73b53db951319f8f59a4c543906c92dd_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645016440
6,28411931,68,18,7,250872,4.0,231510,19362,Lseana Sun-ey,https://img2.finalfantasyxiv.com/f/c90790ee6f778294fee0ec9b01492c45_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1644622626
7,26436701,68,18,8,239773,7.0,204406,35367,Toto Brodia,https://img2.finalfantasyxiv.com/f/3cc6d4dc65dd504de49246084e6132ec_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645122405
8,26116050,68,18,9,228991,8.0,188781,40210,Obow Gikurudo,https://img2.finalfantasyxiv.com/f/808a77c148d3e6ccf9358c3277d3d8ed_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1644920715
9,14191356,68,18,10,224707,9.0,184640,40067,Red Selceil,https://img2.finalfantasyxiv.com/f/644313204f508ff230baa92ee0768839_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1644826572
10,23234427,68,18,11,212489,12.0,170402,42087,Mum Iyemon,https://img2.finalfantasyxiv.com/f/7742ed32eb71fd98bfe8588498e94457_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645154798
11,4409537,68,18,12,210408,37.0,69745,140663,Elmes Hawk,https://img2.finalfantasyxiv.com/f/297fdc77ecc35e7c0c0d696a430087f4_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645074607
12,23757772,68,18,13,210077,10.0,178472,31605,Hina Hinahinagesi,https://img2.finalfantasyxiv.com/f/5e48900991de1b1545f57b902efcfe3f_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645181545
13,24453089,68,18,14,208226,11.0,174742,33484,Ghie Miyer,https://img2.finalfantasyxiv.com/f/33bbaf3150d91d844b047f6e11682ee9_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1644913880
14,4057619,68,18,15,203647,14.0,160183,43464,Peco R'altre,https://img2.finalfantasyxiv.com/f/fdb3d6c5e720f07bd5b2a0e0b895a720_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1644948449
15,21655203,68,18,16,203014,13.0,163713,39301,Guldwolk Skoenceigwyn,https://img2.finalfantasyxiv.com/f/5e7b548c53032a031bf19d266db04a5a_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1644973951
16,26157363,68,18,17,191875,16.0,142512,49363,Mimil Oto,https://img2.finalfantasyxiv.com/f/fa100beab7b0a28061f3a6ee0feada6f_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645050743
17,13279708,68,18,18,180327,26.0,92514,87813,V' Mod,https://img2.finalfantasyxiv.com/f/6bfaf2d23a793398f39da178f84c7b0b_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645140775
18,11694931,68,18,19,180071,15.0,151184,28887,Letizia Lockhart,https://img2.finalfantasyxiv.com/f/e18f22fa0ac063a2f3898c87174c551a_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645085830
19,2447889,68,18,20,163393,19.0,128888,34505,Black Color,https://img2.finalfantasyxiv.com/f/35b10f874265e2ac5b4e1f6a4dd9cfcb_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645032030
20,5694897,68,18,21,155047,21.0,120027,35020,Olica Jentin,https://img2.finalfantasyxiv.com/f/ff52612fd3f74b153237a23e5d50ee77_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1644816315
21,3250284,68,18,22,150760,17.0,141168,9592,Vieta Westfield,https://img2.finalfantasyxiv.com/f/e5e48cf55334b0cc1afd3afab0616827_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645121231
22,29540001,68,18,23,146514,18.0,134875,11639,Ajuritta Tysnoe,https://img2.finalfantasyxiv.com/f/2a66fcb0b77912139f418161cfe637fb_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1628186029
23,22096236,68,18,24,144409,22.0,112855,31554,Lelia Moon,https://img2.finalfantasyxiv.com/f/507b30b3feadb69fa5ad504cfc716db7_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1644902069
