,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,21751998,34,8,1,546057,1.0,515868,30189,Lunar Ego,https://img2.finalfantasyxiv.com/f/23e8e0e3621f2ff9f6b13571497cdbaa_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645117104
1,4577032,34,8,2,287214,2.0,266658,20556,Gentiana Omega,https://img2.finalfantasyxiv.com/f/e0e4eb5d973c6492e1dab836ecf24005_a91aae52cff9ef65932db06b150ffd47fc0_96x96.jpg?1645082125
2,24997861,34,8,3,260285,3.0,221912,38373,Keichi Summonry,https://img2.finalfantasyxiv.com/f/f52e1d7f267436eab72f69b55eda24bc_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645077475
3,8045701,34,8,4,229280,6.0,175104,54176,Ren Shezir,https://img2.finalfantasyxiv.com/f/7ba85830fb2c2c3656e6478fe821a2da_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644993855
4,4910177,34,8,5,215499,4.0,184073,31426,Clellan Arascain,https://img2.finalfantasyxiv.com/f/c92a0aaaebd6da1ad358f504ac58d4c6_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645074234
5,1366214,34,8,6,202960,5.0,177230,25730,Golden Sydiv,https://img2.finalfantasyxiv.com/f/ac70de9dd6bef8a032a1ad41193c4dd3_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645041092
6,15024865,34,8,7,135282,7.0,124549,10733,Noma Heartnet,https://img2.finalfantasyxiv.com/f/776b72d02081f3eb58aad14771cfae10_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645067419
7,22961300,34,8,8,114849,8.0,80019,34830,K'youha Naelhi,https://img2.finalfantasyxiv.com/f/a19cab6dbb5df3f25101acfbf69b2e08_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644962867
8,16131584,34,8,9,63521,11.0,52816,10705,Rioneb Savage,https://img2.finalfantasyxiv.com/f/e87ee46bea877f9ab8afd42475034333_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645015528
9,14703899,34,8,10,62212,9.0,54011,8201,Katie Weathers,https://img2.finalfantasyxiv.com/f/0eb7ef346f8354ba49008419df4b2697_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645169107
10,8514265,34,8,11,61168,12.0,47865,13303,Enchanta Webb,https://img2.finalfantasyxiv.com/f/228b0838e2ef185078a06b83000155b6_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645030157
11,28839827,34,8,12,55916,10.0,53182,2734,Pray Kirus,https://img2.finalfantasyxiv.com/f/a88833f29c6fd8cf0d7b9d35088695bf_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1644791853
12,18154204,34,8,13,44412,13.0,44412,0,Kanti Wiloh,https://img2.finalfantasyxiv.com/f/e2c98159f9bee91b8162e901e9190ae5_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645172728
13,26301327,34,8,14,30270,14.0,28470,1800,Danica Voss,https://img2.finalfantasyxiv.com/f/7d9886f64f1f295967fb4c2fd41c4e40_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644831856
14,18070265,34,8,15,19043,35.0,3899,15144,Reshene Arulaq,https://img2.finalfantasyxiv.com/f/8c194e343c0cc712bd50ed8a3262606a_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644938382
15,16337491,34,8,16,14816,15.0,14816,0,Alder Dive,https://img2.finalfantasyxiv.com/f/d546e03c70192e4a43f4d047006778bc_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1606550764
16,27006880,34,8,17,14502,16.0,14502,0,Medwin Argentum,https://img2.finalfantasyxiv.com/f/a4fa45cccc96eb2853349ffa02557a1e_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644784727
17,24514268,34,8,18,14301,17.0,14301,0,Taba Amamiya,https://img2.finalfantasyxiv.com/f/ca7d44acb06cdcb5773163787932e7f7_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645053137
18,9245,34,8,19,13090,18.0,11266,1824,Miu Aithe,https://img2.finalfantasyxiv.com/f/45549726c4e1e8c0437ac6388c8b5f85_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644808802
19,26450962,34,8,20,11185,19.0,11185,0,Ith Sarael,https://img2.finalfantasyxiv.com/f/b4328ec09f6cc755933bbd06f19e77fc_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645107211
20,22661758,34,8,21,10336,21.0,9688,648,Nah'sai Brigadyum,https://img2.finalfantasyxiv.com/f/dd21b7eb41eef19cb93df9d53f6f413d_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645050823
21,11009201,34,8,22,10081,24.0,8246,1835,Revolution Auveraine,https://img2.finalfantasyxiv.com/f/e32cc422e9796d30cff2a63f06c9f987_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644784073
22,8323423,34,8,23,9924,20.0,9924,0,Ranatan Ran,https://img2.finalfantasyxiv.com/f/4a26105e6f8806786be3600c06418bd2_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645056671
23,22857780,34,8,24,9463,22.0,9463,0,Doctor Herosima,https://img2.finalfantasyxiv.com/f/d90198b1e4f28de467b9f4ee1b25a452_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1644732747
24,6939243,34,8,25,9192,26.0,7840,1352,Cara Carnage,https://img2.finalfantasyxiv.com/f/c7f6c34349eb8fd85fb7ff66592123e8_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644972434
25,4567171,34,8,26,9090,23.0,9090,0,De'vith Arche,https://img2.finalfantasyxiv.com/f/7b77204401919c10e147aab0e64576b8_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645155576
26,9587088,34,8,27,8242,25.0,8242,0,Frey D'ilja,https://img2.finalfantasyxiv.com/f/3de00799e9262cefbb9875f7d27b0bc0_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645061554
27,4835400,34,8,28,6839,27.0,6839,0,Glenn Dalous,https://img2.finalfantasyxiv.com/f/522e65c5f58482f2ceab2f7bb7443182_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644915473
28,19009567,34,8,29,6800,68.0,971,5829,Baccin Project,https://img2.finalfantasyxiv.com/f/5cbda6068330e46ad4afc96647affc97_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645111575
29,23147234,34,8,30,6325,42.0,2459,3866,Felix Esodak,https://img2.finalfantasyxiv.com/f/9202803d8801e98a680bb16f8bea00a5_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645172792
30,9507882,34,8,31,5547,29.0,5307,240,Ellunai Zulayne,https://img2.finalfantasyxiv.com/f/3a4ca4899faeef8a7aa787c8f214be59_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645028799
31,13048400,34,8,32,5482,28.0,5482,0,Ambarone Vincarna,https://img2.finalfantasyxiv.com/f/7209859e8c5ed369b081d858f1920e59_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645160737
32,23473670,34,8,33,5236,30.0,5236,0,Riku Strife,https://img2.finalfantasyxiv.com/f/b5f31132bcdb9c75f4859d3aaf9f03ec_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645039495
33,5179051,34,8,34,5099,31.0,5099,0,Jedrek Av'tias,https://img2.finalfantasyxiv.com/f/3f07817cf5db6bc4cabfcc68f0e1b1dd_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644873776
34,17457223,34,8,35,5039,32.0,5039,0,Rynn Sakimuri,https://img2.finalfantasyxiv.com/f/98f63a4a373f2bbd7a86e715ea2530d6_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644964417
35,25709101,34,8,36,4512,33.0,4512,0,Dekai Yokai,https://img2.finalfantasyxiv.com/f/1627449e9d42411170e3ff34f209c01a_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644946604
