,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,29237063,55,8,1,500014,2.0,459685,40329,Mikasa Charles,https://img2.finalfantasyxiv.com/f/2e30a3355c8602cf8121fd056c41c4ae_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645036431
1,131260,55,8,2,489862,1.0,489862,0,Ton Cherry,https://img2.finalfantasyxiv.com/f/150ff121864ba40ae9e606d7765c78e5_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645082635
2,14595883,55,8,3,347978,7.0,218254,129724,Inor'i Yuzuriha,https://img2.finalfantasyxiv.com/f/54c1fb199ae5592a12fa4550ed300ed0_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645071426
3,18420303,55,8,4,340195,3.0,278919,61276,Madeline Heilong,https://img2.finalfantasyxiv.com/f/5e966b2600b184e504dc54ab835a9891_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645037835
4,26439972,55,8,5,280543,5.0,225848,54695,Dusca Brisingr,https://img2.finalfantasyxiv.com/f/392cbf0c15700b59b03e31f5f8f9d27a_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645155995
5,17764422,55,8,6,277751,8.0,202849,74902,S'kalkaya Alkaid,https://img2.finalfantasyxiv.com/f/f02feeb8067fddfad91b2b8197ff2467_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645015280
6,24370642,55,8,7,256186,6.0,223813,32373,Alaine Soon,https://img2.finalfantasyxiv.com/f/1c1d513c3cc9ce587c18a3247b1a3e6b_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645109899
7,29147776,55,8,8,254572,9.0,195965,58607,Sen Tia,https://img2.finalfantasyxiv.com/f/181b21fbb60293b65f8d29ac82cebb7b_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644746437
8,16053281,55,8,9,244721,4.0,230019,14702,Eus Tia,https://img2.finalfantasyxiv.com/f/d528a5a15280917d78cf25c6f5893b92_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645015628
9,25935044,55,8,10,215248,10.0,180781,34467,Sombrero Online,https://img2.finalfantasyxiv.com/f/b7469b60e96ff2f144f91be4bf61c145_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645049280
10,20149240,55,8,11,192038,11.0,170626,21412,Kipppo Gatsyb,https://img2.finalfantasyxiv.com/f/834d4417d9784f2be1d811023be8c2b4_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645139444
11,9112734,55,8,12,178626,13.0,106707,71919,Yumi Hikaru,https://img2.finalfantasyxiv.com/f/b5d6b098c479d080d3a2f9a8215281eb_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644780284
12,16174234,55,8,13,134618,12.0,109038,25580,Malihas Khannis,https://img2.finalfantasyxiv.com/f/cc18aa96cde3b1952c43207bf343c533_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645159063
