,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,3888639,97,9,1,523539,1.0,344479,179060,Lunaria'of Time,https://img2.finalfantasyxiv.com/f/54967384d985ea6d1fa88283ec015c47_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1644980561
1,14250072,97,9,2,421955,2.0,333492,88463,Ioanna Laurel,https://img2.finalfantasyxiv.com/f/eaaefc74ae8702522ca4a1e813c19557_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1644959849
2,21805669,97,9,3,285113,3.0,211366,73747,Vergil Van'solidor,https://img2.finalfantasyxiv.com/f/6485341da8a4c3f66d242b32658af036_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645139728
3,21297591,97,9,4,232285,4.0,180957,51328,Rune Lumin,https://img2.finalfantasyxiv.com/f/e2a43983b137e32cf9f0de324111475d_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1644773530
4,25173475,97,9,5,176406,5.0,155501,20905,A'lthea Saphirian,https://img2.finalfantasyxiv.com/f/0e22d0eea0977484cff1abaa6718c542_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645114547
5,13014299,97,9,6,150200,7.0,121997,28203,King Zurvan,https://img2.finalfantasyxiv.com/f/cd68d0d1127e6251309657224fa8d6fe_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1644995205
6,13170381,97,9,7,146854,8.0,114428,32426,Nuraghe Mannu,https://img2.finalfantasyxiv.com/f/f1b9d1daadfa43facb675ddfdcedf92f_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645085615
7,15386965,97,9,8,144783,6.0,144783,0,Mbarak Kwt,https://img2.finalfantasyxiv.com/f/f8c3d697c15d16e7a42adb2877e7234f_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1644810658
8,16592105,97,9,9,135325,,0,135325,Rome Antique,https://img2.finalfantasyxiv.com/f/4188c15207de8ed7eba00ca5affd2e18_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645084523
9,8927022,97,9,10,122104,9.0,100591,21513,Lixel Hessix,https://img2.finalfantasyxiv.com/f/3edb63b88c459de7c79bab5c288530d8_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645139220
10,1180271,97,9,11,106710,11.0,82644,24066,Shin Zantetsu,https://img2.finalfantasyxiv.com/f/d0001b6a1fab7217f0371d7c98712125_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645028609
11,4762111,97,9,12,101102,50.0,3510,97592,One Way,https://img2.finalfantasyxiv.com/f/c044861bbb7fd8c59aad54fb77194bfe_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645039683
12,3810992,97,9,13,92850,10.0,92850,0,Melya Rickingson,https://img2.finalfantasyxiv.com/f/f26ccee2f790e4fc7d2583e614827ffd_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1644955471
