,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,3780864,76,14,1,280251,1.0,241335,38916,Acid Breath,https://img2.finalfantasyxiv.com/f/f8913b456bb7b062d8b16dda7818e6b1_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645190350
1,2873289,76,14,2,266434,3.0,174551,91883,Poku Nobi,https://img2.finalfantasyxiv.com/f/c9867574df55956c83b290e724a370da_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644995218
2,14130826,76,14,3,220289,2.0,186997,33292,Sarah Zabiarov,https://img2.finalfantasyxiv.com/f/adff98b37b64870948e1c08503b3297e_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645011787
3,2356440,76,14,4,218218,4.0,172822,45396,Yuuki Lowell,https://img2.finalfantasyxiv.com/f/1a50a6981db2e86e38c3c69e12187b45_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645014299
4,26184417,76,14,5,106794,7.0,80695,26099,Mikado Fonce,https://img2.finalfantasyxiv.com/f/a592449e3638c21893ca10a119e7ba92_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645121593
5,2208373,76,14,6,101111,5.0,101111,0,Marici Shimmer,https://img2.finalfantasyxiv.com/f/55750d020a7fd863025b162071e53981_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645072705
6,13250088,76,14,7,95929,6.0,81762,14167,Boowy Taka,https://img2.finalfantasyxiv.com/f/f6ef3d5123cc9c22b2b6f05f32e1dd43_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645162980
7,7155108,76,14,8,86556,9.0,73879,12677,Mococo Moco,https://img2.finalfantasyxiv.com/f/5bfd050354c3c4c4759a652ebb706e72_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645074345
8,2222876,76,14,9,80080,8.0,80080,0,Rai Mei,https://img2.finalfantasyxiv.com/f/edf2db9954299396c74de1f65561e94d_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645023668
9,3123377,76,14,10,60769,11.0,48399,12370,Sono Gi,https://img2.finalfantasyxiv.com/f/3b28a4e6719577447b0a490bd4556307_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645126990
10,3251486,76,14,11,57570,10.0,57570,0,Mahiru Takanashi,https://img2.finalfantasyxiv.com/f/dbdf056fea7c6c0df01150220af72ee8_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645055677
11,26805494,76,14,12,50250,16.0,29440,20810,Koneko Hirowareta,https://img2.finalfantasyxiv.com/f/9e208bc517fb1516b1d99883731ff112_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645126996
12,2297800,76,14,13,48891,14.0,31974,16917,Zeeval Valreas,https://img2.finalfantasyxiv.com/f/99261a3853135cf37f9382bb137054da_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645152213
13,9489271,76,14,14,46622,13.0,34239,12383,Sylphy Atok,https://img2.finalfantasyxiv.com/f/7e1b62af87a4cb582d07f650616aa9f1_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645115859
14,2829616,76,14,15,46317,24.0,19987,26330,Jasmine Cha,https://img2.finalfantasyxiv.com/f/57a207226b108bf1b77831126c3af25a_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645122570
15,7918993,76,14,16,44258,93.0,3092,41166,Snow Nimbus,https://img2.finalfantasyxiv.com/f/9082a1f9c0831c7fc295111bea1f6e9a_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645178983
16,14324496,76,14,17,35932,12.0,35932,0,Dion Berlioz,https://img2.finalfantasyxiv.com/f/469d40b4401690ddcef956333701925a_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644961372
17,1576526,76,14,18,33031,28.0,15249,17782,Aldier Gattonero,https://img2.finalfantasyxiv.com/f/c380a9205dcbfacb8427894b4831ca1e_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645110788
18,21855398,76,14,19,32741,15.0,29856,2885,El Mirage,https://img2.finalfantasyxiv.com/f/c04ed7d8d6beb12bee0734eb16bd1bf5_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645114315
19,24520249,76,14,20,26554,19.0,23286,3268,Ishtar Lydia,https://img2.finalfantasyxiv.com/f/5fde5ab4c7bfe365d73ee37ded0413c2_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645107020
20,24854965,76,14,21,26042,22.0,22645,3397,May Yan,https://img2.finalfantasyxiv.com/f/4cdef1007fdb35fe8bc274e745e083a9_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645048144
21,26497912,76,14,22,25785,17.0,25785,0,Zero Dreizehn,https://img2.finalfantasyxiv.com/f/44e44ef2d76e9701c83d90f5b7d1c6f8_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645045615
22,18058512,76,14,23,24568,21.0,22981,1587,Bell Lumonde,https://img2.finalfantasyxiv.com/f/1beb6921fad6b4d2df5eb5f5d52bb5ea_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645186253
23,17988021,76,14,24,24509,18.0,24509,0,Almia Axia,https://img2.finalfantasyxiv.com/f/a6711b2ec5ce2e463ad8447a927e81f9_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645104578
24,24876124,76,14,25,23620,25.0,19600,4020,Welyas Teylna,https://img2.finalfantasyxiv.com/f/ed6d410ff262e07f8bc6b4fc7fffa346_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644775101
