,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,26462387,61,15,1,866300,1.0,704288,162012,Celes Sphere,https://img2.finalfantasyxiv.com/f/0d1fab59e2543a7bb0df9b13aa4322e7_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644980055
1,26502945,61,15,2,778075,2.0,664942,113133,Mayu Chan,https://img2.finalfantasyxiv.com/f/1e68310e117f86718d9c83e79a34f4b6_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644952302
2,28414240,61,15,3,309685,3.0,309685,0,Shadow Melodia,https://img2.finalfantasyxiv.com/f/5c7a10ced29a98aba9ef46b8da92a705_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645156321
3,18063462,61,15,4,235612,4.0,180195,55417,Anasser Kaspola,https://img2.finalfantasyxiv.com/f/e141ee1df181418d2033799c2a571e96_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645162618
4,2971805,61,15,5,200738,6.0,140187,60551,Reiner Tatalai,https://img2.finalfantasyxiv.com/f/dfabaeb14183c4b78e4c13da8f5d1219_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645003502
5,3502279,61,15,6,185020,7.0,128696,56324,Mitune Segawa,https://img2.finalfantasyxiv.com/f/f4a4ba02fafa387c6b136599bd69be71_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645166486
6,3262896,61,15,7,178244,5.0,161559,16685,Logiz Requiem,https://img2.finalfantasyxiv.com/f/a9fff0804a5ad6efafe0a077841c6427_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645039497
7,16770762,61,15,8,142375,9.0,91011,51364,G'emberto Nunh,https://img2.finalfantasyxiv.com/f/6b24422f904f301867f1c196aeaf9c69_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645063341
8,22712188,61,15,9,118487,8.0,111491,6996,Nibear Okoge,https://img2.finalfantasyxiv.com/f/a19602742de8e1a99ced630228ac10dd_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645003858
9,22164198,61,15,10,109116,10.0,88980,20136,Soboro Don,https://img2.finalfantasyxiv.com/f/9347aeb5ef3aef561a4a5feb13b81e29_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644770627
10,17593421,61,15,11,100900,11.0,86021,14879,Poto Cham,https://img2.finalfantasyxiv.com/f/e50cf19aadbc4feaf38d37e6b32792e9_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645132472
11,2840769,61,15,12,95443,12.0,79406,16037,Fermata Fermi,https://img2.finalfantasyxiv.com/f/2967064bbe4bc2c673ccd66f3b4157fd_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645005392
12,18599224,61,15,13,49898,14.0,37928,11970,Zelos Wilder,https://img2.finalfantasyxiv.com/f/8e0bfaa0bef9c1ca7f837211c85f6610_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644776882
