,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,23924220,34,9,1,904009,1.0,803992,100017,Lirmy Pat,https://img2.finalfantasyxiv.com/f/cfa95451585e71d68086c200dd256c82_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645165648
1,4416497,34,9,2,579542,2.0,538502,41040,Drace Rift,https://img2.finalfantasyxiv.com/f/c6191ecc0229a28bd7b625de10eeb0b9_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645070898
2,26226172,34,9,3,348467,3.0,306451,42016,Helde Haviktok,https://img2.finalfantasyxiv.com/f/bfb9e3d6c9d12ae433679000482e6747_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645078804
3,28859834,34,9,4,303658,4.0,278615,25043,Lucen Flaria,https://img2.finalfantasyxiv.com/f/ead8332e89a0ebc119704e7eb9c705cd_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645049197
4,5906478,34,9,5,302638,6.0,258946,43692,Crimson Alexandria,https://img2.finalfantasyxiv.com/f/6cfda5f5c8a86e92311a2d66ee61e927_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645081612
5,11248199,34,9,6,270945,5.0,263322,7623,Zanmoru Nagrom,https://img2.finalfantasyxiv.com/f/ef1c73125f6eac8656f94c40070e9a2d_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645093310
6,9394533,34,9,7,260712,9.0,184939,75773,Fritz Guyes,https://img2.finalfantasyxiv.com/f/21fe58e219a1c330471cc0f4c38e8fa7_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645091852
7,14867442,34,9,8,232554,7.0,201128,31426,Travis Hawk,https://img2.finalfantasyxiv.com/f/0f08f05a7f9743ef540f8fc1f5982410_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644985984
8,25013246,34,9,9,195327,10.0,183848,11479,Hiroki Kohaku,https://img2.finalfantasyxiv.com/f/d5dcaf80c73b6667668ea32a8a781cec_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645138002
9,29619933,34,9,10,190237,8.0,190237,0,Athilda Tanne,https://img2.finalfantasyxiv.com/f/7ccfa50c4fd5e2b1eeaaa33deae35a55_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644820836
10,15712384,34,9,11,167783,11.0,147464,20319,Kaikel Xiang,https://img2.finalfantasyxiv.com/f/efa7ef691304823815e831b3593640ad_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644778090
11,4775153,34,9,12,143963,12.0,138026,5937,Y'taryll Bjurhet,https://img2.finalfantasyxiv.com/f/de739bb7f925f605aefab9ce418ce13a_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645169566
12,24181948,34,9,13,115856,13.0,85524,30332,Daiyu Cutright,https://img2.finalfantasyxiv.com/f/6f3e18bd9dfa6396230240448e0f8cb3_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645052687
13,10245781,34,9,14,101329,14.0,78782,22547,Lucifer Stephen,https://img2.finalfantasyxiv.com/f/5942c7f960b0666e7aec4afc9a4773e8_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644996733
14,24297937,34,9,15,69408,15.0,69408,0,Arsene' Lupin,https://img2.finalfantasyxiv.com/f/75fe42827ecf9d65c1b87e27c5486877_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645056934
15,4632830,34,9,16,55895,16.0,55895,0,Zeromus Falth,https://img2.finalfantasyxiv.com/f/09da7b77c1a3c85186099faa36724c35_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645038245
