,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,15394449,92,13,1,570214,1.0,558405,11809,Estina Wilzer,https://img2.finalfantasyxiv.com/f/7bea9cd9634c93af78c589b766e60374_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1645050816
1,6256897,92,13,2,454223,2.0,406145,48078,Mizuha Setsu,https://img2.finalfantasyxiv.com/f/d1b1130434ac5a73641eae6bc08b7b97_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1644973256
2,17831869,92,13,3,317846,3.0,317846,0,Necone Cone,https://img2.finalfantasyxiv.com/f/88a09eea23d5675e557adc366a440c93_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1644994178
3,4032703,92,13,4,268880,5.0,222301,46579,Vans Houten,https://img2.finalfantasyxiv.com/f/cffca4cd8f6f2c4ef3dd7a83d637f78f_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645101468
4,1570072,92,13,5,241414,4.0,241414,0,Shalrotte Velonica,https://img2.finalfantasyxiv.com/f/8f06af5bf34cd6346b8f267171d5e524_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1644670180
5,1664888,92,13,6,229160,6.0,172580,56580,Chisato White,https://img2.finalfantasyxiv.com/f/09292a83743593b93f3d2f50ecc7a3e9_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1644968891
6,17565372,92,13,7,149388,7.0,127707,21681,Hansel Faber,https://img2.finalfantasyxiv.com/f/4e4925f13d3b53c0af51e9c1a24b5659_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1645026500
7,24729605,92,13,8,130009,9.0,101733,28276,Niena Lavyrista,https://img2.finalfantasyxiv.com/f/b1c41c7d4b2cd1e6b2e304fab1721ad7_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1645009006
8,20494252,92,13,9,124037,10.0,91999,32038,Shiho Animator,https://img2.finalfantasyxiv.com/f/c96ccba9a13c6bf4945fda3d67d830cd_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1645040584
9,3185604,92,13,10,120091,14.0,58075,62016,Bercut Rune,https://img2.finalfantasyxiv.com/f/5420d4003a94bc6ff596c809b24539e4_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1645102005
10,27986187,92,13,11,118515,8.0,111722,6793,Sophie Silbem,https://img2.finalfantasyxiv.com/f/28c97a9f35a21b6a920e93766445adc1_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1644867476
11,9142030,92,13,12,105642,,0,105642,Tomama Toma,https://img2.finalfantasyxiv.com/f/b52961a502d8e1356b8481bee15a21ff_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1645175798
12,417964,92,13,13,97325,11.0,71021,26304,Mana Morry,https://img2.finalfantasyxiv.com/f/49a391e18e97149b4bbf15e7dfa274f3_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1644981542
13,375251,92,13,14,94159,15.0,55799,38360,Mari Nina,https://img2.finalfantasyxiv.com/f/317bfe66358a7aa3fc714cfa760ce688_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1645118791
