,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,29101754,65,17,1,775503,1.0,658639,116864,Sassy Carbuncle,https://img2.finalfantasyxiv.com/f/c97d5740a79a542e8cd5d06e7a41206b_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645035765
1,26763747,65,17,2,604572,3.0,506737,97835,Ruri Llan,https://img2.finalfantasyxiv.com/f/1e9e5e1707e4cde4543ad50fd7d29c43_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1644663068
2,28009419,65,17,3,589974,4.0,499356,90618,Eco Friendly,https://img2.finalfantasyxiv.com/f/fef845b126f0f72e845d901306691d66_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1645098861
3,1683536,65,17,4,557318,2.0,524610,32708,Shy Neferpitou,https://img2.finalfantasyxiv.com/f/4a0b858b85e475bdb2eeac515fd2ffb7_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645150797
4,24360409,65,17,5,542780,5.0,457639,85141,Aubrey Eilis,https://img2.finalfantasyxiv.com/f/de8025d0e681c0be2b0fe524dd663379_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645166804
5,23847063,65,17,6,529069,6.0,450078,78991,Karin Adele,https://img2.finalfantasyxiv.com/f/0d5206c9921d47868c3c8666a6c534b7_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1644835537
6,8037896,65,17,7,509639,7.0,421681,87958,Akio Ootori,https://img2.finalfantasyxiv.com/f/1a7ac1a504a61014b02788fa1d15a897_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1644820873
7,23975768,65,17,8,490328,10.0,398037,92291,Eiwai Elsee,https://img2.finalfantasyxiv.com/f/01aab30b48e3f427eddeeddaaae2a2ac_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645168470
8,21989590,65,17,9,479345,9.0,413546,65799,Papella Gibbers,https://img2.finalfantasyxiv.com/f/48c6f1fa8249f416e7804b2fbef80397_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645062713
9,3867079,65,17,10,445852,11.0,393850,52002,Sayane Miu,https://img2.finalfantasyxiv.com/f/12ab7dfeb8411fe781c161a02d70e7f3_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645084223
10,26465082,65,17,11,444686,14.0,350035,94651,Aurelia Kiot,https://img2.finalfantasyxiv.com/f/6def950bf3f54cf9f47c01da7c3ea978_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645136226
11,4850273,65,17,12,433031,8.0,420281,12750,Dark Fayth,https://img2.finalfantasyxiv.com/f/74ad3a47ae04ffe47d7404b97e91cb9e_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645092646
12,17362038,65,17,13,383351,15.0,345749,37602,Auri Hraesvelgr,https://img2.finalfantasyxiv.com/f/999f51081c19fcfb3c0cfb666a681bbf_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645153124
13,170457,65,17,14,378099,12.0,378099,0,Sinister Addiction,https://img2.finalfantasyxiv.com/f/f41e372d36aa908d3e7665902686eb38_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645166370
14,6825813,65,17,15,355043,13.0,355043,0,Alban Ashcroft,https://img2.finalfantasyxiv.com/f/1427d252098dce993327dcb90e2b2105_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645027036
15,26850951,65,17,16,237924,16.0,237924,0,Genesis Reality,https://img2.finalfantasyxiv.com/f/cadf19f75039c34954d841d906f8d5dc_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645178897
16,2237979,65,17,17,191950,17.0,175246,16704,Pruviant Arclight,https://img2.finalfantasyxiv.com/f/bbe94dbefa244ddd0a873ba018ff9d83_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645174996
17,25533839,65,17,18,162028,18.0,162028,0,Koro Mizuhiki,https://img2.finalfantasyxiv.com/f/638f5c85150c1b243ce5005091b05ad2_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1644852600
18,15564305,65,17,19,157393,24.0,117790,39603,Shirarose Hoseki,https://img2.finalfantasyxiv.com/f/a7216d52ced723e44b3f75b2a067d7bf_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1644966266
19,20028715,65,17,20,155122,19.0,155122,0,Thermi Thorus,https://img2.finalfantasyxiv.com/f/de5fab6eb28c62e38203aba69f322187_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645181840
20,30068565,65,17,21,149887,20.0,149887,0,Shirogane Hikari,https://img2.finalfantasyxiv.com/f/5362a9c92352998cd370b7a9d0a6112f_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1644737180
21,28192227,65,17,22,147540,21.0,147540,0,Dce Kayce,https://img2.finalfantasyxiv.com/f/1b911ecd1d2f6594b6588b2a71505642_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645167060
22,13209670,65,17,23,139861,26.0,111475,28386,Quilas Embless,https://img2.finalfantasyxiv.com/f/25e8e872d46e101488b04985f7bf0d85_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1644914631
23,29958333,65,17,24,132610,25.0,117387,15223,Amethyst Fleetfoot,https://img2.finalfantasyxiv.com/f/27e9b9c3ed3a780882a65244da6a0560_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645079479
24,21122534,65,17,25,132546,52.0,53090,79456,E'meraapi Konhi,https://img2.finalfantasyxiv.com/f/d95239a3d8157dfc93f4eb5e664765fb_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645129819
25,17661079,65,17,26,129575,23.0,118989,10586,Hipira Von-horrificus,https://img2.finalfantasyxiv.com/f/fc26681d787c362789ea838364e91957_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645109622
26,28662420,65,17,27,125458,32.0,96504,28954,Finley Chaziv,https://img2.finalfantasyxiv.com/f/b5a5655ea95d129eeb7526616d0849aa_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645077908
27,29996028,65,17,28,123378,27.0,110830,12548,Rosie Thorns,https://img2.finalfantasyxiv.com/f/77e8fd8ffbab0da52b50767322bd3aed_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1644602526
28,7964227,65,17,29,119809,22.0,119809,0,Tianika Vien'se,https://img2.finalfantasyxiv.com/f/b1ed973cc86f3197a770f6a66c72724f_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645034533
