,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,27658561,44,12,1,98415,,0,98415,Bazon Dalazon,https://img2.finalfantasyxiv.com/f/4834bf7eb6a31dd0eb3b1d130d98b6f3_2f698530a28d671d20278c8518c804c9fc0_96x96.jpg?1645061698
1,24856142,44,12,2,54926,,0,54926,Mad Emperor,https://img2.finalfantasyxiv.com/f/b442d6c5a0247312fa06fe10a7a0046b_2f698530a28d671d20278c8518c804c9fc0_96x96.jpg?1644896432
2,24770795,44,12,3,54559,,0,54559,Will Polis,https://img2.finalfantasyxiv.com/f/b73dfd8b357b066cacc203a5aa8b2624_2f698530a28d671d20278c8518c804c9fc0_96x96.jpg?1645196053
3,18198104,44,12,4,27603,,0,27603,Choco San,https://img2.finalfantasyxiv.com/f/dad11010e6281ee248638b71c737b1ca_2f698530a28d671d20278c8518c804c9fc0_96x96.jpg?1644989698
4,30230481,44,12,5,3718,,0,3718,Shell Aki,https://img2.finalfantasyxiv.com/f/90649cd58f1db5e1d87ca2d8733e9c25_2f698530a28d671d20278c8518c804c9fc0_96x96.jpg?1644804828
5,2877463,44,12,6,2691,,0,2691,Jiji Bubu,https://img2.finalfantasyxiv.com/f/c4dc62442195ae889fe600158f7275b8_2f698530a28d671d20278c8518c804c9fc0_96x96.jpg?1644998145
6,28511098,44,12,7,2329,,0,2329,Richt Ewige,https://img2.finalfantasyxiv.com/f/5da57c987ed4b550d996a195fe5ec639_2f698530a28d671d20278c8518c804c9fc0_96x96.jpg?1644824259
7,23612500,44,12,8,2092,,0,2092,Maron Maroning,https://img2.finalfantasyxiv.com/f/f43efc0bab9151bfe238b2674f88ff74_2f698530a28d671d20278c8518c804c9fc0_96x96.jpg?1645052478
8,29183767,44,12,9,2078,,0,2078,Akashi Daichi,https://img2.finalfantasyxiv.com/f/91f1aea6bd6992a638d07a4cc7c3b9bc_2f698530a28d671d20278c8518c804c9fc0_96x96.jpg?1645014110
9,2422432,44,12,10,1936,,0,1936,Lion Vivaldi,https://img2.finalfantasyxiv.com/f/3a60a3a2567ee780333fbe1dd6335430_2f698530a28d671d20278c8518c804c9fc0_96x96.jpg?1644980506
