,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,4839393,37,18,1,182557,,0,182557,Esprit Libre,https://img2.finalfantasyxiv.com/f/657e2b91a6497e36c13fc043e3f4e167_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645149656
1,26432580,37,18,2,54165,,0,54165,Sevrinn Blaine,https://img2.finalfantasyxiv.com/f/696794f73a007a055348b1f96181a3ed_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645045774
2,25181171,37,18,3,51746,,0,51746,S'rhenni Amaht,https://img2.finalfantasyxiv.com/f/89d375f299e53e8a60e0f39d19676b4a_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645146273
3,26712098,37,18,4,48264,,0,48264,Sulwyn Bakuro,https://img2.finalfantasyxiv.com/f/a2b11cecdfbbc0f40df82929b3341808_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1644854780
4,17255302,37,18,5,42339,,0,42339,F'lyn Bacchus,https://img2.finalfantasyxiv.com/f/efbc9fdcd470b16a24f2804fae5c0f76_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1644825112
5,25711132,37,18,6,42338,,0,42338,Avelaina Bacchus,https://img2.finalfantasyxiv.com/f/ce0eee6d45a911e9182bc5646a52fc2a_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1644825112
6,32283013,37,18,7,36288,,0,36288,Lucille Chaghan,https://img2.finalfantasyxiv.com/f/9ec950aae1583b8cdb9614408b747f43_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1644643592
7,8043474,37,18,8,33680,,0,33680,Wicked Faith,https://img2.finalfantasyxiv.com/f/c48d57bc349a40d9fa32f559a4cc9fbd_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645105238
8,18328032,37,18,9,32525,,0,32525,A' Iora,https://img2.finalfantasyxiv.com/f/13923f4a2d54797d8eefe4ef7a38fda2_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1644839246
9,12837521,37,18,10,30726,,0,30726,Chocolate Mint,https://img2.finalfantasyxiv.com/f/96f57e6a545b8f0a814d211bd90bda0a_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645177378
10,24323035,37,18,11,30203,,0,30203,Feril Shal'varal,https://img2.finalfantasyxiv.com/f/c0c7664a403636c65a3702468d78b889_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1644864924
