,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,22614329,43,14,1,796124,5.0,378064,418060,Josse Underwood,https://img2.finalfantasyxiv.com/f/26e5261d5bd71348e9ea2a63395b08ad_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644938618
1,28463617,43,14,2,701948,1.0,506585,195363,Asuha Lunaria,https://img2.finalfantasyxiv.com/f/04a16933ee085eb387e561be1a76324f_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645081366
2,21459665,43,14,3,539240,3.0,415900,123340,Dekopon Ttk,https://img2.finalfantasyxiv.com/f/5479cd6d1062b9955773005beb70ab51_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645104860
3,21521726,43,14,4,504838,10.0,283288,221550,Monkey Majik,https://img2.finalfantasyxiv.com/f/c9eed3902764c8e37697168831cd4298_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644975067
4,18586169,43,14,5,500552,2.0,500552,0,Asuna Seki,https://img2.finalfantasyxiv.com/f/2b07f45fc930295b06dee7df9e24dea7_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645198677
5,28048451,43,14,6,487653,4.0,407527,80126,Yayoi Shinonome,https://img2.finalfantasyxiv.com/f/f13040b2a517e96f5c6ab053f06ea941_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1644607608
6,2327813,43,14,7,470784,9.0,337133,133651,Nectar Ygg,https://img2.finalfantasyxiv.com/f/498f600489260c4129a863f01c94fdd3_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645136492
7,25306838,43,14,8,437954,7.0,355175,82779,Miima Leirion,https://img2.finalfantasyxiv.com/f/b649a2ccb5f938b340d89fb8fdffe286_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645147064
8,22469130,43,14,9,425196,6.0,358169,67027,An Eleoner,https://img2.finalfantasyxiv.com/f/d7ff3ca9ccb3305de69ece0f33c0949d_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645117021
9,28631959,43,14,10,417509,8.0,340075,77434,Roco Craft,https://img2.finalfantasyxiv.com/f/a025a66b4276d27c5b4db9f3b2333265_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644869047
10,26608913,43,14,11,396833,13.0,221332,175501,Muu Snow,https://img2.finalfantasyxiv.com/f/96dbdf8e0dad5e9d3fb836a52973d297_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645149999
