,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,32532240,80,8,1,1333337,3.0,696969,636368,Taran Echor,https://img2.finalfantasyxiv.com/f/63d8e1119068cd558757da2102adb767_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645043328
1,19466688,80,8,2,1006177,2.0,755137,251040,Rinn Xall,https://img2.finalfantasyxiv.com/f/a624f46efcf8944d61620f677182df88_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1644956983
2,13444438,80,8,3,900892,1.0,758466,142426,Nicsi Aoi,https://img2.finalfantasyxiv.com/f/e49c32fc891ccffbe4550383de49d6d7_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645083916
3,10992965,80,8,4,405049,4.0,405049,0,Serenity Wineko,https://img2.finalfantasyxiv.com/f/a1bf2e73c18693c96afad78c8e70473b_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645197880
4,2438223,80,8,5,323312,,0,323312,Kittiya Mckitty,https://img2.finalfantasyxiv.com/f/c1e294a7a3b1d6717a012498bf11aeb4_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645083640
5,32142820,80,8,6,300760,5.0,248424,52336,Troy Ower,https://img2.finalfantasyxiv.com/f/8755b0811d82f2e5a405f2583cb19de6_2f53b2675d3eea360f0b48d74d30af15fc0_96x96.jpg?1644955367
6,1557260,80,8,7,274062,6.0,245629,28433,Asny Rak'nys,https://img2.finalfantasyxiv.com/f/cf1ad427d4c05846a18afdd55a1abec4_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1644974241
7,19857932,80,8,8,265839,8.0,204170,61669,Amber Do'ahna,https://img2.finalfantasyxiv.com/f/4158255382eb7cddbd0829e6d075a700_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645180125
8,29121201,80,8,9,260454,20.0,47209,213245,Lala'hee La'hee,https://img2.finalfantasyxiv.com/f/6b8a0b560d70d516120bf113c142f3cd_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645153338
9,6034188,80,8,10,258470,9.0,196777,61693,Abeloech Cernunos,https://img2.finalfantasyxiv.com/f/e28949248856467cef95ba1cd376305c_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1644982499
10,17681676,80,8,11,243534,7.0,221449,22085,Chris Snowqo'te,https://img2.finalfantasyxiv.com/f/3af7a8afc8fe31dbb38270a2f2300dd5_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645197442
11,15653638,80,8,12,227295,11.0,132921,94374,Shana O'malley,https://img2.finalfantasyxiv.com/f/84360ff8255a3779e676e4e88878842a_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645154194
12,14529168,80,8,13,222126,10.0,161149,60977,Irina Imania,https://img2.finalfantasyxiv.com/f/eac33fc22cb9abf4333daf2e4407e967_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645061966
13,23224347,80,8,14,174579,18.0,50738,123841,Cryon Fox,https://img2.finalfantasyxiv.com/f/ef46fab3f340c503a0ebe791133a8908_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1644895666
14,13696276,80,8,15,173979,13.0,101277,72702,Ryne Warde,https://img2.finalfantasyxiv.com/f/0cdc283e151ef849a286a1835aee6f11_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645023437
15,30866785,80,8,16,152810,16.0,71938,80872,Fenrir Vanagandr,https://img2.finalfantasyxiv.com/f/79b5701a08da3c994f2d3e1d7a9dc6b0_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1644985264
16,12516828,80,8,17,123456,12.0,121814,1642,Azure Rain,https://img2.finalfantasyxiv.com/f/e43560b029f2f7e5ff59ef450afc8617_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645184008
17,30235240,80,8,18,121444,15.0,77170,44274,Nishushu Nishu,https://img2.finalfantasyxiv.com/f/d31f23a58f2df0a2e3a4f46a6d04182f_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645056878
18,12661266,80,8,19,90540,14.0,90540,0,Theodore Jaeger,https://img2.finalfantasyxiv.com/f/56f271c0decd581c65e5e4dc316e439e_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1644780105
19,2414793,80,8,20,80213,17.0,66256,13957,Ina Niya,https://img2.finalfantasyxiv.com/f/84a265c19cf40f8409c3ce3ae9c58de8_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645096359
20,18927469,80,8,21,53037,,0,53037,June Fox,https://img2.finalfantasyxiv.com/f/e8439010bd088b286ea60c0041c3444c_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645198056
21,342256,80,8,22,50042,19.0,50042,0,Deecup Delight,https://img2.finalfantasyxiv.com/f/1110030e64f6a88ae229d993960b3713_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645085280
22,13026031,80,8,23,40200,21.0,35700,4500,Valkyrie Healer,https://img2.finalfantasyxiv.com/f/7bb047baeb87672751d941190c586756_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1644916930
23,11737336,80,8,24,33454,22.0,33454,0,Snow Lynx,https://img2.finalfantasyxiv.com/f/3bf7656fe8e6151b6c65b1973e7e48eb_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645107079
24,16448346,80,8,25,30410,23.0,30410,0,Mia Soronia,https://img2.finalfantasyxiv.com/f/ee5701b249130baebe09cd3a2385fd30_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645143164
25,6377689,80,8,26,25880,24.0,25880,0,Nanashi Mugen,https://img2.finalfantasyxiv.com/f/15690a0ab02568229f153edc98ebb4c0_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645117663
26,16745913,80,8,27,25047,25.0,25047,0,Dividus Yliaster,https://img2.finalfantasyxiv.com/f/eb5b25896968dc2fddffa9ad421e27f0_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645174638
27,15345878,80,8,28,24520,31.0,16278,8242,Any Thunder,https://img2.finalfantasyxiv.com/f/5f345e0c90d821328c110fc99e309a1c_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1644952055
28,25638300,80,8,29,21874,26.0,21874,0,Anra Yashou,https://img2.finalfantasyxiv.com/f/6147f14f24824c3e042934e7977a18fa_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645023098
29,9634793,80,8,30,20649,29.0,17649,3000,Zhan Xie,https://img2.finalfantasyxiv.com/f/1753da3c786901f5348fa3007bd2760a_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645154109
30,30865868,80,8,31,20571,27.0,19531,1040,Ritsu Ryuji,https://img2.finalfantasyxiv.com/f/6e9f20e188d0c56f7d170d7da27311e5_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645024390
31,13197595,80,8,32,20094,32.0,16194,3900,Shiloh Banos-kulkodar,https://img2.finalfantasyxiv.com/f/1a93f125a271d920c20384132f8c7031_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645064657
32,29831010,80,8,33,19319,28.0,19319,0,Yushimi Spark,https://img2.finalfantasyxiv.com/f/005398be7037310071c078b07b1ae0c2_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1644989597
33,351324,80,8,34,18865,33.0,16132,2733,Jian Xie,https://img2.finalfantasyxiv.com/f/72be580fa61e8947d917e1d1d0175e82_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645132326
34,22382182,80,8,35,17597,35.0,13817,3780,Godzand Mickpersonman,https://img2.finalfantasyxiv.com/f/4abb46253dd5ecb427f6900ceced4a78_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1644960796
35,23688987,80,8,36,17344,30.0,16448,896,Eon'we Leafae,https://img2.finalfantasyxiv.com/f/72e35fff44e240f43d06c7d9eb1027f6_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645106268
36,16360205,80,8,37,16083,36.0,12633,3450,Moh Niflheim,https://img2.finalfantasyxiv.com/f/c1d207191af1dc5c1eea7f5cef2ed1b5_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1644949842
37,24313341,80,8,38,15261,34.0,15261,0,Veyria Melfari,https://img2.finalfantasyxiv.com/f/a30738061daa564a521ba1444ae8220c_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645134969
38,25977846,80,8,39,14503,48.0,10083,4420,Innio Lynx,https://img2.finalfantasyxiv.com/f/137b1341dcf17722cc7e16d5f39b3473_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645126831
39,8965147,80,8,40,14490,40.0,11490,3000,Alash Vostra,https://img2.finalfantasyxiv.com/f/13311c18c0f61fc18322b58f40c598aa_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645074467
40,8794011,80,8,41,14169,41.0,11338,2831,Lunaris Rek,https://img2.finalfantasyxiv.com/f/bc9aa0b6a3f3edf2f18be2645cd9b96e_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645097051
41,29201482,80,8,42,13842,47.0,10226,3616,Black Phoenix,https://img2.finalfantasyxiv.com/f/a4b67c1fbb6b065cd7de2e8426c332c4_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1644981245
42,24714343,80,8,43,13732,42.0,11295,2437,A'vhida Tia,https://img2.finalfantasyxiv.com/f/a6f4a3579e61a48d94b31808349098bd_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645067485
43,31348396,80,8,44,13290,63.0,7440,5850,June Starfall,https://img2.finalfantasyxiv.com/f/14b0691245a08a8d53019f05fb14b7f3_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645113369
44,13903785,80,8,45,12815,37.0,11987,828,Danma D'king,https://img2.finalfantasyxiv.com/f/422a674be52423e8be3bb203cfbc97f9_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1644788200
45,6003697,80,8,46,11811,38.0,11811,0,Ellyria Arcueid,https://img2.finalfantasyxiv.com/f/9aae7b3b6a3173887a0663ffce1b353e_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645187060
46,17649790,80,8,47,11580,39.0,11580,0,Apapas Junior,https://img2.finalfantasyxiv.com/f/a780d8c64a1e4242aa4a5a7a79686429_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645021129
47,24429139,80,8,48,11450,46.0,10400,1050,Sarnai Orl,https://img2.finalfantasyxiv.com/f/7bb8cc9d713190b772ac8cebab4268c3_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645085089
48,17787108,80,8,49,11241,43.0,11241,0,Victoria Flowerheart,https://img2.finalfantasyxiv.com/f/23c81f8acd0af0bb7071bdb42a335836_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645147128
49,27401044,80,8,50,10942,44.0,10942,0,Woo Sung,https://img2.finalfantasyxiv.com/f/8d68af5450787a2633f869367f02a8d0_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645120501
50,24754843,80,8,51,10697,45.0,10697,0,Ianna Broadbent,https://img2.finalfantasyxiv.com/f/e234c4dcdb05d8ddfd7a222ff93aa32a_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1644844161
51,24388790,80,8,52,10594,54.0,9221,1373,Xion Poutineway,https://img2.finalfantasyxiv.com/f/76bd784c053e19d9f33763d6c6fb16a6_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645123696
52,9191633,80,8,53,10372,52.0,9562,810,Syel Lacrima,https://img2.finalfantasyxiv.com/f/1476229bb0b2a81948a8763340312125_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645142239
53,7621715,80,8,54,10073,49.0,10073,0,Konoe Maximus,https://img2.finalfantasyxiv.com/f/57141f780bc890127f3cefd083296bf1_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645046314
