,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,19209034,39,16,1,760115,1.0,666319,93796,Aaron Johnston,https://img2.finalfantasyxiv.com/f/71d2e1ddbe0100b9e7ea4ba74b73d268_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645071949
1,30766207,39,16,2,741056,2.0,625799,115257,Leo Kuu,https://img2.finalfantasyxiv.com/f/b979a0f7778c7ad678b0b5cc54349f0a_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645029370
2,21789722,39,16,3,616655,4.0,527179,89476,Flo Flooo,https://img2.finalfantasyxiv.com/f/b208bff27090c37635715c644e2ce9a5_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1644949829
3,18301218,39,16,4,603405,5.0,491719,111686,Kira Tsukino,https://img2.finalfantasyxiv.com/f/06b41b283cef04713779ea94fa1d986a_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645109311
4,23101462,39,16,5,571979,3.0,563951,8028,Godfrey Payne,https://img2.finalfantasyxiv.com/f/4b3e826d6fecdb373f6e07ab683364bf_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645191095
5,18957160,39,16,6,546562,7.0,464978,81584,Glowel Mywdra,https://img2.finalfantasyxiv.com/f/fab065a7a30d138022186ac262ca75d1_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645131091
6,15853270,39,16,7,533351,8.0,464431,68920,Haku Helios,https://img2.finalfantasyxiv.com/f/7ed219365b66f6525dd45736441f462c_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1644870231
7,25559365,39,16,8,526750,9.0,446396,80354,Lethra Noferin,https://img2.finalfantasyxiv.com/f/0ad090aee4bcea001d3e5b08fd013bb3_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645141433
8,25462773,39,16,9,522281,6.0,484345,37936,Vito Zenyasch,https://img2.finalfantasyxiv.com/f/efcb064453e649e75c83e52ad5f141af_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645139623
9,3006019,39,16,10,516158,10.0,442380,73778,Demon Seed,https://img2.finalfantasyxiv.com/f/9fd474bf70a1b0eb7fb72c19380ffeaa_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645163319
10,9207381,39,16,11,504319,12.0,407357,96962,Minyna Kit,https://img2.finalfantasyxiv.com/f/7044abd8707f8cdefa28f1a4d466945e_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645140227
11,31398188,39,16,12,477998,11.0,428838,49160,Shadow Moth,https://img2.finalfantasyxiv.com/f/8b5b6473ae954d2d4b0d1204800566b2_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1644760271
12,18451481,39,16,13,397667,14.0,324825,72842,Gonis Goniukas,https://img2.finalfantasyxiv.com/f/ba3484d020137e2ccf0bfc681f44d4ba_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1644828864
13,26940914,39,16,14,367598,13.0,365095,2503,Dave Lavellan,https://img2.finalfantasyxiv.com/f/46e4cd816e90db8796010aff2b9ecee2_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1644793160
14,27053319,39,16,15,290932,15.0,284292,6640,Ani Artemis,https://img2.finalfantasyxiv.com/f/18120cc68b546eb73031c72b06bd9f93_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1644944880
15,30161918,39,16,16,241256,16.0,241256,0,Kai Amarith,https://img2.finalfantasyxiv.com/f/e9c8726217631fd5e0df8d0a27edb78d_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1644892709
16,29522118,39,16,17,223246,17.0,210605,12641,Aarorya Slingel,https://img2.finalfantasyxiv.com/f/dbac8eff6afeb7e65b75bae5efd1a5f5_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1644918983
17,1180685,39,16,18,216063,19.0,172895,43168,Frankie Teardrop,https://img2.finalfantasyxiv.com/f/cd26df3718cdff0c68f3b15bf1ea1647_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1644642003
18,5124872,39,16,19,185756,18.0,185756,0,Drazul Hiou,https://img2.finalfantasyxiv.com/f/4ce7308dce265fa9c67335468e18382b_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645122174
19,21621182,39,16,20,161346,20.0,161346,0,Demetria Decad,https://img2.finalfantasyxiv.com/f/43b8fdb9c62158d03d4b382b69e2f89a_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645124251
20,12020635,39,16,21,147286,21.0,147286,0,Rahn Garu,https://img2.finalfantasyxiv.com/f/98ef414229736b20bfe918fcf1bcefd0_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645035857
21,27013021,39,16,22,142455,22.0,141345,1110,Kuddles Maxium,https://img2.finalfantasyxiv.com/f/aca943f9ac310ccea47ca425dccaefd0_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1644620646
22,29236781,39,16,23,136504,23.0,136504,0,Childe Estrelaint,https://img2.finalfantasyxiv.com/f/f175e67212f181ca860e9dcc36f324b6_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1644879538
23,6698764,39,16,24,132877,25.0,126090,6787,Magichwan Elin,https://img2.finalfantasyxiv.com/f/073984180ed58fcb8782771f4a752b13_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645160675
24,6648872,39,16,25,131905,27.0,118439,13466,Silvaire Valeriant,https://img2.finalfantasyxiv.com/f/1635b2260481148f1cac3a4584c1a02b_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645106959
25,20473160,39,16,26,131207,24.0,126100,5107,Malagus Blackheart,https://img2.finalfantasyxiv.com/f/9d776a319c55e02eae145e232af818c6_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645163478
26,22635489,39,16,27,119655,26.0,119655,0,Rina Windycat,https://img2.finalfantasyxiv.com/f/b871e76ed13a710270b591da2a40599b_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645140749
27,31191768,39,16,28,116696,28.0,111441,5255,Mizuki Haru,https://img2.finalfantasyxiv.com/f/a54223caaab422ee6d41cff245fcc13b_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1644621045
28,23781529,39,16,29,109051,31.0,98249,10802,Iyah Lhutsu,https://img2.finalfantasyxiv.com/f/c0303185d77c50c82ca3979f9c1fed3c_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645131683
29,32572369,39,16,30,107692,29.0,107692,0,Lilith Lorielle,https://img2.finalfantasyxiv.com/f/339f0916a5a98de23b2ee400331a2a98_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645098593
30,25093604,39,16,31,98872,30.0,98872,0,Kyron Brooks,https://img2.finalfantasyxiv.com/f/623b0e78174614745a4f0ff6ae708cfa_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1644783094
31,21601267,39,16,32,98195,32.0,98195,0,Meronashi Yamasa,https://img2.finalfantasyxiv.com/f/d3249fc75bd9381fbc3a5dcdf8d47d23_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1644827963
32,14438013,39,16,33,96938,35.0,81523,15415,Lumilyn Starbloom,https://img2.finalfantasyxiv.com/f/c4576c93057d82aafbab37eb19d777f3_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645007324
33,17600704,39,16,34,92199,39.0,70588,21611,Thya Kaatapoh,https://img2.finalfantasyxiv.com/f/168c5f121969dfbbeeefc49e872c258b_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1644825201
34,25011680,39,16,35,88263,37.0,71518,16745,Soliana Uristina,https://img2.finalfantasyxiv.com/f/e8f3bcc4c014e7276b614a7f988c20f6_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1644787733
35,10930580,39,16,36,85578,33.0,85578,0,Doe K',https://img2.finalfantasyxiv.com/f/487c6f590a7ce0f9044f7fd34073c8fc_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645103812
36,12687000,39,16,37,83329,34.0,83329,0,Schindel Ashera,https://img2.finalfantasyxiv.com/f/d3a0b161ce2646f89da9b2c30bd5fac1_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645102820
37,31004996,39,16,38,80965,45.0,65935,15030,Isabella Nekay,https://img2.finalfantasyxiv.com/f/fb7b2d43b9bcf670e53045a2f6abdc44_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645185925
38,1683399,39,16,39,78415,,0,78415,F'lhinna Kutseru,https://img2.finalfantasyxiv.com/f/eacf0eb99b8a9989581a258990e43097_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645162256
39,3290785,39,16,40,78032,36.0,78032,0,Hayruku Onipi,https://img2.finalfantasyxiv.com/f/9e13c3c6e805856a1d15c964e6e1254f_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645181398
40,2438897,39,16,41,77152,54.0,58613,18539,Swygstyrm Iyrnmholsyn,https://img2.finalfantasyxiv.com/f/fffc83595731218f95fd50a9cc0ab62d_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645201188
41,2944359,39,16,42,74024,44.0,67526,6498,Khalu Nayeli,https://img2.finalfantasyxiv.com/f/528a13d6c5b44eea6f165bf19787fc4c_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645048146
42,28299626,39,16,43,71333,38.0,71333,0,Vanella Ice,https://img2.finalfantasyxiv.com/f/e7d14115a9646b72213df79da7792d0a_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645037669
43,14399413,39,16,44,71120,51.0,61527,9593,Poppy Star,https://img2.finalfantasyxiv.com/f/fa6538d1e399bb970707b23cd1d3399c_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645203803
44,29895344,39,16,45,70087,40.0,70087,0,Zodiark Bloodmoon,https://img2.finalfantasyxiv.com/f/650b5453184b066f62fc03e2bea95f3f_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1644902326
45,11191429,39,16,46,69442,41.0,69442,0,Flynn Hathaway,https://img2.finalfantasyxiv.com/f/503947917b9703ca3a58de58fdfedc82_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645153499
46,19667846,39,16,47,68129,42.0,68129,0,Handbell Ragnarock,https://img2.finalfantasyxiv.com/f/08a2601246225054f76176470580ae48_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645045154
47,26797614,39,16,48,67932,43.0,67932,0,Blake Walker,https://img2.finalfantasyxiv.com/f/09dfd1a22aff472da6ac4433575d1f90_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1644890540
48,20787394,39,16,49,67882,95.0,36316,31566,Sanjuns Vintage,https://img2.finalfantasyxiv.com/f/3b05e628f591ee420613dbebf51d06e4_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645103651
49,27406481,39,16,50,67164,56.0,57435,9729,Neliell Kenpachii,https://img2.finalfantasyxiv.com/f/b40ed90cbe0c593c927783f0caeb1a95_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1644822388
50,29371495,39,16,51,63518,46.0,63518,0,Rinnh Yaxin,https://img2.finalfantasyxiv.com/f/68393df80d1dfe8f663ed844d3b43080_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645100928
51,22321386,39,16,52,63446,47.0,63446,0,Solveig Rabenmund,https://img2.finalfantasyxiv.com/f/70d3893b113633f4078d86f63b702c1a_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1644890447
52,24239363,39,16,53,62636,48.0,62636,0,Dogma Drakengardia,https://img2.finalfantasyxiv.com/f/1b13989b459c274db26bda2debf7e87a_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645190675
53,22485783,39,16,54,62616,49.0,62616,0,Athena Valto,https://img2.finalfantasyxiv.com/f/355590225b687b83b7e073b8231c373d_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645095732
