,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,10158830,56,12,1,636142,1.0,636142,0,Pierrete Leaf,https://img2.finalfantasyxiv.com/f/49de7980cd00355a703eb3495bb7be17_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645133396
1,30166243,56,12,2,524900,2.0,524900,0,Dial-up Connection,https://img2.finalfantasyxiv.com/f/169bdd85bb7c2813497459f8e6e7df31_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645166721
2,331721,56,12,3,344330,3.0,262139,82191,Alixia Aurelie,https://img2.finalfantasyxiv.com/f/bce5dcbab92f2f9f23e2e86bf74b40b4_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645176644
3,28069118,56,12,4,342583,6.0,226273,116310,Lazy Demon,https://img2.finalfantasyxiv.com/f/2e596d39da70a3a47497ebfc4a6b659d_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645118580
4,28710292,56,12,5,341001,4.0,259023,81978,Godwald Nightbreaker,https://img2.finalfantasyxiv.com/f/199fd6b6f49bae6eefb026fd7ab0f177_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645102343
5,6729350,56,12,6,302199,5.0,235443,66756,Rasio Bearpaw,https://img2.finalfantasyxiv.com/f/39cc891a85ae6712d92ac43407fbe9d3_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645023444
6,25801467,56,12,7,278330,8.0,179266,99064,Ludi Scere,https://img2.finalfantasyxiv.com/f/cd78da2bc9070a28e1fb926d0f3500dd_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645032999
7,32436530,56,12,8,278145,7.0,210399,67746,Lost Bug,https://img2.finalfantasyxiv.com/f/5c612f526db836c6290611bc312b9879_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645000448
8,3127852,56,12,9,262673,9.0,178967,83706,Cosinus Zen,https://img2.finalfantasyxiv.com/f/a0b415a6567ce15220af52be83564899_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1644982454
9,29739810,56,12,10,220981,17.0,83737,137244,Tey Ittle,https://img2.finalfantasyxiv.com/f/02498c7c3a4f82b72d578feebca5d843_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645135660
10,22368968,56,12,11,211882,11.0,161895,49987,Sicrow Evermore,https://img2.finalfantasyxiv.com/f/06dd77f5e14b789ec96f73f0dba23582_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645157674
11,18766808,56,12,12,210704,10.0,163433,47271,Erizabesu Batori,https://img2.finalfantasyxiv.com/f/08fc5d4bd9bd98dc6470c9881fc25002_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645100210
12,14360061,56,12,13,189827,13.0,132952,56875,Pietre Santo,https://img2.finalfantasyxiv.com/f/7ed68410884f54aa776694ac2a1ca1fc_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645027148
13,29935220,56,12,14,189430,16.0,107856,81574,Roxaye Zalo,https://img2.finalfantasyxiv.com/f/6ebe2416aa993abd111395874624ae29_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645164834
14,7923588,56,12,15,139089,14.0,130364,8725,Lyra Moglin,https://img2.finalfantasyxiv.com/f/0191581a4e7450a889dfe45b6484311e_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645053771
15,15318297,56,12,16,133461,12.0,133461,0,Dreasna Gittenau,https://img2.finalfantasyxiv.com/f/f6324dbeead9dfe1b58ed0b4bc629e7e_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645140368
16,2846479,56,12,17,115310,15.0,115310,0,Lupinya Cat,https://img2.finalfantasyxiv.com/f/6ac41aa48d077a3cc34f4f17f589a565_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645160368
17,17098937,56,12,18,76707,18.0,68354,8353,G'iuz Tia,https://img2.finalfantasyxiv.com/f/25acdd0529284d62b5f0766430c358f3_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645198370
18,24400265,56,12,19,56683,19.0,52093,4590,Zed Schattenklaue,https://img2.finalfantasyxiv.com/f/ba479e01cc8eb948ceeaf554ec9b5f93_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645100427
19,29080019,56,12,20,46414,20.0,40858,5556,Mako Mako,https://img2.finalfantasyxiv.com/f/c5f1e4dd2bf740169230591376083b9c_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1645076609
20,32107636,56,12,21,39131,21.0,30551,8580,Shelly Kawaii,https://img2.finalfantasyxiv.com/f/19da1b64fc192aee8a0440b6ec94c100_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645067920
21,20373795,56,12,22,36000,24.0,30000,6000,Aphrael Aphrentis,https://img2.finalfantasyxiv.com/f/cdb29df32fc3582ae09afd69173233c6_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645170123
22,7640410,56,12,23,31409,37.0,11849,19560,Feena Angelou,https://img2.finalfantasyxiv.com/f/d987d257c153f9e67ba98c69f136249e_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1644836548
23,14754888,56,12,24,30242,22.0,30242,0,Yuuya Lullaby,https://img2.finalfantasyxiv.com/f/c93b728bdd29470f7f26ea3821a85f6c_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645121668
24,23188732,56,12,25,30231,23.0,30231,0,Tesla Teriyaki,https://img2.finalfantasyxiv.com/f/3a8546881b519f3e65f0459848f052fa_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645172151
25,8001714,56,12,26,28371,27.0,21334,7037,Kryssa Staker,https://img2.finalfantasyxiv.com/f/d97e1f6e896a811d1e4e72759e6145d6_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645036245
26,3825811,56,12,27,26270,25.0,26270,0,Ayumi Ongaku,https://img2.finalfantasyxiv.com/f/bcbc3a29bf1cf6f1458f98d6f7bc10fd_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645108857
27,11309417,56,12,28,21540,26.0,21540,0,Nox Er'elim,https://img2.finalfantasyxiv.com/f/57eec8f2a04fa35e832cf2e9e7d31190_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645197806
28,14204364,56,12,29,20064,32.0,16075,3989,G'falkh Tia,https://img2.finalfantasyxiv.com/f/cc453d8b71aa462657d9b4f2fb9d06fc_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645053269
29,20549010,56,12,30,19576,28.0,19576,0,Moon Muraudel,https://img2.finalfantasyxiv.com/f/3c53561e14ded43116f6d9220030c981_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1644969871
30,13969212,56,12,31,18814,29.0,18814,0,Warkyria Guenhwyvar,https://img2.finalfantasyxiv.com/f/7adfd0bcf01f3d0999537259e7eea4e7_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1644986576
31,29198474,56,12,32,18633,30.0,18633,0,Mocha Tea,https://img2.finalfantasyxiv.com/f/38a74fa2e6dfe0f71122336d0e7e240a_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645121028
32,6180448,56,12,33,16423,34.0,13273,3150,Funkystar Cloudy,https://img2.finalfantasyxiv.com/f/90953bdc442332de966e8003451e1140_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1644966022
33,24907589,56,12,34,16199,31.0,16199,0,Tyo'a Moshroca,https://img2.finalfantasyxiv.com/f/2a6a068890b37fb58ece3bd954e5b6c4_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1644898878
