,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,29712154,97,15,1,1405984,2.0,985575,420409,Altina Azurewing,https://img2.finalfantasyxiv.com/f/8757177c3bad17ece14766408bdc691d_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645064379
1,29461510,97,15,2,1295016,1.0,1295016,0,Mada Mada,https://img2.finalfantasyxiv.com/f/1b22aea86be162d808603143ada0b7ed_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645112658
2,25818869,97,15,3,539594,3.0,503389,36205,Row Rabbit,https://img2.finalfantasyxiv.com/f/355adb51e5cb828302324116a39427d0_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645161088
3,2242925,97,15,4,504570,5.0,449193,55377,Kula Diamond,https://img2.finalfantasyxiv.com/f/1fd03c78ff998a2c2110ac558ea588f8_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645079600
4,1817299,97,15,5,502309,4.0,502309,0,Balanced Breakfast,https://img2.finalfantasyxiv.com/f/91f4f38caffbbae0dad8bf3fe0744611_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645168532
5,1839070,97,15,6,447630,6.0,343759,103871,Shunko Dai,https://img2.finalfantasyxiv.com/f/98ab8295e02b8600903a69a6c9ad3564_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645023644
6,20817551,97,15,7,397368,9.0,238646,158722,Stan Sakai,https://img2.finalfantasyxiv.com/f/d072b31ee05f6ac4f4024ff4ec9c556f_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645114777
7,19313621,97,15,8,311785,8.0,253762,58023,Nehemia Ytger,https://img2.finalfantasyxiv.com/f/9e96a6a2d96409931afea0d8d4069044_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645185830
8,1183289,97,15,9,291727,13.0,135589,156138,Ryo Hylian,https://img2.finalfantasyxiv.com/f/91efd882fc518ebfe1fee90d0409190a_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645074225
9,23681690,97,15,10,285284,7.0,285284,0,Kuro Xi,https://img2.finalfantasyxiv.com/f/329c65801e869184506a183e10655981_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1644945084
10,6183623,97,15,11,267173,12.0,177857,89316,Serene Kesyn,https://img2.finalfantasyxiv.com/f/2b92c9670404b3e181c654d545174f73_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1644924518
11,10852334,97,15,12,250943,11.0,195353,55590,Elde Sarmantoix,https://img2.finalfantasyxiv.com/f/6a21a59308fecc1823511fd059f9745c_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645153958
12,17742834,97,15,13,241425,10.0,202494,38931,Tiny Tina',https://img2.finalfantasyxiv.com/f/bf4bd8bf71571ce40f65ec2fbd7014aa_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1644982653
13,2872829,97,15,14,105509,15.0,56790,48719,Lycoris Albiere,https://img2.finalfantasyxiv.com/f/3dd0e769a4dd330c03245d0cc303300b_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645020958
14,24858786,97,15,15,104961,14.0,104961,0,Jess Storm,https://img2.finalfantasyxiv.com/f/fd9d6b777c2eaffc8678a5e049b8023b_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645062085
15,27072319,97,15,16,83537,,0,83537,Zeref Senpai,https://img2.finalfantasyxiv.com/f/fe59c7e3cb1178c0249fd50575363a07_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1644891604
16,23255843,97,15,17,57679,16.0,53819,3860,Nemini Falh,https://img2.finalfantasyxiv.com/f/605ede3d510432db470f9968bd323b21_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1644933090
17,12967283,97,15,18,50257,17.0,50257,0,Blood Bernie,https://img2.finalfantasyxiv.com/f/51edacf6dddf6ac2fb6678a9f3146ee1_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645173413
18,14637378,97,15,19,50098,18.0,50098,0,Tymeil Yelgava,https://img2.finalfantasyxiv.com/f/19d958c157ed58eb774664e7fc0007f5_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645094100
19,28109996,97,15,20,49630,19.0,43933,5697,Liese Istel,https://img2.finalfantasyxiv.com/f/5af2ea8bceba9e707c592bac41befc14_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645058538
20,27850990,97,15,21,45676,21.0,40696,4980,Morast Mops,https://img2.finalfantasyxiv.com/f/aae428514a2a715a809f14b4ccd30679_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645167649
21,11301084,97,15,22,42559,20.0,42559,0,H'arpuia Marosta,https://img2.finalfantasyxiv.com/f/6daa669afce034871f5401a8dfafdf8a_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1644946024
22,16758557,97,15,23,40847,26.0,30543,10304,Gucci Moonfire,https://img2.finalfantasyxiv.com/f/162ee9b3d84472c042f09104d2e31a2f_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645067902
23,14633821,97,15,24,37470,25.0,31020,6450,Maya Heraclia,https://img2.finalfantasyxiv.com/f/66d721d0d697b52e7bd8dd3d25fa20d1_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645060536
24,3405719,97,15,25,34822,24.0,31381,3441,Kallie Heav,https://img2.finalfantasyxiv.com/f/95986a083bfbee408142066ebe97a968_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645012643
25,22632561,97,15,26,33472,22.0,33472,0,Eto Yoshimura,https://img2.finalfantasyxiv.com/f/0a2592d0180bd446fdd28bcbe63d4355_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645003948
26,26358098,97,15,27,33040,23.0,33040,0,Adrian Warbringer,https://img2.finalfantasyxiv.com/f/5d0c66df5416d155cb27e76ed795cf76_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645050781
27,1180417,97,15,28,27892,27.0,23418,4474,Roflor Aut,https://img2.finalfantasyxiv.com/f/2730efdcf3a6ccae94ff3780e4d51b9d_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645010327
28,1622017,97,15,29,24443,28.0,18021,6422,Dresia Takanashi,https://img2.finalfantasyxiv.com/f/230b157a1c20020e0fd987213c1cb242_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645029137
29,1180432,97,15,30,21883,29.0,17881,4002,Strago Magus,https://img2.finalfantasyxiv.com/f/e97b3c25e63fbfeed6c5e3916f8ab3e9_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645000868
30,28312830,97,15,31,16917,30.0,16917,0,Cali Lee,https://img2.finalfantasyxiv.com/f/b9288cc2c55f98ce2c596ab50ce81e2e_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645045277
31,5617332,97,15,32,16192,31.0,16192,0,Furagon Draconis,https://img2.finalfantasyxiv.com/f/1223f9316789f073de80a08d7c661118_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645037387
32,20903968,97,15,33,15385,34.0,11595,3790,Shee Kaan,https://img2.finalfantasyxiv.com/f/88cbdc4908e7a50b08d12a960ddc5505_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645015529
33,25621786,97,15,34,13858,32.0,13858,0,Mephilia Marshall,https://img2.finalfantasyxiv.com/f/434d4cc1df4b51c030fea78cb7b6d489_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645044689
34,2973137,97,15,35,12949,40.0,8209,4740,Noah Draklor,https://img2.finalfantasyxiv.com/f/3f75859c85777125ad1fa78a71c77d7c_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645191232
35,24490260,97,15,36,12852,33.0,12852,0,Snow Kyuu,https://img2.finalfantasyxiv.com/f/452c57c5333279712f07f5c20899f1af_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1644984225
36,5673990,97,15,37,10137,38.0,8957,1180,Cosima Niehaus,https://img2.finalfantasyxiv.com/f/964ddb84e49df36100ad9b224b6b8ecf_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645000944
37,22523016,97,15,38,9396,35.0,9396,0,Keoni Nyth,https://img2.finalfantasyxiv.com/f/a42a95cb62cdf1b41e296e2b6070bb1b_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645036608
38,8102641,97,15,39,9305,39.0,8428,877,Elanor Chan,https://img2.finalfantasyxiv.com/f/db49fac71559104e1f69ba61c7151429_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645162246
39,29133108,97,15,40,9080,36.0,9080,0,Kaori Harukaze,https://img2.finalfantasyxiv.com/f/070b59380d1b575cbdc5f380f0c428de_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1644826227
40,10922542,97,15,41,8986,37.0,8986,0,Blueberry Lena,https://img2.finalfantasyxiv.com/f/d1614162c1bf64d70c1139602ea47128_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645108072
41,1544629,97,15,42,8657,41.0,8114,543,X'miyuu Sabaahji,https://img2.finalfantasyxiv.com/f/004f57901ac8981d1040d07b9296ddde_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645177361
42,5609383,97,15,43,7881,54.0,6248,1633,Qinra Lightfinger,https://img2.finalfantasyxiv.com/f/d0e44294cc4cf290aea9cdc5fc501fe9_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645124799
43,450500,97,15,44,7860,42.0,7860,0,Hime Tsukishiro,https://img2.finalfantasyxiv.com/f/c464fdde011ece3bbb3a7f333779679d_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645144701
44,12666720,97,15,45,7680,43.0,7680,0,Orion Scrimgeour,https://img2.finalfantasyxiv.com/f/964e7fe7c9bd6660360daeb196e4b500_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1645170397
45,9234753,97,15,46,7562,44.0,7562,0,Chibi Ryota,https://img2.finalfantasyxiv.com/f/c5f016aa5aafda2dba66fb28350a3804_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1644924240
46,29353437,97,15,47,7467,45.0,7467,0,Frost Born,https://img2.finalfantasyxiv.com/f/06fc38377b0cd7c3aa4ac79aee75df6c_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1644905529
47,12619420,97,15,48,7050,53.0,6300,750,Yulin Eiswolke,https://img2.finalfantasyxiv.com/f/668de0f78155eb28bd3937cf4a7faa46_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645155846
48,29582091,97,15,49,6908,46.0,6908,0,J'zhar Vylnihr,https://img2.finalfantasyxiv.com/f/596b4df36ef0aae9755032c4aad1e1af_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1644861962
49,10239020,97,15,50,6777,47.0,6777,0,Drix Namikaze,https://img2.finalfantasyxiv.com/f/72b6b56d72b309ad5f7b133b8260dd18_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645103348
50,18125631,97,15,51,6666,,0,6666,Koyaka Amaterasu,https://img2.finalfantasyxiv.com/f/f554bf8df611d2a11d2d681f9571488b_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645171765
51,16331071,97,15,52,6627,48.0,6627,0,Daca'a Fashonti,https://img2.finalfantasyxiv.com/f/f9483549be0668b2b1c349161d745727_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645050104
52,13521209,97,15,53,6619,49.0,6619,0,Chase Fringal,https://img2.finalfantasyxiv.com/f/9aba70eab45f497ee1926298346a2f51_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645002737
53,2840504,97,15,54,6600,,0,6600,Snowy Fox,https://img2.finalfantasyxiv.com/f/1b4320642bf40ef7d8c779411c7fc895_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645163497
54,2245047,97,15,55,6557,55.0,6227,330,Alfabica Fabula,https://img2.finalfantasyxiv.com/f/6b1b0df62b2533917a602ed0b810317b_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1644958477
55,21731328,97,15,56,6474,50.0,6474,0,Sukh Gharl,https://img2.finalfantasyxiv.com/f/120ea61e317e46356a2d8d6fe568d1af_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1644886977
56,23752819,97,15,57,6396,51.0,6396,0,Esther Passiflore,https://img2.finalfantasyxiv.com/f/817903680c9523b77df8d654ec059906_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1644881867
57,12098161,97,15,58,6393,52.0,6393,0,Yuki Shikibu,https://img2.finalfantasyxiv.com/f/4d0d218c87467d19336961c27fead1b8_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645049476
58,3953761,97,15,59,6185,90.0,2429,3756,Veradriel Darkwater,https://img2.finalfantasyxiv.com/f/329c7e51aef1eab27b3da4609571de22_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1644945978
59,21270929,97,15,60,6138,56.0,6138,0,Demon's Soulsll,https://img2.finalfantasyxiv.com/f/a8e1f09a70fa13b5dbf879f66e5f0d56_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1644998176
60,29335657,97,15,61,5092,57.0,5092,0,Dryn Bel'tor,https://img2.finalfantasyxiv.com/f/03a84661e762cce927789ad76212f513_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1644683418
61,13700292,97,15,62,5033,58.0,5033,0,Evrae Salvare,https://img2.finalfantasyxiv.com/f/03f2c2f0c71830dca1c7f3f7efbe3c25_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645173681
62,24667487,97,15,63,4980,85.0,3120,1860,Caelestis Mornon,https://img2.finalfantasyxiv.com/f/ee25fb90e8c2196955a2654be5e05e2c_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645194253
63,18554916,97,15,64,4950,59.0,4950,0,Nasser Ru,https://img2.finalfantasyxiv.com/f/2644cebffd1dc077128972705328f0f1_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645175141
64,1234554,97,15,65,4943,69.0,3983,960,Princesse Noire,https://img2.finalfantasyxiv.com/f/af09edd9d62c95756bbd211d0d096336_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645160790
65,15699692,97,15,66,4853,60.0,4853,0,Broofus Alimanga,https://img2.finalfantasyxiv.com/f/cf1547db5d7d5b13f105477839dd4630_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1644855238
66,2411622,97,15,67,4635,79.0,3388,1247,Roxy Saiko,https://img2.finalfantasyxiv.com/f/b73762d3bd1e983770aede1b7404dacb_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645063476
67,11871233,97,15,68,4540,61.0,4540,0,Sleepy Waru,https://img2.finalfantasyxiv.com/f/4f3850032de9fedb005484f210013629_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645118943
68,2823974,97,15,69,4491,62.0,4491,0,Alder Falial,https://img2.finalfantasyxiv.com/f/37488608c35a7f85f420451584990875_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645140725
69,30430446,97,15,70,4375,63.0,4375,0,Shadow Monarchs,https://img2.finalfantasyxiv.com/f/3b19913b0d8856968a222b55cead270b_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645168673
70,20248319,97,15,71,4290,64.0,4290,0,Mr' Vasto,https://img2.finalfantasyxiv.com/f/b0d1e0292fea0bce98add4bdbbd55dd5_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645196129
71,24174895,97,15,72,4200,65.0,4200,0,Sen Kyuu,https://img2.finalfantasyxiv.com/f/f0e6611f23c652ac876e82202e0f5166_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1644878763
72,21636525,97,15,73,4133,66.0,4133,0,Porina Pew,https://img2.finalfantasyxiv.com/f/422cb1a04f8c089e9dc40df74d7e58fb_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645055953
73,25763950,97,15,74,4080,67.0,4080,0,Teku Nejo,https://img2.finalfantasyxiv.com/f/0a5f9c6140fca97c6fe62e80d2d00ca5_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645009686
74,1746040,97,15,75,4066,68.0,4066,0,Lin Taranyl,https://img2.finalfantasyxiv.com/f/de0a07688c865c0ee38f6d5453e40b34_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645188498
75,7031152,97,15,76,4049,77.0,3599,450,Elryka Ryujinaa,https://img2.finalfantasyxiv.com/f/87c390e1068d5814216e9669410238b2_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645172847
76,31221126,97,15,77,3915,70.0,3915,0,Zshezzel Xwass,https://img2.finalfantasyxiv.com/f/6fa512eb9c84cedd5e24153f662cbc9f_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645180057
77,9920361,97,15,78,3870,71.0,3870,0,Edea Balrogh,https://img2.finalfantasyxiv.com/f/2153a1c529a18f97935aebbb1ebe00f4_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1644989437
78,2496002,97,15,79,3828,72.0,3828,0,Lucil Ry'dea,https://img2.finalfantasyxiv.com/f/3f1c1969b29b4ebf13348691e070bbfe_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645115538
79,13369004,97,15,80,3810,73.0,3810,0,Ponycorn Pie,https://img2.finalfantasyxiv.com/f/96d2a8542873cd32fd34badc67157228_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645129749
80,32012126,97,15,81,3787,98.0,2091,1696,Inemuri Helwa,https://img2.finalfantasyxiv.com/f/c681745054201deb5d60f2995961cabb_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645185443
