,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,29238585,85,8,1,851990,1.0,700991,150999,Lhyre Egrus,https://img2.finalfantasyxiv.com/f/60e29089abcb81ea16d6d0e0d56eaf34_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1644805724
1,15335712,85,8,2,422005,2.0,422005,0,Acurio Luchesi,https://img2.finalfantasyxiv.com/f/6d5e3d0b67225c1436cb4fb5a94e1f7a_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645058986
2,26377802,85,8,3,363599,3.0,304325,59274,Ctathli Thunn,https://img2.finalfantasyxiv.com/f/723b4d8f2afe2ce3a830d4f15dbcda38_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645112450
3,29038611,85,8,4,270164,4.0,195388,74776,Utaha Kasumigaoka,https://img2.finalfantasyxiv.com/f/0fa876e7e64844c156f33775e2abb329_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1644906071
4,21850351,85,8,5,219558,7.0,134553,85005,Mana Hukkanen,https://img2.finalfantasyxiv.com/f/e4f518d5b00fc0343eefb383d8577bf7_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645069607
5,27826443,85,8,6,218128,5.0,185114,33014,L'iara Narreni,https://img2.finalfantasyxiv.com/f/2328e31da57c2c68498764aea8d1940c_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645069049
6,20195919,85,8,7,204834,6.0,166455,38379,Final Fantasia,https://img2.finalfantasyxiv.com/f/e47c29cd78d81996a804354659c7970a_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645164136
7,29920990,85,8,8,146023,10.0,110353,35670,Baen Do'urden,https://img2.finalfantasyxiv.com/f/b0cb31c884f59fd27d9f97f36989ae45_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645151513
8,18296964,85,8,9,140438,16.0,43534,96904,Mizoru Caelwart,https://img2.finalfantasyxiv.com/f/38a0c15bbd1c943fd81cd6f2583e6ee9_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645152221
9,16213291,85,8,10,130884,8.0,130884,0,Millennium Spark,https://img2.finalfantasyxiv.com/f/5df3c29b87590cb0fb370c6257c7aa6e_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645194800
