,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,3621352,51,11,1,1901694,1.0,1712704,188990,Yourin Shino,https://img2.finalfantasyxiv.com/f/3378d68e4583cf906a7127b43b90a4da_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645082683
1,32371287,51,11,2,780426,2.0,780426,0,Mashiro Alkaid,https://img2.finalfantasyxiv.com/f/a97620ca5f094d1c004d7989ce1bd6f6_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1644628274
2,4207884,51,11,3,534182,3.0,534182,0,Brilliant Bleach,https://img2.finalfantasyxiv.com/f/b8f6273b82bbc3d2d8ee86ba5543bdcc_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1644780175
3,6184571,51,11,4,504482,7.0,172068,332414,Shallty Campbell,https://img2.finalfantasyxiv.com/f/e132974a10b89b4e850d71eb2dbfc2dd_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645124830
4,14252260,51,11,5,330460,4.0,290917,39543,Mist Ligurian,https://img2.finalfantasyxiv.com/f/0cfa3ded1f9862903eb9cc06bc8d2b50_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1644993525
5,11358898,51,11,6,303467,5.0,267612,35855,Kuraru Rann,https://img2.finalfantasyxiv.com/f/4891abcc78a8fcda5b1682a69ababacd_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645105670
6,25986921,51,11,7,288228,,0,288228,Toba Snow,https://img2.finalfantasyxiv.com/f/5f276e437786eab6287335666cfd1833_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645007615
7,9480026,51,11,8,246441,8.0,161532,84909,Tsuyuha Bluest,https://img2.finalfantasyxiv.com/f/c0c4fda8b59639a6b12bc683ad788fe4_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645069132
8,6940953,51,11,9,238398,10.0,90052,148346,Object Op,https://img2.finalfantasyxiv.com/f/6a5fdc98de35f0b901a98451a2ba50ff_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645176511
9,25088248,51,11,10,231790,6.0,215703,16087,Coro Martha,https://img2.finalfantasyxiv.com/f/61a5d30e2305b8a7563ae6c0875c5c31_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1644634945
10,26252530,51,11,11,114825,9.0,114825,0,Adobe Premiere,https://img2.finalfantasyxiv.com/f/b61a06e5e23a4058e5033d9bc6c34651_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1644619470
11,6127529,51,11,12,106614,11.0,68485,38129,Judau Ashta,https://img2.finalfantasyxiv.com/f/c671dd76307f1aa61f021cf12b115143_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645000255
12,21058403,51,11,13,103242,16.0,52630,50612,Tao Baggins,https://img2.finalfantasyxiv.com/f/5cd43a5aa2352b6cae26c1ef47fad358_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645037565
13,3119454,51,11,14,71627,13.0,58570,13057,Liza Azil,https://img2.finalfantasyxiv.com/f/d2da5a8bb798156bb335232a08474c5d_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645133009
14,21853390,51,11,15,67755,14.0,57271,10484,Ini Torenia,https://img2.finalfantasyxiv.com/f/a2312d9212d2de0024a23a1723fb06fe_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645063675
15,28577163,51,11,16,66700,15.0,55649,11051,Reina Kisaki,https://img2.finalfantasyxiv.com/f/8f6a6af96801c770f5c63b471c12580d_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645189258
16,31827950,51,11,17,59573,12.0,59573,0,Nocco Mulberry,https://img2.finalfantasyxiv.com/f/450d18d1228618118eda63a52c2cb508_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645052231
17,8836243,51,11,18,40343,18.0,29855,10488,Hana Yan,https://img2.finalfantasyxiv.com/f/36b70add2ac10e3502afb92d07cefe3e_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645116508
18,22094610,51,11,19,39141,17.0,31089,8052,Regulus Reo,https://img2.finalfantasyxiv.com/f/94cd1c79436c16da06d2f734c81de009_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645148937
19,17307822,51,11,20,33060,19.0,27900,5160,Chihiro Kachibito,https://img2.finalfantasyxiv.com/f/5735a03ed9c4a40b949ab981cd68bc32_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645196890
20,2208132,51,11,21,28350,21.0,24900,3450,Penpen Moco,https://img2.finalfantasyxiv.com/f/7ae83354b2a2dbcad02ff73f78309fff_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1644804503
21,32798426,51,11,22,27211,20.0,26134,1077,Coo Tia,https://img2.finalfantasyxiv.com/f/a9f7edaeddf8029b61a2b8bdb1213313_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645100736
22,2470497,51,11,23,27028,25.0,22588,4440,Natu Cochrane,https://img2.finalfantasyxiv.com/f/db51b7a6b37dba6e3b1d16de4bd174b4_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645177746
23,23071614,51,11,24,25769,24.0,22619,3150,Saku Whitta,https://img2.finalfantasyxiv.com/f/c154b00996b06e7b2404e7f63ff8c011_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1644905675
24,18527747,51,11,25,25388,34.0,17116,8272,Dino Forte,https://img2.finalfantasyxiv.com/f/5ec837604fad8ccf002e81b78c8b102f_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644998010
25,13423917,51,11,26,25315,49.0,9614,15701,Nali Rose,https://img2.finalfantasyxiv.com/f/367d2654c105554e947550cc5ae7d88c_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645186762
26,18323670,51,11,27,24810,22.0,24810,0,Ciel Nora,https://img2.finalfantasyxiv.com/f/d821d3e97cb7c4f36b1e10d6bdccb16a_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645120034
27,19119522,51,11,28,24792,28.0,20532,4260,Juta Bebe,https://img2.finalfantasyxiv.com/f/cb47a4ffd8c28a12a61de0dd25af7752_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645161990
28,19738815,51,11,29,23668,23.0,23108,560,Miku Poco,https://img2.finalfantasyxiv.com/f/50262f847e4fb6b6f8fc3973c6fa04fc_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645127894
29,19853037,51,11,30,22674,35.0,16976,5698,Nana Chidori,https://img2.finalfantasyxiv.com/f/b12c74a104925e73777e3931e727f37e_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1644930082
