,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,18342383,35,17,1,112339,1.0,54189,58150,Arryn Law,https://img2.finalfantasyxiv.com/f/7f1f03b9746c65c01a56525bf91ff84d_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1644926370
1,6390455,35,17,2,110381,5.0,39884,70497,Scarla Mooncaller,https://img2.finalfantasyxiv.com/f/933c328dfe1805fd2a791af6dd7c2380_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645116537
2,9111310,35,17,3,101410,3.0,46595,54815,Feilana Cael,https://img2.finalfantasyxiv.com/f/5e849a342804b42a3633107246b0b2df_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1644997280
3,32554179,35,17,4,94032,7.0,38306,55726,Naa Tia,https://img2.finalfantasyxiv.com/f/292f1630477a21e1503938e8c4bdf73a_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645134065
4,27939716,35,17,5,90366,4.0,39938,50428,Elizabeth Rose,https://img2.finalfantasyxiv.com/f/b1fdc32d3f98ab8b024c5907b6037624_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645155718
5,30984762,35,17,6,86950,2.0,52487,34463,Sayo Aisaka,https://img2.finalfantasyxiv.com/f/38822ddb11ea47a789f5e4a63af5ca0d_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645063764
6,31229741,35,17,7,77412,83.0,8330,69082,Jhazmyne Lullaby,https://img2.finalfantasyxiv.com/f/e99c63a89f84600782023577dc2e898f_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1644743747
7,22936944,35,17,8,73447,8.0,34125,39322,Shaq Fu,https://img2.finalfantasyxiv.com/f/939b229a57444e2efec10318ec8049d8_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645145664
8,2827682,35,17,9,72063,6.0,38696,33367,Lillet Blanc,https://img2.finalfantasyxiv.com/f/301ca56ed9be8195009c1baba1c9eaaf_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1644919407
9,31406475,35,17,10,71033,58.0,9851,61182,Lia Han,https://img2.finalfantasyxiv.com/f/7553ff2b9e7cd1c5993c9bbe6bc38ebf_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1644945755
10,20864371,35,17,11,64433,24.0,16022,48411,Nova Puppets,https://img2.finalfantasyxiv.com/f/f23bad61b3c017f94879bb70e5ffa900_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645183202
11,20099731,35,17,12,61980,,0,61980,Thelma Murray,https://img2.finalfantasyxiv.com/f/69c9046b583845d270f2d3cc33623376_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645146928
12,27475613,35,17,13,45721,13.0,22380,23341,Loetstymm Klynsaldsyn,https://img2.finalfantasyxiv.com/f/fd9a279b4e3bc72ae66a02675e025d19_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645124089
13,20107689,35,17,14,44176,11.0,24793,19383,Agatha Dazkar,https://img2.finalfantasyxiv.com/f/45d5af4696dfbf14189ff43217327b48_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1644911026
14,20126290,35,17,15,43834,15.0,20478,23356,Elsie Stirk,https://img2.finalfantasyxiv.com/f/d5d51bc544f37b0f3787947183dc6abf_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645050352
15,8124064,35,17,16,43694,,0,43694,Haruka Nanase,https://img2.finalfantasyxiv.com/f/b59829b168a3c405fa5fbce5aa2dbc24_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1644907524
16,26056296,35,17,17,39879,14.0,21328,18551,Y'nehq Sravel,https://img2.finalfantasyxiv.com/f/f927ff5afb10bf4414b5b56cf9be8ce0_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1644925452
17,9043589,35,17,18,36649,16.0,19701,16948,Gwenyth Lightbringer,https://img2.finalfantasyxiv.com/f/936f16319fa3baffba100f9ed1c9daf1_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1644876247
18,24521780,35,17,19,36390,35.0,13604,22786,Jacen Moonclaw,https://img2.finalfantasyxiv.com/f/56ab1a3b6abb1465e858e8b89c218961_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645041484
19,15088116,35,17,20,35208,12.0,23937,11271,Flex Tape,https://img2.finalfantasyxiv.com/f/0e33dcca7dae3d8a61339a6426db2e4a_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1644994702
20,29549557,35,17,21,33398,34.0,13846,19552,Fiendishly Intheway,https://img2.finalfantasyxiv.com/f/0b9e495862d83ee04e8ec2e5f22607e5_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645115269
21,21250280,35,17,22,32647,10.0,25621,7026,Mierga'to Jin,https://img2.finalfantasyxiv.com/f/b19dbcce13713ed6b5cf1328454f047a_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1644866407
22,2706491,35,17,23,31079,17.0,19021,12058,Sunia Aphelion,https://img2.finalfantasyxiv.com/f/87b81dbdb867f55c8de500b4599ae429_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645010457
23,16393085,35,17,24,30932,,0,30932,Larau Galanodel,https://img2.finalfantasyxiv.com/f/84a0ad1f1acbcea26b4839350b381762_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1644684763
24,24276281,35,17,25,30225,29.0,14687,15538,Eirin Cross,https://img2.finalfantasyxiv.com/f/a31c8e5e31ea7fb286a4805fa54ecbff_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645195623
25,29133883,35,17,26,29873,31.0,14563,15310,Mira White,https://img2.finalfantasyxiv.com/f/db6bb923b0fe80fb0f967db13d638000_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1644913624
26,23409019,35,17,27,29586,49.0,11122,18464,Evanora Venture,https://img2.finalfantasyxiv.com/f/073c89d155942fe5c0eb81a702aaa871_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644914759
27,6467159,35,17,28,29525,32.0,14231,15294,Captain Cold,https://img2.finalfantasyxiv.com/f/cbb506cfcf1bd0b16ea0d5163440e9fc_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645118745
28,26306536,35,17,29,28643,22.0,16210,12433,Lutia Randalf,https://img2.finalfantasyxiv.com/f/3e13bdf0e1b6cc4ffb3c6fae9e196cad_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1644998589
29,26155539,35,17,30,27760,51.0,10667,17093,Amanda Crowe,https://img2.finalfantasyxiv.com/f/62a93ae39526027a13c532f09bd0de6e_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645148850
30,15922924,35,17,31,26970,9.0,26970,0,Mystella Monochrome,https://img2.finalfantasyxiv.com/f/61ecb34dae5ce828980245f3f2d800d4_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1644645267
31,30807248,35,17,32,26936,48.0,11284,15652,Yuki Ona,https://img2.finalfantasyxiv.com/f/07aba9654cef4a8f77446b8a7b7ca1a5_30a5f9eadea6e0cb684a5265362d0d59fc0_96x96.jpg?1645031241
32,24722528,35,17,33,25838,67.0,9318,16520,Lysandra D'artian,https://img2.finalfantasyxiv.com/f/a4b8780c7ed8ad9b899097702a7d1c58_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1644908281
33,14527027,35,17,34,25550,21.0,16627,8923,Fried Rice',https://img2.finalfantasyxiv.com/f/7edf40f1a084bda7fe757369a69cbd3a_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645083543
34,28320767,35,17,35,25314,20.0,17945,7369,Replicant Nier,https://img2.finalfantasyxiv.com/f/7e24e72be8aad259b0fd23f2bf30d38f_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645128017
35,9344090,35,17,36,25018,86.0,8248,16770,Egon Zwielicht,https://img2.finalfantasyxiv.com/f/85f135e82b9a8ebc2c9d54fa09974b5a_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645086877
36,30759804,35,17,37,24685,41.0,12634,12051,Kachi Mol-ra,https://img2.finalfantasyxiv.com/f/a8c6f2a83610f325e586814e2742c882_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645134233
37,28741845,35,17,38,23912,44.0,12095,11817,Joie Mil,https://img2.finalfantasyxiv.com/f/afdb60f1c2e501cf8a383421cd9f71a3_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645018335
38,18849407,35,17,39,23647,,0,23647,Hazakura Daitou,https://img2.finalfantasyxiv.com/f/5479634fa6ab6df81db2dfb7a6a77e57_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1644682686
39,25678105,35,17,40,23586,74.0,8984,14602,Tatiana Yuki,https://img2.finalfantasyxiv.com/f/71328962226e05fa617e3c2acd295fda_1fa3a1b3845481a1b67b46854a3cc49afc0_96x96.jpg?1645124110
40,9145617,35,17,41,23316,55.0,10200,13116,Phaxal Brightblade,https://img2.finalfantasyxiv.com/f/925281aa96670a3590ef4c0f677bceec_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645049582
41,4127746,35,17,42,23227,72.0,9046,14181,Carmi Charmingway,https://img2.finalfantasyxiv.com/f/12801e5d900ecd159b92f409e501c19b_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645063271
42,23566201,35,17,43,23006,46.0,11521,11485,Laniakea Dodomagi,https://img2.finalfantasyxiv.com/f/df8e2ef8b846d64b9ba98cac2f1fd3c9_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1644850583
43,8293072,35,17,44,22949,,0,22949,Gideon J'eris,https://img2.finalfantasyxiv.com/f/06ef94b015cb8dbbbdf50509d137210e_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1644973890
44,20846221,35,17,45,22728,19.0,18139,4589,Hua Ai,https://img2.finalfantasyxiv.com/f/32b3fa02b7b0b63572245486af41d2ef_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1644866672
45,16066764,35,17,46,22573,,0,22573,Bea Potter,https://img2.finalfantasyxiv.com/f/0d2c447ee68a1c222250694b26f45c84_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1644877175
46,21390385,35,17,47,22560,27.0,15271,7289,Ququwa Quwa,https://img2.finalfantasyxiv.com/f/bd1b549be3dc6fbb708fcfbca39c1def_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645069734
47,29380484,35,17,48,22504,87.0,8080,14424,Fidget Soliel,https://img2.finalfantasyxiv.com/f/0202f20ce6aac292aec354a2de7bac79_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1644911600
48,16425471,35,17,49,22294,64.0,9429,12865,Jajapoki Rarapoki,https://img2.finalfantasyxiv.com/f/4c5020ed7e553efc1bfbd8cf62a69b90_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645083774
49,21679937,35,17,50,21090,63.0,9509,11581,Noire Vhenan,https://img2.finalfantasyxiv.com/f/607de4a05f5deb7bb907f7c1999f6639_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645123688
50,21226954,35,17,51,20836,,0,20836,River Ura,https://img2.finalfantasyxiv.com/f/fc4a572726728965bb98d959a42f8a38_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645180615
51,20410753,35,17,52,20444,26.0,15546,4898,Cheshire Wonderland,https://img2.finalfantasyxiv.com/f/c51bdcbbc9423bc89b1e7910392ffc3e_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1644975543
52,7092233,35,17,53,20098,61.0,9568,10530,Swift Strawberry,https://img2.finalfantasyxiv.com/f/feedf6b0fd5f3b8f24e9260aa95cf328_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645132507
53,4901490,35,17,54,19827,28.0,15176,4651,Quixe Mercer,https://img2.finalfantasyxiv.com/f/682a2ce37c94a7c11f80a6f6ca533128_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645165128
54,27425940,35,17,55,18929,99.0,7320,11609,Ghaelon Pentaghast,https://img2.finalfantasyxiv.com/f/cbd602e27f7f2983038546108137b4ba_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645113067
55,31667863,35,17,56,18686,30.0,14580,4106,Annalea Novia,https://img2.finalfantasyxiv.com/f/4063c23ab20d17d4261aa3c15c1fd278_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1644821496
56,27297259,35,17,57,18679,95.0,7577,11102,Arminus Auditore,https://img2.finalfantasyxiv.com/f/713de931b7ef8aa489a078c6a3984176_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645177432
57,15242620,35,17,58,18609,56.0,10146,8463,S'lindra Firestrider,https://img2.finalfantasyxiv.com/f/f362d3d8fdb37391b37a5ef8c6cb2cc6_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645157020
58,26408603,35,17,59,18509,18.0,18509,0,Alan Parson,https://img2.finalfantasyxiv.com/f/2eb3c9daf4096f3cdd2143f6e38f4594_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645099714
