,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,9157765,59,15,1,69825,1.0,30216,39609,Kazumin O'brian,https://img2.finalfantasyxiv.com/f/7f500f1a2e99f1bf3f85e11d5c9d7d49_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645000359
1,13831964,59,15,2,59759,2.0,27322,32437,Momon Nyata,https://img2.finalfantasyxiv.com/f/3dde55f9a9ac05eea1114fde7bb7c822_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645124910
2,23380891,59,15,3,58634,5.0,20436,38198,Y'mato Aji,https://img2.finalfantasyxiv.com/f/b50f2b490a5984a619aa77f845b98adb_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645168289
3,1644795,59,15,4,43216,37.0,1587,41629,Kaguran Gintya,https://img2.finalfantasyxiv.com/f/1811e8045aed23830d3222f7c5974415_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645085385
4,30104056,59,15,5,42305,3.0,22256,20049,Elma Hugo,https://img2.finalfantasyxiv.com/f/b25eea0b3e47b642cfdd815dfd2ffef6_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645156227
5,25816561,59,15,6,32608,4.0,20592,12016,Nanana Asahina,https://img2.finalfantasyxiv.com/f/e32028c60b3eb2e5a6d42af9f02ac618_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645054807
6,18405745,59,15,7,32214,13.0,5331,26883,Shin Greh,https://img2.finalfantasyxiv.com/f/d6fa2f917f47abb358fa0b80d5b17412_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645190828
7,2237294,59,15,8,25548,7.0,13574,11974,Frag Ment,https://img2.finalfantasyxiv.com/f/acbad6ba51f8b46bd638c95af1e8c002_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645118159
8,27874228,59,15,9,17904,36.0,1590,16314,Kyouka Koyuki,https://img2.finalfantasyxiv.com/f/298d3b7d507e78142e91e2664b79f68c_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645089773
9,14441664,59,15,10,15886,6.0,15886,0,Kolollo Kololo,https://img2.finalfantasyxiv.com/f/a9444c549d4bbb0f75696447883c0d15_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645031942
10,19192728,59,15,11,15447,8.0,12447,3000,Keko Baby,https://img2.finalfantasyxiv.com/f/3ac6d94f3357e61491a8aee37dd6c258_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1644982753
11,29314757,59,15,12,9307,24.0,2555,6752,Zoran Arodica,https://img2.finalfantasyxiv.com/f/62a433981c97e18aed1da6efae5f54f6_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645045615
12,3140903,59,15,13,9063,12.0,5406,3657,Main Hawk,https://img2.finalfantasyxiv.com/f/2ed9487d2b48d2d57369dcaf90f608eb_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645152926
13,25524224,59,15,14,8715,11.0,5655,3060,Sakura Sea,https://img2.finalfantasyxiv.com/f/6af239800f45cb5f5124aedbdd0b0a6d_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1644855158
14,26887138,59,15,15,8263,103.0,240,8023,Popoco Owl,https://img2.finalfantasyxiv.com/f/c1ce44528aeb2bee1a09de62a786c76d_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645168810
15,2208631,59,15,16,8190,9.0,8190,0,Pearl Mellon,https://img2.finalfantasyxiv.com/f/8a237afa8de08a76fa4e5937a503d92f_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645006201
16,25091629,59,15,17,7758,21.0,2755,5003,Yelai Xiang,https://img2.finalfantasyxiv.com/f/7452c6eda90b1861fd291081196c5664_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645097195
17,28239150,59,15,18,7734,,0,7734,Liam Turner,https://img2.finalfantasyxiv.com/f/7e68d451e358e6026f08f5b7c70c7cec_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1644844116
18,29843656,59,15,19,7601,27.0,2321,5280,Jack Avalon,https://img2.finalfantasyxiv.com/f/ab799a4011c5641bff9f95bcafbf1eac_7126768d768f6c6c7fed3eaee98c3a8afc0_96x96.jpg?1644992798
19,1586685,59,15,20,7473,,0,7473,Ken Chung,https://img2.finalfantasyxiv.com/f/042853ee03c3f0bf11853ac6aeab411e_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645062821
20,30320343,59,15,21,7196,15.0,4197,2999,Naushika Nk,https://img2.finalfantasyxiv.com/f/a45f3c7baaf808b193316a28e402dda2_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645061283
