,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,1231239,97,16,1,200105,1.0,85436,114669,Dalfinger Kratos,https://img2.finalfantasyxiv.com/f/149253da99441ca7ea2c031e94c2c7cc_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645048645
1,18306869,97,16,2,140190,2.0,68734,71456,Mila Grace,https://img2.finalfantasyxiv.com/f/04d45d686ff50280f2f68d117b25e5b8_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645133804
2,5403488,97,16,3,128104,5.0,46196,81908,Shaya Avagnar,https://img2.finalfantasyxiv.com/f/f1e259dbc093776158d9f7da3f7314df_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645003934
3,20269301,97,16,4,113746,3.0,51555,62191,Asalise Lyscus,https://img2.finalfantasyxiv.com/f/b733dfea502e0932b529fbbb74fd7834_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645142606
4,26351389,97,16,5,100103,4.0,48126,51977,Zephaniel Arclight,https://img2.finalfantasyxiv.com/f/530022acadb2d79896740cfca4db83fa_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1644815021
5,24303354,97,16,6,90982,14.0,24237,66745,Claire Amber,https://img2.finalfantasyxiv.com/f/c431f6a6c8b052ed43bbbfe397505c66_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645041103
6,15530323,97,16,7,80572,8.0,31123,49449,Yui Nur,https://img2.finalfantasyxiv.com/f/3d01fefc0e99226891cf0e5ef61564cd_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645089580
7,1447120,97,16,8,78961,6.0,40417,38544,Zalion Lanfor,https://img2.finalfantasyxiv.com/f/5986d431b921da4773ae5d83fb9d2902_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645098438
8,5885243,97,16,9,77085,7.0,39207,37878,Junso Ayatsuji,https://img2.finalfantasyxiv.com/f/2f93f8a61e0491265bba3d16f67f589e_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645142890
9,28956449,97,16,10,72558,18.0,20802,51756,Umie Rovan,https://img2.finalfantasyxiv.com/f/b9317b2ca7849de688068bca22768123_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645095676
10,15496382,97,16,11,67725,,0,67725,Aranea Highwind,https://img2.finalfantasyxiv.com/f/986bf16e07eeefb2906a4601b1e2310e_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1644972435
11,19767364,97,16,12,65880,54.0,12110,53770,Billy Darkholme,https://img2.finalfantasyxiv.com/f/662fbc6c87226c05cd4f966d034fd38f_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645090243
12,27832427,97,16,13,60236,34.0,15600,44636,Raiken Ikeda,https://img2.finalfantasyxiv.com/f/d1ddeb211e92cb1abda7bf69419dfd26_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645121109
13,29939696,97,16,14,59852,17.0,21644,38208,Sad Clone,https://img2.finalfantasyxiv.com/f/2830580acab0e30138269757088df82f_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645129922
14,2306895,97,16,15,59643,16.0,23868,35775,Fayton Graycat,https://img2.finalfantasyxiv.com/f/73ea186772b2aec9498d6cb276b269df_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1644957785
15,5196632,97,16,16,58645,12.0,25359,33286,Tailya Mercury,https://img2.finalfantasyxiv.com/f/134bd048cb8bf816c81b6cb11ecba147_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645188605
16,15799658,97,16,17,57238,24.0,18692,38546,Yukiko Kuroba,https://img2.finalfantasyxiv.com/f/2266c49c5a12c7df4b16294746a8d1b9_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645011145
17,1449833,97,16,18,56648,9.0,27546,29102,Luti Lanfor,https://img2.finalfantasyxiv.com/f/4c1c8d8f2034429d7ce44ed2b004321f_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645020123
18,27200246,97,16,19,51545,13.0,25034,26511,L'illien Naweh,https://img2.finalfantasyxiv.com/f/23d45d91f0f2e5f2ba4c99007ef779b6_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1644789905
19,18448984,97,16,20,50527,,0,50527,Koharu Shimogamo,https://img2.finalfantasyxiv.com/f/de45d272d47ddb5149fdceec5e81d69f_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645175280
20,1183596,97,16,21,47344,49.0,12791,34553,Floriban Zelkyr,https://img2.finalfantasyxiv.com/f/c502ac7527b596be820791426ae9d574_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645122470
21,30227196,97,16,22,46336,57.0,11873,34463,Stella Evergarden,https://img2.finalfantasyxiv.com/f/6a00a461cf6b57355d115fd1d364a364_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645168239
