,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,29089038,90,12,1,80243,1.0,40940,39303,Dala Dala,https://img2.finalfantasyxiv.com/f/a89c77ee424e8c9ae26691aae6aba285_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644970563
1,29662521,90,12,2,64620,4.0,14760,49860,Holy Snow,https://img2.finalfantasyxiv.com/f/71a13fffecb81b4f4ab55127a27b8600_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645134376
2,24049696,90,12,3,47824,12.0,6543,41281,Ichi Daddy,https://img2.finalfantasyxiv.com/f/e94362736063432788f85f96b5730844_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645071171
3,30408814,90,12,4,44217,,0,44217,Khloe Stone,https://img2.finalfantasyxiv.com/f/3d01c8b04b4c3850c670f2af1243962b_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1644790688
4,29137545,90,12,5,40195,8.0,11573,28622,Ziema Nuur,https://img2.finalfantasyxiv.com/f/9cbfb7652c2461e16e87693e2f0afd0b_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644845636
5,524726,90,12,6,36962,2.0,17658,19304,Ahly Valkyrie,https://img2.finalfantasyxiv.com/f/26ceda2f318a9a05d0dedc0013c4b798_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645037444
6,22713788,90,12,7,29456,22.0,2519,26937,Guruna La,https://img2.finalfantasyxiv.com/f/7ea740051b075c263da29629dc3e32b3_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644898194
7,27307547,90,12,8,24829,3.0,15001,9828,Kenken Hyper,https://img2.finalfantasyxiv.com/f/41449a653c483dcc9649caaf025baadf_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645042382
8,18826995,90,12,9,22761,11.0,8221,14540,Lachesis Knight,https://img2.finalfantasyxiv.com/f/365e1efb352ca7c5bf520fe37ec6780f_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644980035
9,22839235,90,12,10,21252,7.0,11833,9419,Elysia Iris,https://img2.finalfantasyxiv.com/f/bd47251066be5ed23407e08a9ea914c2_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644773658
10,27966632,90,12,11,20981,,0,20981,Neko Charm,https://img2.finalfantasyxiv.com/f/d7dd9ec9e6c860aab69b107933e6a821_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645015617
11,1009990,90,12,12,15318,14.0,5188,10130,Momonyan Cafemocha,https://img2.finalfantasyxiv.com/f/303c8918c6c49bf52c0a8aed09da56ab_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644981699
12,31581169,90,12,13,14652,10.0,8824,5828,Cream Neco,https://img2.finalfantasyxiv.com/f/849cdc686cf6f224022fa981ba11788f_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644925791
