,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,24112565,34,13,1,151599,1.0,82702,68897,Celeste Lunacresia,https://img2.finalfantasyxiv.com/f/340a2155a2ae1ebebe3615dea0f47992_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645040270
1,30530972,34,13,2,129464,2.0,63636,65828,Braids Vahallrea,https://img2.finalfantasyxiv.com/f/61a1b37601569d0fc7d36ddec4b1e828_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645178252
2,28661959,34,13,3,101343,5.0,24240,77103,Me'wo Amayuki,https://img2.finalfantasyxiv.com/f/50557213d07b6ab401be83b028c7040e_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645057302
3,23338172,34,13,4,72979,3.0,54891,18088,Clawdia Dupuis,https://img2.finalfantasyxiv.com/f/a97f64286c2a2faf0d45b159aed1ec43_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645153975
4,23334767,34,13,5,35507,4.0,26676,8831,Dunya Monkhtsetseg,https://img2.finalfantasyxiv.com/f/bc3a24323b2b05f98a5b9731f5c971ff_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645150874
5,11416906,34,13,6,32742,,0,32742,Yennefer Ofrivia,https://img2.finalfantasyxiv.com/f/ca08e856b751a955789afc3a60cd37d5_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645020366
6,23025185,34,13,7,24386,6.0,11359,13027,Ashley Kirsreth,https://img2.finalfantasyxiv.com/f/bce4b395a5e05c5fa2ef40cbe65207aa_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644974750
7,11306981,34,13,8,20257,,0,20257,Azul Skye,https://img2.finalfantasyxiv.com/f/858cbeb7a400a348d2905ab84bd48ee2_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645013322
8,31204279,34,13,9,17826,8.0,10250,7576,Traiko Azorya,https://img2.finalfantasyxiv.com/f/dc595368c1e15de515f21202c1ec3d1f_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645139272
9,5772233,34,13,10,16521,7.0,10461,6060,Uxianger Augurelt,https://img2.finalfantasyxiv.com/f/ee7a0423dd840fe6bb3e61ba36f09961_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645185705
10,28925307,34,13,11,16498,12.0,7914,8584,Micaiah Yune,https://img2.finalfantasyxiv.com/f/57bfd8f6d80614705ed90c72c30a09d9_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645116568
11,24849364,34,13,12,15655,,0,15655,Potatotto Falafell,https://img2.finalfantasyxiv.com/f/631ec7d9cb1ff33c463f194d1283037b_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645157051
12,10724328,34,13,13,14691,14.0,7036,7655,Blueberry Oatmeal,https://img2.finalfantasyxiv.com/f/7afad026089f613791fefddfb7662c75_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644903858
