,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,23885468,58,16,1,160201,2.0,101714,58487,Ja Ac,https://img2.finalfantasyxiv.com/f/33abf30c74877f65305fbaabebb1d817_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1644821078
1,24091720,58,16,2,150217,4.0,86910,63307,Chapra Milehigh-club,https://img2.finalfantasyxiv.com/f/2b507ffb89ceb593dff5ce245cc9e559_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1644698574
2,33357518,58,16,3,145782,1.0,105934,39848,Choco Ai,https://img2.finalfantasyxiv.com/f/c9d5838fb79a2e46f2ac5980a5f41e40_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1644810982
3,3515506,58,16,4,143327,3.0,89734,53593,Raul Bernabeu,https://img2.finalfantasyxiv.com/f/577f299c201dbd7a4aa75aebc8509c31_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645101016
4,31758326,58,16,5,141004,6.0,77680,63324,Ragzes Dhoro,https://img2.finalfantasyxiv.com/f/e061f42586b03443805ea1c93a62698e_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645097200
5,23991579,58,16,6,125477,5.0,86402,39075,Renard Blamc,https://img2.finalfantasyxiv.com/f/77da911f4046b7b2f7d2dfc59cc9aa3b_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645103521
6,32464377,58,16,7,120333,10.0,58199,62134,Silabus Fio,https://img2.finalfantasyxiv.com/f/e3ed7d9cab7cbaea09a616d462dabbea_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1644866547
7,878995,58,16,8,113416,8.0,62894,50522,Kli Lyn,https://img2.finalfantasyxiv.com/f/8882146de16f3eae856a3294288ab778_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645039279
8,19198518,58,16,9,105407,7.0,64830,40577,Sochi Mochi,https://img2.finalfantasyxiv.com/f/3fedfcfd04b2e28b194dd847b2359a02_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645131952
9,33539842,58,16,10,103661,24.0,39811,63850,Ice Dumbface,https://img2.finalfantasyxiv.com/f/34f211ab54078637b74edce5d6791bd2_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1644670601
10,16821433,58,16,11,97742,15.0,50033,47709,Hurugu Dent,https://img2.finalfantasyxiv.com/f/344e9c19e0f9d4cacc05b01f2682f5eb_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645118808
11,29609298,58,16,12,85297,58.0,22239,63058,Aun Makie,https://img2.finalfantasyxiv.com/f/31feb7fe521d7af01dbc55964e7d5cae_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645165681
12,31576403,58,16,13,83098,20.0,45443,37655,Kryphya Ambroxia,https://img2.finalfantasyxiv.com/f/b1965fa60baff9ab8b9fa71e196f5e05_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645122134
13,31323555,58,16,14,79847,33.0,30532,49315,Uni Tabetai,https://img2.finalfantasyxiv.com/f/083de83cbd391d81bac465b17806a7eb_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1644799248
14,23774892,58,16,15,78542,12.0,57181,21361,Nia Hershel,https://img2.finalfantasyxiv.com/f/d25d42deff44f8b5b67fe63c0e80ef18_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645035368
15,26923165,58,16,16,73872,21.0,44985,28887,Toriri Tori,https://img2.finalfantasyxiv.com/f/0819fe55f16b6d110f0af7110fa5e9d9_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645195581
16,29414022,58,16,17,73004,18.0,46303,26701,Mitora Leblanc,https://img2.finalfantasyxiv.com/f/01a60e2ff94be215cff59594f224dd25_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645006859
17,2140000,58,16,18,72338,32.0,31911,40427,Asuka Akusa,https://img2.finalfantasyxiv.com/f/302eb92f0fc7e869159c610fc0d8a3d2_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1644956754
18,11649896,58,16,19,70253,9.0,61125,9128,Haris Bireleys,https://img2.finalfantasyxiv.com/f/80c5ce56e3fa01a44b05c700a965c1ae_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1644803845
19,18219357,58,16,20,66668,14.0,50643,16025,Batbadam Gargal,https://img2.finalfantasyxiv.com/f/16dddfbd838112397801aa312a4fe6bc_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645080272
20,9054140,58,16,21,66113,16.0,48771,17342,Seraph Valentine,https://img2.finalfantasyxiv.com/f/37df124bbff30aa9eeb66158d52c1c79_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645103308
21,22669878,58,16,22,65522,11.0,57855,7667,Mana Rhotano,https://img2.finalfantasyxiv.com/f/aef321b32b8d37e6b0afe2d4b5eef99e_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1644970260
