,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,8721403,37,10,1,191309,1.0,106045,85264,Emet-selch Hades,https://img2.finalfantasyxiv.com/f/027df20a52aac29f75850d8ffcd9f2f6_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645157468
1,4827576,37,10,2,151440,2.0,85888,65552,Alucius Blackstone,https://img2.finalfantasyxiv.com/f/042e1431a818655ce6c5abdbab2019b8_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645083329
2,21337569,37,10,3,128608,4.0,72344,56264,Isabel Ashworth,https://img2.finalfantasyxiv.com/f/c4691a12fbd764e4c4c4369e5fd0bb05_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1644682548
3,18595158,37,10,4,80718,3.0,80718,0,Castle Stoneforge,https://img2.finalfantasyxiv.com/f/acb4f7cbf9f1fdc80ddbc958bb115a4f_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645076184
4,27815816,37,10,5,76279,5.0,52319,23960,Enqora Bayaqud,https://img2.finalfantasyxiv.com/f/4009670afd2cedd14147c6d5c9076958_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1644993070
5,10488650,37,10,6,43024,6.0,43024,0,Cecily Reeve,https://img2.finalfantasyxiv.com/f/5773258de0c728059d12ad99379307d7_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645110570
6,6452120,37,10,7,23670,7.0,17128,6542,Carmilla Torgud,https://img2.finalfantasyxiv.com/f/d5b444dee32cffc3545dc4fb8e63c4fd_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645059007
7,31234881,37,10,8,18698,8.0,9258,9440,I'varah Meron,https://img2.finalfantasyxiv.com/f/977eb9b21253b11bce47b8117dae3b0f_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1644909958
8,21516042,37,10,9,16357,9.0,8790,7567,Djawa Portesca,https://img2.finalfantasyxiv.com/f/5193d139972479ff91632705bd945abe_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645007624
9,30095582,37,10,10,9911,26.0,3967,5944,Bad Romance,https://img2.finalfantasyxiv.com/f/b49725488c543de70eef381673c6533a_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1644706420
10,18067790,37,10,11,9469,12.0,7009,2460,Kiratai Kyouki,https://img2.finalfantasyxiv.com/f/362edf741493ae6194e93e14e83061ab_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645146717
11,2963937,37,10,12,9164,16.0,5958,3206,Nystwyda Mynawyn,https://img2.finalfantasyxiv.com/f/31ae0b64bcbb014a0d4e37a752c40ee2_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1644954323
12,19863145,37,10,13,8966,11.0,7947,1019,Soliam Murr,https://img2.finalfantasyxiv.com/f/2d9732a4c427e928d5b4c47b861523d9_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1644801058
13,6065211,37,10,14,8775,10.0,8775,0,Hilja Lund,https://img2.finalfantasyxiv.com/f/bf80427094ed038f76650d7f2a5ac759_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645087377
14,22842795,37,10,15,8535,13.0,7008,1527,Izack Anzu'kha,https://img2.finalfantasyxiv.com/f/b944e20e6fe2f1d3305d30d1ffcc5fff_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645035669
15,17774039,37,10,16,8309,19.0,5609,2700,Kyra Courcillon,https://img2.finalfantasyxiv.com/f/b19a448d5bf4a68e51fb3aaab9a2b42b_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645025759
16,13686251,37,10,17,7760,28.0,3882,3878,Anzethal Amariah,https://img2.finalfantasyxiv.com/f/dc70476b3b8c2cd32e7a6515c40fb419_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645175225
17,29165497,37,10,18,6947,43.0,2345,4602,Celestryx Solis,https://img2.finalfantasyxiv.com/f/ce1310bbebb2324d842ac5f8a6208fd2_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1644968818
18,12453868,37,10,19,6852,18.0,5656,1196,Vex'li Hatasashi,https://img2.finalfantasyxiv.com/f/0e8a1a5cad1e5dfc48d44053ef285cad_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645020380
19,26967249,37,10,20,6575,20.0,5241,1334,Miradelle Morning,https://img2.finalfantasyxiv.com/f/8267716ecdf525f0c68a548307ed181f_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645126945
20,25937941,37,10,21,6240,14.0,6240,0,Lo'kha Sehnlla,https://img2.finalfantasyxiv.com/f/e69754299f6423356742c5c1f8b20aca_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645097600
21,10180677,37,10,22,6210,23.0,4350,1860,Noillurie Chere,https://img2.finalfantasyxiv.com/f/efb3ebf8ef845a04a5c978f6a39bfed0_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645164701
22,26096220,37,10,23,6150,15.0,6150,0,V'nahw Vestholdt,https://img2.finalfantasyxiv.com/f/12a068b1f8707f82ec2a350d63c678d4_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645039150
23,27384591,37,10,24,6122,22.0,4832,1290,Suretei Hoffnung,https://img2.finalfantasyxiv.com/f/948db5b10d1f024b9961ee2915306030_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645050465
