,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,25713492,72,16,1,220901,6.0,105859,115042,Majin Buu,https://img2.finalfantasyxiv.com/f/4ac1a1fd6b1c04c39f489191692cb8d2_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1644877857
1,30666709,72,16,2,215562,1.0,143572,71990,Bubbru Pudining,https://img2.finalfantasyxiv.com/f/bd96b072874f2aaba9069486adb2414d_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1644825754
2,27155543,72,16,3,186077,4.0,110730,75347,Sephira Amariyo,https://img2.finalfantasyxiv.com/f/1e29873ff160186c41113624e687e1c1_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645075712
3,19203374,72,16,4,183026,7.0,105746,77280,Itou Kashitarou,https://img2.finalfantasyxiv.com/f/613be1ac79c8739f34247b03955d0fa0_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645193239
4,28046763,72,16,5,174802,2.0,113200,61602,Reivana Quartz,https://img2.finalfantasyxiv.com/f/708914ac5e493bcec79f7eb72843659d_2f53b2675d3eea360f0b48d74d30af15fc0_96x96.jpg?1645028534
5,31631467,72,16,6,172752,3.0,110784,61968,Severanth Windblade,https://img2.finalfantasyxiv.com/f/d0649534a4c390b68501562a5cefb33f_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1644655278
6,18092324,72,16,7,171211,9.0,81834,89377,Ruve Hatoria,https://img2.finalfantasyxiv.com/f/78faa9867d3ab4a90ef2870affbf3e84_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1644756112
7,29465025,72,16,8,162343,5.0,105900,56443,Quaid Sylvan,https://img2.finalfantasyxiv.com/f/8ff60ecd1fafe49159560582310074e3_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1644847675
8,18008499,72,16,9,148014,8.0,86514,61500,Remidre Mikrokosmos,https://img2.finalfantasyxiv.com/f/652917c37c71037e8f93acb404dd0029_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1644985962
9,28343848,72,16,10,139898,11.0,77035,62863,Azwraith Stygian,https://img2.finalfantasyxiv.com/f/04176563d94edf13a7349237c001a380_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1644683476
