,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,32194176,32,12,1,129799,1.0,106665,23134,Lilyla Deedlich,https://img2.finalfantasyxiv.com/f/0ce461d8d62174de99ba6b0c80c50322_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645122090
1,22468205,32,12,2,93554,2.0,70218,23336,Yakumo Shirogane,https://img2.finalfantasyxiv.com/f/6190209b4ef0c2d7cb516cc3f784e571_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645093248
2,12966725,32,12,3,88614,4.0,50828,37786,Asagi Sobayano,https://img2.finalfantasyxiv.com/f/de5989babaa637d5e65885634faf0b66_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645196597
3,23860919,32,12,4,82737,5.0,34371,48366,Tsumi Mur,https://img2.finalfantasyxiv.com/f/cf3e3a8c179212da450ce6e4c4729632_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644998948
4,21431526,32,12,5,76671,6.0,23974,52697,Lenno Aroma,https://img2.finalfantasyxiv.com/f/dedf134e135a7213b31bf84cc0ddd422_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645051320
5,18484236,32,12,6,62289,3.0,55067,7222,Hyuuga Hiiragi,https://img2.finalfantasyxiv.com/f/da68be90d231e0741e9d8ab56d91818b_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645025525
6,18186145,32,12,7,26124,18.0,5968,20156,Sleep Sheep,https://img2.finalfantasyxiv.com/f/e8f82eef2a863e53eca8ac0e16a65933_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644814658
7,27278536,32,12,8,20304,9.0,12136,8168,Jir Longman,https://img2.finalfantasyxiv.com/f/760b01e375d047036b19b52e55632e44_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644824581
8,6450425,32,12,9,18330,11.0,9125,9205,Roh Sonic,https://img2.finalfantasyxiv.com/f/9ade8e6194b0be2099b5cf948a89a28a_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645077188
9,29354207,32,12,10,17169,13.0,7450,9719,Haine Estelle,https://img2.finalfantasyxiv.com/f/da9f9c098376a0f0ebadae85d16d56d4_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644767037
