,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,10886243,91,14,1,473678,2.0,332724,140954,Sormy Kerfuffle,https://img2.finalfantasyxiv.com/f/38ca4862ba550785872076d56e3adb53_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645008154
1,727409,91,14,2,414736,1.0,353237,61499,Wind Oni,https://img2.finalfantasyxiv.com/f/62a6778b9e51ce301241459860c0a6b3_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644886336
2,24104344,91,14,3,365927,3.0,248411,117516,Sasiah Sasa,https://img2.finalfantasyxiv.com/f/97ad6fddb4f5e2b19fae8e0567e389e0_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645098683
3,7295773,91,14,4,224200,4.0,184735,39465,Ouka Ootori,https://img2.finalfantasyxiv.com/f/75a66f271a20a6d5306dd8532e7c1f5b_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645129224
4,10948938,91,14,5,193410,6.0,139918,53492,Elandra Kinnem,https://img2.finalfantasyxiv.com/f/7fca72dfc259a39c83943f75104b4152_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645171974
5,26386739,91,14,6,186083,5.0,140856,45227,Shahin Pelerin,https://img2.finalfantasyxiv.com/f/3713a6e100b0957aa6d88cc68e17de79_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645122978
6,22253950,91,14,7,140278,8.0,115645,24633,Una'to Gamduhla,https://img2.finalfantasyxiv.com/f/30b4cf6c349edf7eae8d6f6aa37b5514_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1644909769
7,200865,91,14,8,135824,7.0,117694,18130,Alice Eizenheim,https://img2.finalfantasyxiv.com/f/c516b686ff8301c758ac08daef5e4ff8_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645075787
8,12544799,91,14,9,127853,9.0,110731,17122,Vyncent Solaris,https://img2.finalfantasyxiv.com/f/b0480ece7dc6758c3e2401b754084d30_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645020208
9,1060409,91,14,10,108750,11.0,88208,20542,Wuwuwolu Susuwolu,https://img2.finalfantasyxiv.com/f/ad04ac5df302d3e00a3e3c3bc0067784_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644914462
10,16764155,91,14,11,106264,10.0,95347,10917,Chiyome Mumeko,https://img2.finalfantasyxiv.com/f/ccd99b67cd075d0d99f95c5672ec4cfc_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645185909
11,11346053,91,14,12,80554,14.0,39439,41115,Ree'no Ra,https://img2.finalfantasyxiv.com/f/468ca2b633b02b6baa7bc16c87ec758f_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645048498
12,7945757,91,14,13,73063,13.0,54244,18819,Klair Stjarna,https://img2.finalfantasyxiv.com/f/14147f689cc06ed1e333fea0e768bc31_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644966245
13,6692891,91,14,14,62650,12.0,61119,1531,Frog Star,https://img2.finalfantasyxiv.com/f/6f95498b81c181506d3301320762b1e9_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645197432
14,30152444,91,14,15,50584,15.0,33664,16920,Kaneki Kazuto,https://img2.finalfantasyxiv.com/f/99748c8cb71f59997aa9447b3530ce58_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645079792
15,21074898,91,14,16,30495,20.0,15487,15008,Iris Ryder,https://img2.finalfantasyxiv.com/f/151b2dddea6d24ab78607311239d1bba_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644836394
16,3922960,91,14,17,27787,16.0,27360,427,Travisdy Valdae,https://img2.finalfantasyxiv.com/f/0fd33790536000a7af021cb31fda7041_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645077010
17,1550344,91,14,18,23712,17.0,18312,5400,Pascaleret Greenwood,https://img2.finalfantasyxiv.com/f/d76865f16a5fec69cefe9a702df83bee_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645193814
18,10636464,91,14,19,22692,24.0,10798,11894,Miyuri Kiyonami,https://img2.finalfantasyxiv.com/f/a94dbf2fad25cf3c4f90d505340a6002_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644859022
19,15408562,91,14,20,17352,18.0,17352,0,Ihko Arulaq,https://img2.finalfantasyxiv.com/f/54c29bdcfb0adbe6d0bdd1f3031fa951_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645069064
20,2820881,91,14,21,16670,19.0,15738,932,Aiaime Aime,https://img2.finalfantasyxiv.com/f/a89693af098b0f9a990cc80dfdd7bf73_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645036832
21,25325467,91,14,22,14881,21.0,14881,0,Mona Chan,https://img2.finalfantasyxiv.com/f/4bb6e5cb841a04180f929eaa679f0253_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645008263
22,22267473,91,14,23,14872,26.0,10384,4488,Deimos Angelis,https://img2.finalfantasyxiv.com/f/1eb9dad45fbd7f35bc4e4dc77dc69d09_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1645169971
23,8906645,91,14,24,11090,22.0,11090,0,Yoyonoya Susunoya,https://img2.finalfantasyxiv.com/f/9a0e5e58e78b0028c270b050b5fc4c24_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645104561
24,142620,91,14,25,10886,23.0,10886,0,Lorhl Norika,https://img2.finalfantasyxiv.com/f/7a4c9a0a9f73abca5e85d8cb06b39365_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645093166
25,15458492,91,14,26,10530,25.0,10530,0,Rob Chidori,https://img2.finalfantasyxiv.com/f/d12fdec51b15217f77cce9e3d0fbd0f4_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645096771
26,11993206,91,14,27,10482,28.0,8650,1832,Millotii Dei-ijla,https://img2.finalfantasyxiv.com/f/8ff568269a2cd09a9a77c8ae43350f6c_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645105160
27,1162397,91,14,28,9543,38.0,6336,3207,Ashera Landale,https://img2.finalfantasyxiv.com/f/c0da9196e4642533c80a2a72111a4bbe_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645174304
28,7822727,91,14,29,8984,27.0,8984,0,Giorno Giovanna,https://img2.finalfantasyxiv.com/f/65aae79c9cb4bb050807aad5566e4a1d_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645194558
29,169607,91,14,30,8692,30.0,8092,600,Nicodemus Nimh,https://img2.finalfantasyxiv.com/f/aa15bb0195d064fe1b04926239fd9f43_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644969749
30,5827848,91,14,31,8225,29.0,8225,0,Theja Fyth,https://img2.finalfantasyxiv.com/f/87518af070dc6c7f52713f5f6eb31cda_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645144473
31,28239152,91,14,32,8180,36.0,6505,1675,Allfeafea Allfea,https://img2.finalfantasyxiv.com/f/0eeba84dfed4dc2da98a949e2e57eeeb_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644793512
32,29795063,91,14,33,8127,58.0,4012,4115,Aki Freesia,https://img2.finalfantasyxiv.com/f/e930b3f90a420cb26175ae6286028408_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645019965
33,27400898,91,14,34,8044,31.0,8044,0,Kazuha Rhua,https://img2.finalfantasyxiv.com/f/c1916b18ac16ca100e622f90dc12848b_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1644791788
