,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,31642834,79,18,1,420420,1.0,300444,119976,Bean Dip,https://img2.finalfantasyxiv.com/f/b2bdcb60f53adc985a1ea16c32cc9e4a_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1645086617
1,5524041,79,18,2,411138,3.0,273063,138075,Toast Dayo,https://img2.finalfantasyxiv.com/f/2283c393a5d0dd25fb77620befa38fbe_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1645143590
2,12794118,79,18,3,400069,2.0,300069,100000,Robin Vogel,https://img2.finalfantasyxiv.com/f/af0f1c1bb69a393b174e280b4677a0ac_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1645058074
3,23657998,79,18,4,315516,4.0,209726,105790,Oksana Nikolayevna,https://img2.finalfantasyxiv.com/f/67be20bf20cb70cf82c690c5d0211699_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1645193709
4,8294647,79,18,5,291504,5.0,203733,87771,Player- One,https://img2.finalfantasyxiv.com/f/7b7b99c09a862a4e4214c1748e484566_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1645182668
5,21910113,79,18,6,273592,14.0,114105,159487,Travi Arashi,https://img2.finalfantasyxiv.com/f/71396b33f0840649defdc420512faf15_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1644637561
6,8241339,79,18,7,255707,6.0,172645,83062,Alexandra Udinov,https://img2.finalfantasyxiv.com/f/c225d6103c80b374ddbafe5bd7e0ea1c_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1645128668
7,9477053,79,18,8,249227,7.0,164832,84395,Spinner Bentbranch,https://img2.finalfantasyxiv.com/f/7c28382e77e32d7acd92310fbd46e978_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1644929212
8,1342875,79,18,9,246294,8.0,159712,86582,Kyoji Ishida,https://img2.finalfantasyxiv.com/f/fdc37b45b0dc3001a685f8cd07ea490c_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1645167188
9,146543,79,18,10,241483,10.0,131174,110309,Rjain Midnight,https://img2.finalfantasyxiv.com/f/79d1d987bd737c1f2012d10781f8b35d_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1645164564
10,2261502,79,18,11,227920,11.0,129421,98499,Donit'ar Garlarond,https://img2.finalfantasyxiv.com/f/24729ae600a865235c67cf52cc2fa674_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644910685
11,1555351,79,18,12,211256,13.0,121273,89983,Fidget Fumblefingers,https://img2.finalfantasyxiv.com/f/43f8c11633b55866059442d4affdf516_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1645132211
12,7169905,79,18,13,210581,9.0,143158,67423,Tyras Blight,https://img2.finalfantasyxiv.com/f/2d48279b07bcbc5be1981d84f1fa355e_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1645199520
