,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,18286380,47,14,1,641253,1.0,436201,205052,Wade Ravim-elzoval,https://img2.finalfantasyxiv.com/f/6679874965e191d5e82215b13565a24d_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645014970
1,22921116,47,14,2,414387,2.0,300488,113899,Maria Belmondo,https://img2.finalfantasyxiv.com/f/1a4c2d3bc02a4b00811d1a10af710346_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644719055
2,22389498,47,14,3,152367,6.0,42838,109529,Veek Mudai,https://img2.finalfantasyxiv.com/f/6b421019aa4ec5a729907b782d80e5a7_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645187028
3,3228165,47,14,4,122104,3.0,107276,14828,Shope Trickster,https://img2.finalfantasyxiv.com/f/863a1ba61d8fe475b5c53e261d5bcf5f_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645141123
4,28973961,47,14,5,115369,4.0,61691,53678,Mira Mid,https://img2.finalfantasyxiv.com/f/c667be8da277265f229f9f4ee65e30f1_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644983334
5,22807187,47,14,6,101991,5.0,57959,44032,Noe' Fahrenheit,https://img2.finalfantasyxiv.com/f/7c1131c876d98ae24ff99f26ea7a5f51_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644857766
6,24034972,47,14,7,69385,10.0,34932,34453,Halu Grecola,https://img2.finalfantasyxiv.com/f/8560857597f8e59ad452789d0e346a94_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644960304
7,23981012,47,14,8,62791,7.0,41026,21765,Kaju Kageyama,https://img2.finalfantasyxiv.com/f/6bc46fd8b90ad8e8e642765f2cd40a6f_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645138604
8,23539163,47,14,9,50679,8.0,40025,10654,Ramu Orion,https://img2.finalfantasyxiv.com/f/126e251dc71ed0d1216bc6eea72105a6_36f0570990ac5402b2ef514d36b0435cfc0_96x96.jpg?1644840343
9,3204412,47,14,10,47502,32.0,7348,40154,Alumi Kinos,https://img2.finalfantasyxiv.com/f/e62dcc82e6430aa65b0aef7d8f755a13_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645128821
10,14142439,47,14,11,44805,9.0,37592,7213,Win Neu,https://img2.finalfantasyxiv.com/f/bc7352b8074b7739dbbb10c85ab32d58_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645016146
11,25366556,47,14,12,41179,16.0,19968,21211,Desaru Water,https://img2.finalfantasyxiv.com/f/f10287eff50c47f170931e5db4b42ccd_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644838928
12,17756582,47,14,13,38735,18.0,19617,19118,Smap Smaper,https://img2.finalfantasyxiv.com/f/059d63497fd4f7f2644b2eee0f9c521d_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644994812
13,13690,47,14,14,34364,19.0,17317,17047,Rin Zwei,https://img2.finalfantasyxiv.com/f/cf17f253a8a863f78d1acdf5025abb39_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645056157
14,25042275,47,14,15,33690,14.0,22110,11580,Toro Ikuradon,https://img2.finalfantasyxiv.com/f/50e1690549babb02584a57fb63c258e7_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644640981
15,24758294,47,14,16,32260,13.0,26759,5501,Sizuo Nosi,https://img2.finalfantasyxiv.com/f/f3e4a2806d8ab9d21d294481b10b4554_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645146436
16,15282044,47,14,17,30894,24.0,12899,17995,Raven Bear,https://img2.finalfantasyxiv.com/f/4603071b22f3cd49c427eeed78d17afe_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645038158
17,30866356,47,14,18,30296,17.0,19826,10470,Stella Rosa,https://img2.finalfantasyxiv.com/f/24e2648be9f90fc4efda77898b1fb5f9_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645132659
18,20078983,47,14,19,29416,11.0,29416,0,Ghost Pumpkin,https://img2.finalfantasyxiv.com/f/e3c30d085ea76e52bf1515a276c0ca79_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644639470
19,22634418,47,14,20,29255,22.0,16436,12819,Rithia Cielo,https://img2.finalfantasyxiv.com/f/552248045de3a21540cf961a43f8f7f3_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645069450
20,2882025,47,14,21,28562,12.0,28562,0,Rin Gurabar,https://img2.finalfantasyxiv.com/f/ee49ff89f1f2aaecd9b0ee8808012559_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645086596
21,30551428,47,14,22,26305,20.0,17181,9124,Aluc Ard,https://img2.finalfantasyxiv.com/f/b2cf755f38298a4d566e7bc027f6f77d_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644996294
22,21064367,47,14,23,26021,21.0,16880,9141,Ai Rin,https://img2.finalfantasyxiv.com/f/4f858aa4ec8a5e0a8bf4f827bdd4bccb_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645029363
23,19988418,47,14,24,25068,15.0,20869,4199,Oruha Alabaster,https://img2.finalfantasyxiv.com/f/88cd7702e559a8258968db8a328fab2e_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644954354
24,29935524,47,14,25,23455,25.0,12215,11240,Kayu Umako,https://img2.finalfantasyxiv.com/f/2c0db4095b504991cdde40b4145c297f_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644859966
25,27395459,47,14,26,14648,23.0,14648,0,Roa Stella,https://img2.finalfantasyxiv.com/f/ffb4d51ea9196b4d88716e26a7009da4_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644999904
26,22803176,47,14,27,14164,27.0,9184,4980,Alycia Shiza,https://img2.finalfantasyxiv.com/f/f74a2a4c6a6b0034cc1c27d257a7e6e7_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645177097
27,25020694,47,14,28,12997,28.0,8860,4137,Luna Cielo,https://img2.finalfantasyxiv.com/f/b090c66d5b150aa476d381b22b6bfbf2_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645057940
28,18960207,47,14,29,12423,29.0,8460,3963,Shirayuri Uno,https://img2.finalfantasyxiv.com/f/c8993690b6e1c2d447b96baec6cf5260_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645089378
29,11345349,47,14,30,12049,38.0,5935,6114,Yukke Ontama,https://img2.finalfantasyxiv.com/f/fee993edd9598203c1cdbd0d2899d5a0_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645137528
30,19183082,47,14,31,11344,77.0,3049,8295,Rei Sngk,https://img2.finalfantasyxiv.com/f/06618e465e087fd7734fde0fa9aa2676_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645027949
31,25515591,47,14,32,11100,26.0,11100,0,Iris Siberian,https://img2.finalfantasyxiv.com/f/1873306574b4512dceaaf7b228549675_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645041449
32,24316807,47,14,33,10046,41.0,5846,4200,Layla Snowsky,https://img2.finalfantasyxiv.com/f/d3cd75f423e8786f28bbd2dedeb936d0_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1627914251
33,24032748,47,14,34,9984,,0,9984,Sin'to Hiraok,https://img2.finalfantasyxiv.com/f/cb05be96d3fe42b384942bc2aad22e4f_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644980286
34,4826346,47,14,35,9947,33.0,7034,2913,Kanon Bright,https://img2.finalfantasyxiv.com/f/d67d7f54f27e494ffd063ae23261ffd2_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645042105
35,27337992,47,14,36,9480,64.0,4020,5460,Aoi Zizi,https://img2.finalfantasyxiv.com/f/d2e22fec5d8b25539046bdd696ed14bc_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645044187
36,15228449,47,14,37,9004,,0,9004,Kay Flibbertigibbet,https://img2.finalfantasyxiv.com/f/2a6e2395294f5c7da1f16f9cdb597172_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645053900
37,23872069,47,14,38,8296,,0,8296,Blackcat Kuro,https://img2.finalfantasyxiv.com/f/627c18c14bfb6dce4f801b0c1b6b555a_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644952268
38,2186213,47,14,39,8235,31.0,7640,595,Elehayym Vanhouten,https://img2.finalfantasyxiv.com/f/a141bc4fb0c63400de3a8fdc0394f846_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645003858
39,17125511,47,14,40,8151,30.0,8151,0,Pi' Pi',https://img2.finalfantasyxiv.com/f/3309479408df9a7243a7580f742bd1be_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644830786
40,14361780,47,14,41,7998,,0,7998,Ramu Iroha,https://img2.finalfantasyxiv.com/f/a91c0ace50af65df9797ab0aafd5332e_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645077670
41,25042156,47,14,42,7120,51.0,5059,2061,Niiya Ma,https://img2.finalfantasyxiv.com/f/ca07f82795b8236e37ed0a42737f8e25_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644929167
42,3254592,47,14,43,6990,62.0,4110,2880,Fere Fare,https://img2.finalfantasyxiv.com/f/af104d84dd17fc6fe1337616c5904a4c_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644993725
43,26365442,47,14,44,6870,34.0,6870,0,Yuon Maunier,https://img2.finalfantasyxiv.com/f/24f44817ddb97280b76f4de3a6da456a_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645073690
44,29921642,47,14,45,6867,,0,6867,Noir Petit,https://img2.finalfantasyxiv.com/f/0c27bceeaa09be0ec368b4a759935d9d_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645137826
45,19600419,47,14,46,6845,68.0,3868,2977,Kasumi Kiri,https://img2.finalfantasyxiv.com/f/26fda7317938c42250f869d97013a6c5_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645067038
46,25848719,47,14,47,6836,88.0,2775,4061,Yuragu Nenuphar,https://img2.finalfantasyxiv.com/f/5dfdf5180df5e6a26aa7f0e275c31421_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645019954
47,28615447,47,14,48,6744,48.0,5244,1500,Jason Todd,https://img2.finalfantasyxiv.com/f/a6aae79712a3e47a7e12c1045b0364bf_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644970024
48,2301148,47,14,49,6740,66.0,3985,2755,Suzume Konoha,https://img2.finalfantasyxiv.com/f/638e5ce0b198c00347f9fb6b8ffa9132_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645191161
