,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,16424143,95,15,1,270073,1.0,209766,60307,Lyss Owo,https://img2.finalfantasyxiv.com/f/8cae96a44049ad6ad0c883be8ee5a8d0_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645076101
1,24105256,95,15,2,241076,2.0,158521,82555,Kali Rowenkath,https://img2.finalfantasyxiv.com/f/df23cf2fe823a437280678d38210634c_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645133418
2,31626672,95,15,3,189535,3.0,140541,48994,Jeanne Lothaire,https://img2.finalfantasyxiv.com/f/edd3b2e16042d5800daa6bd6c90d2760_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645120741
3,19612558,95,15,4,137303,4.0,102310,34993,Abig Blackhawk,https://img2.finalfantasyxiv.com/f/58c92600b3c53e1a8fa3d3b9bd91a982_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1644988185
4,30926353,95,15,5,103938,6.0,67194,36744,Akiko Yosano,https://img2.finalfantasyxiv.com/f/c59fcd71c77275f5a8fdd30d6288f90a_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645140184
5,30092463,95,15,6,78768,8.0,49245,29523,Mizuki Mourningblade,https://img2.finalfantasyxiv.com/f/97f1a0d512b338e1c4df4221ec239ff9_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644989930
6,2961942,95,15,7,77539,5.0,70365,7174,Priscilla Dawn,https://img2.finalfantasyxiv.com/f/e0c4391823f5297fba0d3f7a1431aeb3_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645158015
7,20058388,95,15,8,72019,7.0,56582,15437,Geldin Sirio,https://img2.finalfantasyxiv.com/f/9ceae1a62261d56246d65693a498270b_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645015211
8,16714688,95,15,9,67904,9.0,38491,29413,Hero Shadeseer,https://img2.finalfantasyxiv.com/f/e90e44d91a752a02dd3e2856dd1bd914_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645077540
9,1008410,95,15,10,62333,10.0,36497,25836,King Canadane,https://img2.finalfantasyxiv.com/f/82ecc14daa0f2a3fb105b4fa24739116_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645136743
10,28220168,95,15,11,41974,14.0,17865,24109,Clifford Tibbits,https://img2.finalfantasyxiv.com/f/5c21621e3284245f44f939b2d3f44df7_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644913165
11,25894764,95,15,12,29739,12.0,26674,3065,Kithri Battlebringer,https://img2.finalfantasyxiv.com/f/f56934d552a204a741389cf84b0e9d64_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644945760
12,4516215,95,15,13,28727,11.0,28727,0,Lami Ra'ahsgul,https://img2.finalfantasyxiv.com/f/3854f6a433c0e2e1eab60406a900dbad_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645161077
