,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,30665634,55,10,1,232575,1.0,116792,115783,Ironangel Husbando,https://img2.finalfantasyxiv.com/f/cb3a8167773460b4c32be87aa5d60661_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645025237
1,17764422,55,10,2,86472,2.0,72364,14108,S'kalkaya Alkaid,https://img2.finalfantasyxiv.com/f/f02feeb8067fddfad91b2b8197ff2467_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645015280
2,12311531,55,10,3,76060,3.0,52559,23501,Sweet Liqueur,https://img2.finalfantasyxiv.com/f/866389e6d3e6bfa10e3bb36b16922cf2_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645121445
3,11323257,55,10,4,54302,4.0,48648,5654,Castiel Light,https://img2.finalfantasyxiv.com/f/88a211c0a3196495e3a7a128249932de_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645106442
4,28611792,55,10,5,46091,6.0,21063,25028,Masked Joker,https://img2.finalfantasyxiv.com/f/5e38a5f4958b5ef7cccf864a59242d72_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645018072
5,8571954,55,10,6,45244,5.0,33756,11488,Rayne Industries,https://img2.finalfantasyxiv.com/f/f5e289cdc761cbd18cd99849a778adee_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645157423
6,29937308,55,10,7,44442,10.0,14451,29991,Merrow Go,https://img2.finalfantasyxiv.com/f/1be9b8f4f2a14704241f0491b2e0174e_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645097889
7,27639225,55,10,8,32316,23.0,6966,25350,Jimtime Leonhardt,https://img2.finalfantasyxiv.com/f/a2830e30f97c212e58714b3bf5731aab_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645198862
8,22706624,55,10,9,24457,14.0,10826,13631,Thaniel Grivois,https://img2.finalfantasyxiv.com/f/4c153bb3f2ed9645ff636d8463887515_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645143439
9,25248561,55,10,10,20931,8.0,17232,3699,Jojo Bear,https://img2.finalfantasyxiv.com/f/4a5cde627701d9db807a29339c202d3c_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645172934
10,5432313,55,10,11,20119,9.0,15450,4669,Mayu Sakuma,https://img2.finalfantasyxiv.com/f/6145dfc786af7778c4209dddf9cd7ef7_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644783567
11,12914604,55,10,12,18210,7.0,18210,0,Lakotor Helix,https://img2.finalfantasyxiv.com/f/10fa26749414c2f6b6ff61fd34422576_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645032180
12,21550627,55,10,13,17100,11.0,13050,4050,Timius Aranea,https://img2.finalfantasyxiv.com/f/48cf20d628d3f8190b32094a68a3fbc6_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645173236
13,10256340,55,10,14,16191,38.0,4658,11533,Asuka Hikaru,https://img2.finalfantasyxiv.com/f/3f0bb7dda855cc517bc7985ca5bbfe42_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645131220
14,5294921,55,10,15,15236,26.0,6000,9236,Cassandra Evermore,https://img2.finalfantasyxiv.com/f/93496cb54c935b5244a646116cf0114e_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644995458
15,31517410,55,10,16,13925,24.0,6448,7477,Yona Hanjooni,https://img2.finalfantasyxiv.com/f/aee8e3b5ca1968d4793c69cea73dd74e_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645042864
16,17315993,55,10,17,13090,15.0,10806,2284,Blanca Bleu,https://img2.finalfantasyxiv.com/f/cc7c505d665bca7c6fb75e21b2edef29_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644866981
17,10166584,55,10,18,12299,35.0,4993,7306,Ysolde Duskwalker,https://img2.finalfantasyxiv.com/f/e8232412c2e992aa1666bf354c5f2394_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645063331
18,21784375,55,10,19,12277,12.0,12277,0,Yukino Yoshizawa,https://img2.finalfantasyxiv.com/f/8e7440971d680cc2512360cc4e430684_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1644942385
19,15810210,55,10,20,12089,16.0,10199,1890,Rias Gremoryy,https://img2.finalfantasyxiv.com/f/09c4325803c56159b287d27d11a13793_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645184713
20,28801956,55,10,21,11739,13.0,11739,0,Senaka Meowl,https://img2.finalfantasyxiv.com/f/011b20549b1873900bc18e0751940859_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644813767
21,13274055,55,10,22,10812,33.0,5309,5503,Nopiddy Moneybags,https://img2.finalfantasyxiv.com/f/83f20e25ec06b0b369231ed14e370c77_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645103402
22,30973716,55,10,23,9684,21.0,7368,2316,Avis Curtois,https://img2.finalfantasyxiv.com/f/a6c600a1022ff1a38d374317fd1f044e_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645095422
23,8122570,55,10,24,9490,17.0,9490,0,Camellia Tea,https://img2.finalfantasyxiv.com/f/e6d69890fbd4a541e274fe86460aa72c_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645118539
24,17087927,55,10,25,9206,22.0,6986,2220,Khatori Shiramun,https://img2.finalfantasyxiv.com/f/266aeb80e8bb8eda43adf5474406d789_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645047206
25,22220888,55,10,26,9030,18.0,8430,600,Wih Jakkya,https://img2.finalfantasyxiv.com/f/e002e2a096a91fb919d2ec6238a64def_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644958904
26,14579366,55,10,27,8670,28.0,5880,2790,Kupo Kupo,https://img2.finalfantasyxiv.com/f/bf768f656ade9f0a21b25f1808d30473_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645127422
27,10595330,55,10,28,8663,19.0,8333,330,Xephe Kamiki,https://img2.finalfantasyxiv.com/f/679a2b01b43fe6c7a0e07f5fcc302d8f_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645036222
28,20425290,55,10,29,8608,30.0,5556,3052,Savris Amareia,https://img2.finalfantasyxiv.com/f/084ea29d4c5a718e1995e39df463c885_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645083020
29,30303380,55,10,30,8530,29.0,5613,2917,Jaded Logic,https://img2.finalfantasyxiv.com/f/4065cae582522fdf20e193b3f2c41c88_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645125691
30,25988006,55,10,31,7820,20.0,7820,0,Kanna Murasaki,https://img2.finalfantasyxiv.com/f/90a57a88d7a44a36ad478c91d1dfbb8e_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644911606
31,17347187,55,10,32,7500,27.0,6000,1500,Echo Aeneth,https://img2.finalfantasyxiv.com/f/6fa7525abfdd3f4487704875705b7c0b_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645009389
32,22280912,55,10,33,7384,49.0,3042,4342,Aria Darkblade,https://img2.finalfantasyxiv.com/f/b717b060d5f614ca169ab7da2db2e3c7_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644809982
33,6994940,55,10,34,6454,39.0,4594,1860,Daellin Kannose,https://img2.finalfantasyxiv.com/f/96607266315214d4aa0a0013a010a545_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645155029
34,16765728,55,10,35,6442,25.0,6442,0,Vathie Althos,https://img2.finalfantasyxiv.com/f/5e065eac2a01208d0a0a6f6fcdaedd96_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645042586
35,4516741,55,10,36,5697,44.0,4229,1468,Rogue Karas,https://img2.finalfantasyxiv.com/f/37c6f4ebe8c2bbbf21f00db2d566fd72_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645150502
36,20492958,55,10,37,5493,31.0,5493,0,Fresh Mint,https://img2.finalfantasyxiv.com/f/1e7695447b83095996cfb60628612480_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645106174
37,16569020,55,10,38,5333,43.0,4318,1015,Oni Arri,https://img2.finalfantasyxiv.com/f/239261f178d102fca7d835bcd581f27c_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645122333
38,25584339,55,10,39,5310,32.0,5310,0,Zula Nightchild,https://img2.finalfantasyxiv.com/f/770c2c1316cdfb95ac0a987df4c8d8b0_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645092199
39,28936272,55,10,40,5280,34.0,5280,0,Mistress Kiki,https://img2.finalfantasyxiv.com/f/75651b76bc081219574f56514df1dba0_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645085694
40,28023639,55,10,41,4800,36.0,4800,0,Yubo'ra Vigdho,https://img2.finalfantasyxiv.com/f/2e35df327bde9176c902a2be04f079b6_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645167005
41,27486218,55,10,42,4716,,0,4716,Migs Jules,https://img2.finalfantasyxiv.com/f/9ed6724ec41f6d2a602e295bcb2cb4f3_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645104183
42,14894521,55,10,43,4680,37.0,4680,0,Sorcha Griannon,https://img2.finalfantasyxiv.com/f/409f177ea57f0293934d34ea76feaa67_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645053668
43,9512148,55,10,44,4560,40.0,4560,0,Lonan Nashoba,https://img2.finalfantasyxiv.com/f/50d7ed8b15422da211ed0411d8244bfb_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645087239
