,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,20380478,28,15,1,141148,6.0,38661,102487,Yuduki Yuri,https://img2.finalfantasyxiv.com/f/3cd09a754740863a9c431eeaca09d61b_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1645099001
1,11016965,28,15,2,124376,1.0,78977,45399,Hero Kuma,https://img2.finalfantasyxiv.com/f/88f31fd0b702e72216e6b62c4081cdec_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1645127417
2,18175406,28,15,3,103555,2.0,68681,34874,Draco Dracaena,https://img2.finalfantasyxiv.com/f/6de0ffaf8a3603909a3a233c9baa5523_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1644843890
3,28317171,28,15,4,94571,3.0,68001,26570,Fuwall Marshice,https://img2.finalfantasyxiv.com/f/abae01e6e00efe8659239145ef6cf028_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1629735836
4,26663339,28,15,5,78248,7.0,35099,43149,Nano Canola,https://img2.finalfantasyxiv.com/f/2ea9a81b589b17969918ef042d013a08_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1644828255
5,24911028,28,15,6,74102,4.0,53534,20568,Ari Powa,https://img2.finalfantasyxiv.com/f/94524d8d48b2ef9f59b65446ef830fe2_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1645009543
6,21740803,28,15,7,73003,5.0,42564,30439,Ryuka Mayauka,https://img2.finalfantasyxiv.com/f/a0097fd426356d1d565759b68cee56b0_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1644772148
7,28137328,28,15,8,58713,8.0,30123,28590,Rion Spencer,https://img2.finalfantasyxiv.com/f/ac8606c3932270dd1aaa2028681df0e6_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1644956280
8,18975412,28,15,9,22986,18.0,10241,12745,Cucait Sith,https://img2.finalfantasyxiv.com/f/f75e7d71c5455b340b931af8a4a48bdc_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1645092770
9,23477631,28,15,10,20108,9.0,17318,2790,Goromin Goro,https://img2.finalfantasyxiv.com/f/a4be7004ab292bc1d52b4af9bc02a4b7_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1645106927
10,12636511,28,15,11,19770,13.0,12051,7719,Yujie Shen,https://img2.finalfantasyxiv.com/f/43fa438b6c832c6178a79663394edcec_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1645132472
11,1099486,28,15,12,17091,14.0,10615,6476,Rina Across,https://img2.finalfantasyxiv.com/f/919f3536076755dd5a843f560f779a61_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1645138129
12,25136693,28,15,13,17078,16.0,10490,6588,Shisui Fio,https://img2.finalfantasyxiv.com/f/00008b545e997872bf20828b696a9490_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1645170557
13,17581777,28,15,14,17062,15.0,10492,6570,Kikiri Kiri,https://img2.finalfantasyxiv.com/f/90ef472fb27ec5fb05538911275b19d0_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1645030819
14,33388140,28,15,15,16844,10.0,16844,0,Mika Kajou,https://img2.finalfantasyxiv.com/f/54beac449f306e2235b5f4e137699122_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1645038254
15,6924479,28,15,16,16841,17.0,10282,6559,Zorya Utrenyaya,https://img2.finalfantasyxiv.com/f/5c8cc60843a6d9bbdcd074d1f633221e_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1644876257
16,18908983,28,15,17,16445,,0,16445,Shiranui Whitetiger,https://img2.finalfantasyxiv.com/f/75e5991ad8f264985e6ca5bf00c2fce4_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1644873341
17,28885272,28,15,18,16020,11.0,13800,2220,Thistle Wisteria,https://img2.finalfantasyxiv.com/f/a6efc1d71a6fc4c7b7935ff79d1eb044_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1644774617
18,20021800,28,15,19,13373,12.0,13373,0,Chunta Azumaya,https://img2.finalfantasyxiv.com/f/698fd04fd1df6f0c698bd8f3aad34f97_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1645166406
19,28625791,28,15,20,13050,56.0,3570,9480,Morley Offton,https://img2.finalfantasyxiv.com/f/e4e8cda67b1a2014d732d6a27b9f2b10_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1645123113
20,22602156,28,15,21,12946,,0,12946,Yokaichi Hit,https://img2.finalfantasyxiv.com/f/d3374ded7378d76363308b845a769fce_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1645123717
21,32437563,28,15,22,11939,24.0,8459,3480,Miko Ria,https://img2.finalfantasyxiv.com/f/662b980962696c573777e5da019df217_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1644842675
22,32581321,28,15,23,11874,27.0,7741,4133,Tetora Lulu,https://img2.finalfantasyxiv.com/f/70f43182042ceb7373573bcc13b36a12_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1644916223
23,22910109,28,15,24,11313,23.0,8543,2770,Azuha Kuu,https://img2.finalfantasyxiv.com/f/2459f8cb14ff1da2fb28784295f088ba_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1644995321
24,25582470,28,15,25,10461,20.0,9203,1258,Konomink Scottish,https://img2.finalfantasyxiv.com/f/6c636037781997a5ed1a4ab77adaece7_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1644998016
