,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,30916364,43,15,1,300139,1.0,185272,114867,Pino Chama,https://img2.finalfantasyxiv.com/f/c5915ab48a8a3b587a45042e666d5e03_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644902513
1,3256994,43,15,2,218830,2.0,145612,73218,Tefa Laim,https://img2.finalfantasyxiv.com/f/2b2a31138017e0440e72434bbd978029_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644960839
2,17346793,43,15,3,200263,3.0,120474,79789,Elie Rihm,https://img2.finalfantasyxiv.com/f/ef0d7986bd0b017e6fb5bf39d4a50557_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644966417
3,26857565,43,15,4,110623,9.0,51117,59506,Ao Sui,https://img2.finalfantasyxiv.com/f/1381b24854766cee0313192b50971490_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645074305
4,26004456,43,15,5,104794,4.0,62593,42201,Pado White,https://img2.finalfantasyxiv.com/f/5e5185a22580210a4dc890cf849b52f4_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645030415
5,24909364,43,15,6,93088,7.0,53397,39691,Odango Eater,https://img2.finalfantasyxiv.com/f/e1aa85c24215c7138aaabfceb525a23f_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645141407
6,22643511,43,15,7,83170,5.0,54510,28660,Laura Letizia,https://img2.finalfantasyxiv.com/f/a70251c95b98fd277151a8817f06ae87_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644978479
7,6553530,43,15,8,66709,6.0,53513,13196,Carl King,https://img2.finalfantasyxiv.com/f/ba395610382cfa29dbd1b393aa61122b_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645166091
8,29681114,43,15,9,63758,13.0,25936,37822,Butler Kai,https://img2.finalfantasyxiv.com/f/ffc9e3c908d74a6dd29dca93302430e0_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645108903
9,17667464,43,15,10,51450,8.0,51450,0,Belli's Perennis,https://img2.finalfantasyxiv.com/f/c535c26e7fe7e2b30bf00a267c526d24_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645087134
10,26228186,43,15,11,47777,14.0,22791,24986,Mika Roger,https://img2.finalfantasyxiv.com/f/e135362704d84cc55d4c6ed78371fe8b_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645154193
11,30324672,43,15,12,41395,11.0,29014,12381,Idea Sevenrabbit,https://img2.finalfantasyxiv.com/f/76b39e6483fad42a0445b7ea8e8d8239_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644777365
12,21515644,43,15,13,38425,10.0,36602,1823,Sayce Claussell,https://img2.finalfantasyxiv.com/f/82375d42c047b6dc8cb613de6a89e884_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645184851
13,29400780,43,15,14,28190,15.0,17751,10439,Narcheska Shivy,https://img2.finalfantasyxiv.com/f/3ee54f3fd5252e389f717857067abcb5_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645195597
14,26647527,43,15,15,26683,12.0,26683,0,Oka Chan,https://img2.finalfantasyxiv.com/f/28f87922cf95582a4ff6c24641e3f2c4_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645191458
15,3320122,43,15,16,20567,30.0,9322,11245,Pino Pinoco,https://img2.finalfantasyxiv.com/f/dccfe74f5ca290d8771dcb84fa3d5cc9_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644959234
16,30283021,43,15,17,20115,20.0,14935,5180,Aki Kukku,https://img2.finalfantasyxiv.com/f/fd9080c2ba1b8c21033587252b72fb47_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644947616
17,2055832,43,15,18,19486,18.0,15770,3716,Memor Whitill,https://img2.finalfantasyxiv.com/f/bdf60b01bd6de4201ee199dbd0087caf_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644810004
18,21944592,43,15,19,19396,21.0,14807,4589,Linon Lunaria,https://img2.finalfantasyxiv.com/f/d87ccff26e916dda8720e209ab076070_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644879998
19,5428342,43,15,20,19041,22.0,13862,5179,Shiro Shiranui,https://img2.finalfantasyxiv.com/f/07c95ce4f7afe6f0308f46175b13543b_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644963832
20,24861458,43,15,21,18652,16.0,17247,1405,Butz But'maru,https://img2.finalfantasyxiv.com/f/a094c8747fef2f3981c4acb2577ad62f_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645029581
21,27018543,43,15,22,17215,17.0,17215,0,Licca Lucenz,https://img2.finalfantasyxiv.com/f/6d2e43082eaef8642e4ee7d427db7d2c_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644856340
22,24036130,43,15,23,16723,26.0,11286,5437,Komugi Coco,https://img2.finalfantasyxiv.com/f/59c839d5284f86366aaf65b87b37bc14_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644895101
23,19984911,43,15,24,16006,23.0,12052,3954,Ken A'ionia,https://img2.finalfantasyxiv.com/f/8f16eeb1ae217a50bc4da5e00649f9e5_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644283094
24,26620557,43,15,25,15592,24.0,11982,3610,Area Wahrheit,https://img2.finalfantasyxiv.com/f/4b22fc11de057a614562df847c60b86f_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644800555
25,6829849,43,15,26,15592,19.0,15592,0,Rai Narumi,https://img2.finalfantasyxiv.com/f/56cde7efc5968f36d7da15b4915ff77a_2f698530a28d671d20278c8518c804c9fc0_96x96.jpg?1644896422
26,23968415,43,15,27,14463,28.0,10707,3756,Siranui Sino,https://img2.finalfantasyxiv.com/f/91f0174b157ffe48b41eddea44e9b427_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645174154
27,28127246,43,15,28,11847,38.0,7323,4524,Silky Merci,https://img2.finalfantasyxiv.com/f/7aa3987a7f98f4391e20c3ff943a906f_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645100247
28,24955768,43,15,29,11777,36.0,7396,4381,Ayana Pumpkin,https://img2.finalfantasyxiv.com/f/ab8d749974518d5e19bd5dc1ee0c118e_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645094386
29,26208597,43,15,30,11720,25.0,11720,0,Ririna Rina,https://img2.finalfantasyxiv.com/f/13efef96cdfba6b6959c7f3bebb2389d_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645070817
30,3222631,43,15,31,11159,29.0,10349,810,Sinra Banshou,https://img2.finalfantasyxiv.com/f/88e69253ba1fcc13d460a8c5ae7c12e4_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645030612
31,13242198,43,15,32,11010,27.0,11010,0,Beardsley Frederica,https://img2.finalfantasyxiv.com/f/2afb197c564f008740b1e810df747739_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645010544
32,24090337,43,15,33,10854,41.0,6746,4108,Aroe Nerikiri,https://img2.finalfantasyxiv.com/f/af03c698d0f91ee17df5ee9f0f7332bf_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645183193
33,5976071,43,15,34,10622,68.0,4071,6551,Yuzuha Block,https://img2.finalfantasyxiv.com/f/3dfbdb19f46ee6647e6c524f93c21d38_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645010686
34,1610151,43,15,35,9906,55.0,5124,4782,Fraga Proxy,https://img2.finalfantasyxiv.com/f/c079507be479664fa0b5a7a35d6acfa9_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645202212
35,21218457,43,15,36,9891,45.0,6143,3748,Cocoon Nap,https://img2.finalfantasyxiv.com/f/b16857ef7cfbd8016cab2fa10019d627_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644777926
36,5066251,43,15,37,9526,39.0,7276,2250,Teonyan Soris,https://img2.finalfantasyxiv.com/f/5c13bc8eaff4158d410032c924b9752b_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644777998
37,14405525,43,15,38,9300,31.0,9300,0,Tetora Bell,https://img2.finalfantasyxiv.com/f/6d6d7eddc3d4eb38242c497f1b69226b_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645010696
38,24660762,43,15,39,9185,42.0,6727,2458,Riku Sakoly,https://img2.finalfantasyxiv.com/f/bdbfd97e580aec3ea5eaa27f5b18c39b_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645040408
39,20762218,43,15,40,9139,44.0,6594,2545,Apple Chop,https://img2.finalfantasyxiv.com/f/5c6d1bef582e088fe55ba4e5b6347ad3_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645027502
40,26134670,43,15,41,9016,32.0,9016,0,Hato' Poppo,https://img2.finalfantasyxiv.com/f/d0754f8739f68fd66d3a7e1e44feb956_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644909820
41,5449825,43,15,42,8943,33.0,8046,897,Rin Portman,https://img2.finalfantasyxiv.com/f/713d1dc5d83f3401d36041b5cad2f068_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645010571
42,10302220,43,15,43,8790,35.0,7530,1260,Tatsumi Viaggiatore,https://img2.finalfantasyxiv.com/f/be7490db17cb1782b7c7d8fe53c19444_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645148102
43,25433893,43,15,44,8784,,0,8784,Erica Celestial,https://img2.finalfantasyxiv.com/f/6e118e65da4d7550a5b8ba327a0cca31_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644844426
44,25677124,43,15,45,8565,37.0,7335,1230,Yuba Fell,https://img2.finalfantasyxiv.com/f/38d5cd457e85346f42540e570ef26092_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644838713
45,23855327,43,15,46,8500,34.0,7570,930,Shizuru Satonaka,https://img2.finalfantasyxiv.com/f/b4b3961c0d0943c96c73e83f0495caca_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645143222
46,23797848,43,15,47,8237,40.0,6917,1320,Souco Haco,https://img2.finalfantasyxiv.com/f/1d876a111aaffda9f7604d05df904425_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645128541
47,5682206,43,15,48,8094,43.0,6659,1435,Yuma Valentine,https://img2.finalfantasyxiv.com/f/c531615a6b5fd97bf39e13831e87ac77_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645183238
48,3195251,43,15,49,7524,,0,7524,Mamayu Mayuyu,https://img2.finalfantasyxiv.com/f/47e2ca47221d0115dfb666a18eabff88_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645067114
49,30251331,43,15,50,7080,74.0,3720,3360,Inari Ina,https://img2.finalfantasyxiv.com/f/3d92e6055a00f08274f76b4803c3cdd4_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645089813
50,31733071,43,15,51,6843,48.0,5403,1440,Ebiten Alter,https://img2.finalfantasyxiv.com/f/42c74e2b053087084b7ee241a93e1c4a_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644950922
