,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,23006183,78,17,1,518960,1.0,410978,107982,Spirit Nova,https://img2.finalfantasyxiv.com/f/1a30bc7b21a734c70d32de4a02d326f1_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1644802312
1,28870819,78,17,2,355502,2.0,340103,15399,O'w O-,https://img2.finalfantasyxiv.com/f/4c2be077d29d6a2d6b4313aa9f72f5a7_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1644640434
2,24363858,78,17,3,252603,3.0,195327,57276,Akira Kurosu,https://img2.finalfantasyxiv.com/f/9b50dd8530c648ee22b81812796f9f1c_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645167974
3,29147881,78,17,4,213667,4.0,170899,42768,Leyllara Nitthi'a,https://img2.finalfantasyxiv.com/f/a5bd11d006292ff4fcbce00675ec9e3f_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1644854346
4,3115729,78,17,5,191337,5.0,130371,60966,Bellarina Drakis,https://img2.finalfantasyxiv.com/f/bee9b692180b4a56161f5719d1affbcf_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1644950449
5,2788375,78,17,6,145753,11.0,100462,45291,Wind-up Aranea,https://img2.finalfantasyxiv.com/f/cfd9c93224689a8928414fde5da760f6_2f53b2675d3eea360f0b48d74d30af15fc0_96x96.jpg?1644604099
6,24603398,78,17,7,137459,7.0,112260,25199,Zhere Lupin,https://img2.finalfantasyxiv.com/f/6d304820b47490963604b338d1c0b2ca_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645077380
7,11220533,78,17,8,137220,6.0,123986,13234,Cute Tail,https://img2.finalfantasyxiv.com/f/957bb66f798a5cb6d79bd9d1519eebc9_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645095700
8,28594871,78,17,9,135416,9.0,111691,23725,Victini San,https://img2.finalfantasyxiv.com/f/63a018d6c6e0d3d017c96c91896021a9_a91aae52cff9ef65932db06b150ffd47fc0_96x96.jpg?1644955028
9,32670008,78,17,10,128672,10.0,110169,18503,Ume Nanotari,https://img2.finalfantasyxiv.com/f/9549bd52f35245702276a97ef4ea03d5_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645155962
10,8070740,78,17,11,125715,12.0,100073,25642,Chloe Valens,https://img2.finalfantasyxiv.com/f/bf47f27106ed78c01ff46b0d06a59698_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645118746
11,5756444,78,17,12,124222,8.0,111912,12310,Ylva Marja,https://img2.finalfantasyxiv.com/f/9a9443ca072fce31e3a053d558c751ca_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645161141
12,29913012,78,17,13,116743,21.0,74598,42145,Volk Karu,https://img2.finalfantasyxiv.com/f/667cc0ef9689bc3eb2a554cece41e7e9_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1644632541
13,18364101,78,17,14,109677,22.0,73162,36515,Ashmi Rae,https://img2.finalfantasyxiv.com/f/2b3a41d227e2937852d5c1e031d5aba0_36f0570990ac5402b2ef514d36b0435cfc0_96x96.jpg?1645043650
14,29170987,78,17,15,100666,17.0,77251,23415,Veranolth Dawnglimmer,https://img2.finalfantasyxiv.com/f/8ca58b768a127108f9af0587c45af098_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645003469
15,21695595,78,17,16,100024,13.0,100024,0,Kamui Amakusa,https://img2.finalfantasyxiv.com/f/cde4bee977bca5083eb899bf1d52f608_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645055678
16,5801707,78,17,17,99151,25.0,69654,29497,Kolin Tayalin,https://img2.finalfantasyxiv.com/f/8b500ec5f825b66ed36d3bc4ac91a990_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645157933
17,24299879,78,17,18,98221,20.0,75758,22463,Aleya Strahl,https://img2.finalfantasyxiv.com/f/23d74faae9ca36b26f7c99b9725453ab_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645072206
18,23622451,78,17,19,97396,14.0,97396,0,Chyi Syatian,https://img2.finalfantasyxiv.com/f/c58d858ef333e81b16271fbd4417e492_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645118793
19,21270213,78,17,20,87080,28.0,59529,27551,Zeidy Dragonkin,https://img2.finalfantasyxiv.com/f/629dc178e63b11d71bad9574e1330842_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645058637
20,28218167,78,17,21,86411,27.0,61178,25233,Anhi Strahla,https://img2.finalfantasyxiv.com/f/dd67c23b87a9ff2eaa6ee9049a0a4998_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645087026
21,26827864,78,17,22,85595,31.0,57015,28580,Spiff Ingway,https://img2.finalfantasyxiv.com/f/419044e9a01e1051bda031386eb3efae_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645146116
22,20165028,78,17,23,85454,15.0,84554,900,Merash Ancalagon,https://img2.finalfantasyxiv.com/f/92fffc29194bed7662db249304e65dda_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645174584
23,5281357,78,17,24,82485,16.0,82485,0,R'yahni Inkahrt,https://img2.finalfantasyxiv.com/f/b5f3b828300690acf101a2fb13c26e2d_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645171589
24,6410573,78,17,25,81812,26.0,67447,14365,Amara Hawke,https://img2.finalfantasyxiv.com/f/73bf7d370dc794c7c1724b2d0609b9b4_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1644814180
25,14905938,78,17,26,76786,18.0,76786,0,Ciclone Yamazaki,https://img2.finalfantasyxiv.com/f/85d13134f077e1c224e6efb65d737e95_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645114338
26,31696386,78,17,27,76643,23.0,70442,6201,Membo Rask,https://img2.finalfantasyxiv.com/f/c1d1ab5d10a2639d24ec8e071049d381_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1644847333
27,31280253,78,17,28,76626,30.0,57191,19435,Aalari Aeruna,https://img2.finalfantasyxiv.com/f/2d05072d5b70d21865e723aba822209e_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1644864485
28,30900756,78,17,29,76019,19.0,76019,0,Ukraz Kolaneth,https://img2.finalfantasyxiv.com/f/01fb4ca678cf9a4083521ccd17f5795f_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1644838984
29,22208240,78,17,30,74385,39.0,44352,30033,Louie Stroud,https://img2.finalfantasyxiv.com/f/df5c557c8408e21560cd17e2b7fae503_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1644844656
30,9864789,78,17,31,73136,24.0,70156,2980,Megumi Sakamoto,https://img2.finalfantasyxiv.com/f/05c6994dc9e869124e3765f99fb476f3_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1644803155
31,20516913,78,17,32,72550,34.0,51529,21021,Zuzujoni Moshantu,https://img2.finalfantasyxiv.com/f/6adb6b6315c18ad41565883a2b887047_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645030914
32,2335851,78,17,33,72084,55.0,36009,36075,Miss Taradiddle,https://img2.finalfantasyxiv.com/f/23944caf6c42c4f32a1c905a3be2bd4c_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645146507
